game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myITALY_mycicero_nopress_oppsearchbot_neurips21_dora_seed0_v1,0,1v6,ITALY,cicero_nopress,searchbot_neurips21_dora,max_phases,S1913R,60,1,5,7,12,1,2,6,0.003846,0.096154,0.188462,0.553846,0.003846,0.015385,0.138462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,32,10,34,29,33,54,73,12,18,18,29,17,28
run_1v6_myITALY_mycicero_nopress_oppsearchbot_neurips21_dora_seed1_v1,1,1v6,ITALY,cicero_nopress,searchbot_neurips21_dora,stop_after_W1913A,W1913A,60,0,4,5,12,1,0,12,0.000000,0.048485,0.075758,0.436364,0.003030,0.000000,0.436364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,6,21,20,22,46,60,28,42,16,30,33,52
run_1v6_myITALY_mycicero_nopress_oppsearchbot_neurips21_dora_seed2_v1,2,1v6,ITALY,cicero_nopress,searchbot_neurips21_dora,stop_after_W1913A,W1913A,58,0,0,10,7,1,16,0,0.000000,0.000000,0.246305,0.120690,0.002463,0.630542,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,9,20,15,22,39,50,35,55,37,71,8,12
run_1v6_myITALY_mycicero_nopress_oppsearchbot_neurips21_dora_seed3_v1,3,1v6,ITALY,cicero_nopress,searchbot_neurips21_dora,max_phases,F1913R,60,5,8,9,3,0,2,7,0.107759,0.275862,0.349138,0.038793,0.000000,0.017241,0.211207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,52,16,41,37,57,30,44,10,11,25,40,25,33
run_1v6_myITALY_mycicero_nopress_oppsearchbot_neurips21_dora_seed4_v1,4,1v6,ITALY,cicero_nopress,searchbot_neurips21_dora,stop_after_W1913A,W1913A,60,0,2,13,5,1,13,0,0.000000,0.010870,0.459239,0.067935,0.002717,0.459239,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,20,35,25,47,36,46,18,23,47,64,11,19
run_1v6_myITALY_mycicero_nopress_oppsearchbot_neurips21_dora_seed6_v1,6,1v6,ITALY,cicero_nopress,searchbot_neurips21_dora,max_phases,F1913M,60,0,5,4,9,3,3,10,0.000000,0.104167,0.066667,0.337500,0.037500,0.037500,0.416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,28,10,17,28,38,47,56,32,38,17,30,41,60
run_1v6_myITALY_mycicero_nopress_oppsearchbot_neurips21_dora_seed5_v1,5,1v6,ITALY,cicero_nopress,searchbot_neurips21_dora,max_phases,F1913R,60,0,4,7,0,8,14,1,0.000000,0.049080,0.150307,0.000000,0.196319,0.601227,0.003067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,21,25,15,22,14,30,50,80,52,85,10,24
run_1v6_myITALY_mycicero_nopress_oppsearchbot_neurips21_dora_seed7_v1,7,1v6,ITALY,cicero_nopress,searchbot_neurips21_dora,max_phases,F1913R,60,0,0,4,15,2,6,7,0.000000,0.000000,0.048485,0.681818,0.012121,0.109091,0.148485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,9,29,25,33,44,54,20,34,35,56,28,43
run_1v6_myITALY_mycicero_nopress_oppsearchbot_neurips21_dora_seed8_v1,8,1v6,ITALY,cicero_nopress,searchbot_neurips21_dora,stop_after_W1913A,W1913A,60,0,3,10,10,0,8,3,0.000000,0.031915,0.354610,0.354610,0.000000,0.226950,0.031915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,11,27,15,24,37,45,28,35,40,59,13,17
run_1v6_myITALY_mycicero_nopress_oppsearchbot_neurips21_dora_seed9_v1,9,1v6,ITALY,cicero_nopress,searchbot_neurips21_dora,stop_after_W1913A,W1913A,59,0,4,5,8,6,10,1,0.000000,0.066116,0.103306,0.264463,0.148760,0.413223,0.004132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,19,31,11,17,30,38,43,76,35,46,23,30
