game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myRUSSIA_mycicero_nopress_oppsearchbot_neurips21_dora_seed0_v1,0,1v6,RUSSIA,cicero_nopress,searchbot_neurips21_dora,stop_after_W1913A,W1913A,60,5,4,5,6,5,4,5,0.148810,0.095238,0.148810,0.214286,0.148810,0.095238,0.148810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,50,8,15,26,40,30,40,19,39,28,46,29,41
run_1v6_myRUSSIA_mycicero_nopress_oppsearchbot_neurips21_dora_seed1_v1,1,1v6,RUSSIA,cicero_nopress,searchbot_neurips21_dora,stop_after_W1913A,W1913A,60,9,3,0,14,4,0,4,0.254717,0.028302,0.000000,0.616352,0.050314,0.000000,0.050314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,66,9,19,23,30,38,44,13,26,11,40,22,38
run_1v6_myRUSSIA_mycicero_nopress_oppsearchbot_neurips21_dora_seed2_v1,2,1v6,RUSSIA,cicero_nopress,searchbot_neurips21_dora,max_phases,S1914R,60,0,3,5,11,3,5,7,0.000000,0.037815,0.105042,0.508403,0.037815,0.105042,0.205882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,19,17,36,61,73,27,37,40,69,41,60
run_1v6_myRUSSIA_mycicero_nopress_oppsearchbot_neurips21_dora_seed4_v1,4,1v6,RUSSIA,cicero_nopress,searchbot_neurips21_dora,max_phases,F1913M,60,6,0,1,16,3,1,7,0.102273,0.000000,0.002841,0.727273,0.025568,0.002841,0.139205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,47,3,6,9,15,54,73,4,12,30,52,26,40
run_1v6_myRUSSIA_mycicero_nopress_oppsearchbot_neurips21_dora_seed3_v1,3,1v6,RUSSIA,cicero_nopress,searchbot_neurips21_dora,stop_after_W1913A,W1913A,60,1,2,6,9,8,5,3,0.004545,0.018182,0.163636,0.368182,0.290909,0.113636,0.040909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,30,4,15,30,39,41,59,28,42,31,64,25,45
run_1v6_myRUSSIA_mycicero_nopress_oppsearchbot_neurips21_dora_seed5_v1,5,1v6,RUSSIA,cicero_nopress,searchbot_neurips21_dora,stop_after_W1913A,W1913A,58,0,0,5,10,3,3,13,0.000000,0.000000,0.080128,0.320513,0.028846,0.028846,0.541667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,36,3,5,23,31,48,55,26,44,16,23,46,58
run_1v6_myRUSSIA_mycicero_nopress_oppsearchbot_neurips21_dora_seed6_v1,6,1v6,RUSSIA,cicero_nopress,searchbot_neurips21_dora,max_phases,S1913R,60,10,4,3,10,4,0,3,0.400000,0.064000,0.036000,0.400000,0.064000,0.000000,0.036000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,70,18,32,13,25,44,55,10,21,14,22,28,43
run_1v6_myRUSSIA_mycicero_nopress_oppsearchbot_neurips21_dora_seed7_v1,7,1v6,RUSSIA,cicero_nopress,searchbot_neurips21_dora,max_phases,F1913M,60,0,1,5,11,14,3,0,0.000000,0.002841,0.071023,0.343750,0.556818,0.025568,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,7,16,36,43,47,55,62,72,27,56,13,19
run_1v6_myRUSSIA_mycicero_nopress_oppsearchbot_neurips21_dora_seed8_v1,8,1v6,RUSSIA,cicero_nopress,searchbot_neurips21_dora,stop_after_W1913A,W1913A,58,8,2,6,6,7,3,2,0.316832,0.019802,0.178218,0.178218,0.242574,0.044554,0.019802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,45,14,19,18,21,43,55,17,33,31,37,10,24
run_1v6_myRUSSIA_mycicero_nopress_oppsearchbot_neurips21_dora_seed9_v1,9,1v6,RUSSIA,cicero_nopress,searchbot_neurips21_dora,stop_after_W1913A,W1913A,58,6,5,9,6,1,0,7,0.157895,0.109649,0.355263,0.157895,0.004386,0.000000,0.214912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,50,19,31,23,33,30,38,19,43,16,27,34,44
