game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myTURKEY_mycicero_nopress_oppsearchbot_neurips21_dora_seed0_v1,0,1v6,TURKEY,cicero_nopress,searchbot_neurips21_dora,max_phases,F1913R,60,0,0,4,12,8,8,2,0.000000,0.000000,0.054795,0.493151,0.219178,0.219178,0.013699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,12,21,32,53,66,27,42,44,64,27,58
run_1v6_myTURKEY_mycicero_nopress_oppsearchbot_neurips21_dora_seed1_v1,1,1v6,TURKEY,cicero_nopress,searchbot_neurips21_dora,max_phases,F1913R,60,0,3,3,6,14,6,2,0.000000,0.031034,0.031034,0.124138,0.675862,0.124138,0.013793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,29,20,29,37,49,44,57,35,51,27,42
run_1v6_myTURKEY_mycicero_nopress_oppsearchbot_neurips21_dora_seed3_v1,3,1v6,TURKEY,cicero_nopress,searchbot_neurips21_dora,stop_after_W1913A,W1913A,58,0,3,6,8,5,12,0,0.000000,0.032374,0.129496,0.230216,0.089928,0.517986,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,18,25,17,35,33,43,28,35,51,82,8,22
run_1v6_myTURKEY_mycicero_nopress_oppsearchbot_neurips21_dora_seed2_v1,2,1v6,TURKEY,cicero_nopress,searchbot_neurips21_dora,max_phases,F1913R,60,0,6,6,4,5,10,3,0.000000,0.162162,0.162162,0.072072,0.112613,0.450450,0.040541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,13,20,20,26,34,43,21,30,35,50,45,67
run_1v6_myTURKEY_mycicero_nopress_oppsearchbot_neurips21_dora_seed4_v1,4,1v6,TURKEY,cicero_nopress,searchbot_neurips21_dora,max_phases,F1913R,60,3,0,4,13,4,2,8,0.032374,0.000000,0.057554,0.607914,0.057554,0.014388,0.230216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,37,3,9,26,34,43,49,13,17,20,38,32,60
run_1v6_myTURKEY_mycicero_nopress_oppsearchbot_neurips21_dora_seed6_v1,6,1v6,TURKEY,cicero_nopress,searchbot_neurips21_dora,max_phases,F1913R,60,0,3,7,11,1,12,0,0.000000,0.027778,0.151235,0.373457,0.003086,0.444444,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,10,23,24,39,63,74,13,21,46,62,5,9
run_1v6_myTURKEY_mycicero_nopress_oppsearchbot_neurips21_dora_seed7_v1,7,1v6,TURKEY,cicero_nopress,searchbot_neurips21_dora,max_phases,F1913M,60,0,5,7,5,6,11,0,0.000000,0.097656,0.191406,0.097656,0.140625,0.472656,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,20,25,31,20,30,22,39,16,40,89,110,3,5
run_1v6_myTURKEY_mycicero_nopress_oppsearchbot_neurips21_dora_seed5_v1,5,1v6,TURKEY,cicero_nopress,searchbot_neurips21_dora,max_phases,F1913R,60,6,0,8,11,0,8,1,0.125874,0.000000,0.223776,0.423077,0.000000,0.223776,0.003497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30,11,16,17,28,43,48,9,15,35,54,11,32
run_1v6_myTURKEY_mycicero_nopress_oppsearchbot_neurips21_dora_seed8_v1,8,1v6,TURKEY,cicero_nopress,searchbot_neurips21_dora,stop_after_W1913A,W1913A,59,0,3,5,13,3,9,1,0.000000,0.030612,0.085034,0.574830,0.030612,0.275510,0.003401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,13,27,19,31,33,55,20,27,43,73,28,39
run_1v6_myTURKEY_mycicero_nopress_oppsearchbot_neurips21_dora_seed9_v1,9,1v6,TURKEY,cicero_nopress,searchbot_neurips21_dora,max_phases,F1913M,60,1,3,12,9,0,8,1,0.003333,0.030000,0.480000,0.270000,0.000000,0.213333,0.003333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,33,13,29,34,52,51,60,5,12,51,75,15,15
