side,agent_name,scope,power,n_samples,mean_sos,win_rate,most_sc_rate,survived_rate,defeated_rate,win_count,most_sc_count,survived_count,defeated_count,c1_total,c2_total,c3_total,c4_total,c1_avg_per_sample,c2_avg_per_sample,c3_avg_per_sample,c4_avg_per_sample,support_success_total,support_total_total,support_success_ratio
self,cicero_nopress,per_power,AUSTRIA,10,0.003357,0.000000,0.000000,0.500000,0.500000,0,0,5,5,0,0,0,0,0.000000,0.000000,0.000000,0.000000,165,439,0.375854
self,cicero_nopress,per_power,ENGLAND,10,0.056096,0.000000,0.000000,0.500000,0.500000,0,0,5,5,0,0,0,0,0.000000,0.000000,0.000000,0.000000,136,210,0.647619
self,cicero_nopress,per_power,FRANCE,10,0.049900,0.000000,0.000000,0.900000,0.100000,0,0,9,1,0,0,0,0,0.000000,0.000000,0.000000,0.000000,300,460,0.652174
self,cicero_nopress,per_power,GERMANY,10,0.229448,0.000000,0.200000,0.600000,0.200000,0,2,6,2,0,0,0,0,0.000000,0.000000,0.000000,0.000000,442,580,0.762069
self,cicero_nopress,per_power,ITALY,10,0.040676,0.000000,0.000000,0.800000,0.200000,0,0,8,2,0,0,0,0,0.000000,0.000000,0.000000,0.000000,276,412,0.669903
self,cicero_nopress,per_power,RUSSIA,10,0.041572,0.000000,0.000000,0.700000,0.300000,0,0,7,3,0,0,0,0,0.000000,0.000000,0.000000,0.000000,244,436,0.559633
self,cicero_nopress,per_power,TURKEY,10,0.030848,0.000000,0.000000,0.700000,0.300000,0,0,7,3,0,0,0,0,0.000000,0.000000,0.000000,0.000000,201,349,0.575931
opponent,searchbot_neurips21_dora,per_power,AUSTRIA,60,0.051945,0.000000,0.033333,0.400000,0.566667,0,2,24,34,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1095,1682,0.651011
opponent,searchbot_neurips21_dora,per_power,ENGLAND,60,0.068848,0.000000,0.016667,0.766667,0.216667,0,1,46,13,0,0,0,0,0.000000,0.000000,0.000000,0.000000,731,1421,0.514426
opponent,searchbot_neurips21_dora,per_power,FRANCE,60,0.193642,0.016667,0.200000,0.733333,0.050000,1,12,44,3,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1433,2043,0.701419
opponent,searchbot_neurips21_dora,per_power,GERMANY,60,0.280528,0.016667,0.366667,0.483333,0.133333,1,22,29,8,0,0,0,0,0.000000,0.000000,0.000000,0.000000,2309,2978,0.775353
opponent,searchbot_neurips21_dora,per_power,ITALY,60,0.147648,0.000000,0.183333,0.683333,0.133333,0,11,41,8,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1384,2183,0.633990
opponent,searchbot_neurips21_dora,per_power,RUSSIA,60,0.181031,0.000000,0.233333,0.583333,0.183333,0,14,35,11,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1668,2773,0.601515
opponent,searchbot_neurips21_dora,per_power,TURKEY,60,0.167709,0.000000,0.166667,0.683333,0.150000,0,10,41,9,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1688,2514,0.671440
self,cicero_nopress,overall,OVERALL,70,0.064557,0.000000,0.028571,0.671429,0.300000,0,2,47,21,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1764,2886,0.611227
opponent,searchbot_neurips21_dora,overall,OVERALL,420,0.155907,0.004762,0.171429,0.619048,0.204762,2,72,260,86,0,0,0,0,0.000000,0.000000,0.000000,0.000000,10308,15594,0.661023
