game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myFRANCE_mycicero_nopress_oppsearchbot_seed0_v1,0,1v6,FRANCE,cicero_nopress,searchbot,solo_18sc_FRANCE,F1911R,49,1,0,20,0,5,2,6,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,8,26,40,49,26,39,46,61,14,34,31,73
run_1v6_myFRANCE_mycicero_nopress_oppsearchbot_seed1_v1,1,1v6,FRANCE,cicero_nopress,searchbot,solo_18sc_FRANCE,F1910R,45,0,0,18,0,4,4,8,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,14,21,25,36,16,40,27,56,18,27,31,42
run_1v6_myFRANCE_mycicero_nopress_oppsearchbot_seed3_v1,3,1v6,FRANCE,cicero_nopress,searchbot,solo_18sc_FRANCE,F1907R,29,0,0,18,0,8,2,6,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,4,5,31,36,13,21,17,27,10,40,11,25
run_1v6_myFRANCE_mycicero_nopress_oppsearchbot_seed2_v1,2,1v6,FRANCE,cicero_nopress,searchbot,solo_18sc_FRANCE,F1908R,35,0,0,18,0,2,2,12,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,6,8,33,55,14,27,20,32,23,36,39,53
run_1v6_myFRANCE_mycicero_nopress_oppsearchbot_seed4_v1,4,1v6,FRANCE,cicero_nopress,searchbot,solo_18sc_FRANCE,F1908R,34,3,0,19,0,3,1,8,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,35,6,7,40,47,13,23,18,25,8,39,14,30
run_1v6_myFRANCE_mycicero_nopress_oppsearchbot_seed8_v1,8,1v6,FRANCE,cicero_nopress,searchbot,solo_18sc_FRANCE,F1906R,25,3,1,18,2,3,1,6,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,32,8,9,22,27,8,11,18,23,9,40,15,19
run_1v6_myFRANCE_mycicero_nopress_oppsearchbot_seed5_v1,5,1v6,FRANCE,cicero_nopress,searchbot,stop_after_W1913A,W1913A,56,0,8,8,1,0,0,17,0.000000,0.153110,0.153110,0.002392,0.000000,0.000000,0.691388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,27,63,49,70,20,52,9,19,41,57,72,80
run_1v6_myFRANCE_mycicero_nopress_oppsearchbot_seed7_v1,7,1v6,FRANCE,cicero_nopress,searchbot,solo_18sc_FRANCE,F1910R,47,0,1,19,0,3,6,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,17,31,47,53,18,36,34,56,22,56,16,39
run_1v6_myFRANCE_mycicero_nopress_oppsearchbot_seed6_v1,6,1v6,FRANCE,cicero_nopress,searchbot,stop_after_W1913A,W1913A,60,0,0,16,0,3,9,6,0.000000,0.000000,0.670157,0.000000,0.023560,0.212042,0.094241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,21,22,61,72,31,34,18,42,46,128,44,90
run_1v6_myFRANCE_mycicero_nopress_oppsearchbot_seed9_v1,9,1v6,FRANCE,cicero_nopress,searchbot,stop_after_W1913A,W1913A,58,0,2,15,0,6,4,7,0.000000,0.012121,0.681818,0.000000,0.109091,0.048485,0.148485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,42,61,58,83,18,27,27,61,14,67,30,58
