game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myRUSSIA_mycicero_nopress_oppsearchbot_seed0_v1,0,1v6,RUSSIA,cicero_nopress,searchbot,solo_18sc_FRANCE,F1912R,54,0,0,19,0,2,13,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,12,22,66,95,15,28,35,43,59,96,20,30
run_1v6_myRUSSIA_mycicero_nopress_oppsearchbot_seed1_v1,1,1v6,RUSSIA,cicero_nopress,searchbot,stop_after_W1913A,W1913A,60,0,0,15,10,0,9,0,0.000000,0.000000,0.554187,0.246305,0.000000,0.199507,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,44,12,19,63,109,46,103,7,12,44,59,3,4
run_1v6_myRUSSIA_mycicero_nopress_oppsearchbot_seed2_v1,2,1v6,RUSSIA,cicero_nopress,searchbot,max_phases,F1913R,60,0,9,0,5,9,11,0,0.000000,0.262987,0.000000,0.081169,0.262987,0.392857,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,37,47,83,5,7,35,47,51,81,42,73,15,37
run_1v6_myRUSSIA_mycicero_nopress_oppsearchbot_seed3_v1,3,1v6,RUSSIA,cicero_nopress,searchbot,stop_after_W1913A,W1913A,60,0,0,3,9,6,10,6,0.000000,0.000000,0.034351,0.309160,0.137405,0.381679,0.137405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,15,32,57,54,92,28,43,38,87,22,52
run_1v6_myRUSSIA_mycicero_nopress_oppsearchbot_seed5_v1,5,1v6,RUSSIA,cicero_nopress,searchbot,stop_after_W1913A,W1913A,55,10,14,0,0,10,0,0,0.252525,0.494949,0.000000,0.000000,0.252525,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,99,65,80,10,32,23,46,53,72,8,9,6,15
run_1v6_myRUSSIA_mycicero_nopress_oppsearchbot_seed4_v1,4,1v6,RUSSIA,cicero_nopress,searchbot,solo_18sc_TURKEY,F1912R,54,0,0,7,8,0,1,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,13,24,29,64,42,89,17,25,21,53,60,91
run_1v6_myRUSSIA_mycicero_nopress_oppsearchbot_seed7_v1,7,1v6,RUSSIA,cicero_nopress,searchbot,solo_18sc_FRANCE,F1911R,49,6,0,20,0,1,0,7,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,53,9,9,59,75,22,32,15,42,36,53,31,68
run_1v6_myRUSSIA_mycicero_nopress_oppsearchbot_seed6_v1,6,1v6,RUSSIA,cicero_nopress,searchbot,stop_after_W1913A,W1913A,59,0,0,2,16,0,9,7,0.000000,0.000000,0.010256,0.656410,0.000000,0.207692,0.125641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,27,5,15,30,40,64,82,9,18,42,59,41,61
run_1v6_myRUSSIA_mycicero_nopress_oppsearchbot_seed9_v1,9,1v6,RUSSIA,cicero_nopress,searchbot,solo_18sc_FRANCE,F1911R,47,0,0,18,0,1,4,11,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,3,6,53,65,32,53,28,44,31,61,45,63
run_1v6_myRUSSIA_mycicero_nopress_oppsearchbot_seed8_v1,8,1v6,RUSSIA,cicero_nopress,searchbot,max_phases,F1913R,60,6,0,15,0,1,12,0,0.088670,0.000000,0.554187,0.000000,0.002463,0.354680,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,65,7,7,62,85,35,46,15,21,51,67,7,10
