game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myTURKEY_mycicero_nopress_oppsearchbot_seed0_v1,0,1v6,TURKEY,cicero_nopress,searchbot,max_phases,F1914M,60,0,7,10,6,5,6,0,0.000000,0.199187,0.406504,0.146341,0.101626,0.146341,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,44,89,40,125,16,25,45,63,48,78,16,22
run_1v6_myTURKEY_mycicero_nopress_oppsearchbot_seed1_v1,1,1v6,TURKEY,cicero_nopress,searchbot,stop_after_W1913A,W1913A,58,7,0,14,0,4,7,2,0.156051,0.000000,0.624204,0.000000,0.050955,0.156051,0.012739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,55,11,27,37,40,16,26,17,20,45,113,24,34
run_1v6_myTURKEY_mycicero_nopress_oppsearchbot_seed2_v1,2,1v6,TURKEY,cicero_nopress,searchbot,solo_18sc_RUSSIA,F1907R,29,0,1,10,0,5,18,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12,14,22,39,9,24,16,22,34,50,8,15
run_1v6_myTURKEY_mycicero_nopress_oppsearchbot_seed3_v1,3,1v6,TURKEY,cicero_nopress,searchbot,max_phases,S1915M,60,0,0,5,12,17,0,0,0.000000,0.000000,0.054585,0.314410,0.631004,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,16,18,39,88,58,132,64,109,24,46,8,19
run_1v6_myTURKEY_mycicero_nopress_oppsearchbot_seed4_v1,4,1v6,TURKEY,cicero_nopress,searchbot,solo_18sc_ITALY,F1911R,51,0,1,4,8,19,2,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,15,27,22,43,40,53,62,78,24,39,5,30
run_1v6_myTURKEY_mycicero_nopress_oppsearchbot_seed5_v1,5,1v6,TURKEY,cicero_nopress,searchbot,solo_18sc_ITALY,F1909M,40,0,0,6,8,18,2,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,3,27,35,27,48,50,65,24,34,11,17
run_1v6_myTURKEY_mycicero_nopress_oppsearchbot_seed8_v1,8,1v6,TURKEY,cicero_nopress,searchbot,solo_18sc_RUSSIA,F1908R,35,0,0,6,0,6,18,4,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12,24,19,28,8,17,29,60,40,68,17,32
run_1v6_myTURKEY_mycicero_nopress_oppsearchbot_seed9_v1,9,1v6,TURKEY,cicero_nopress,searchbot,solo_18sc_GERMANY,F1908R,37,0,0,7,18,6,0,3,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,2,15,22,27,42,64,23,41,13,29,15,27
run_1v6_myTURKEY_mycicero_nopress_oppsearchbot_seed6_v1,6,1v6,TURKEY,cicero_nopress,searchbot,stop_after_W1913A,W1913A,59,0,1,9,2,8,14,0,0.000000,0.002890,0.234104,0.011561,0.184971,0.566474,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,10,20,60,85,29,54,35,46,60,92,21,29
run_1v6_myTURKEY_mycicero_nopress_oppsearchbot_seed7_v1,7,1v6,TURKEY,cicero_nopress,searchbot,solo_18sc_GERMANY,F1911R,51,8,0,1,18,0,0,7,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,40,9,14,21,27,45,62,12,17,14,19,39,53
