side,agent_name,scope,power,n_samples,mean_sos,win_rate,most_sc_rate,survived_rate,defeated_rate,win_count,most_sc_count,survived_count,defeated_count,c1_total,c2_total,c3_total,c4_total,c1_avg_per_sample,c2_avg_per_sample,c3_avg_per_sample,c4_avg_per_sample,support_success_total,support_total_total,support_success_ratio
self,cicero_nopress,per_power,AUSTRIA,10,0.219621,0.200000,0.000000,0.200000,0.600000,2,0,2,6,0,0,0,0,0.000000,0.000000,0.000000,0.000000,200,305,0.655738
self,cicero_nopress,per_power,ENGLAND,10,0.001580,0.000000,0.000000,0.200000,0.800000,0,0,2,8,0,0,0,0,0.000000,0.000000,0.000000,0.000000,123,192,0.640625
self,cicero_nopress,per_power,FRANCE,10,0.850508,0.700000,0.200000,0.100000,0.000000,7,2,1,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,406,528,0.768939
self,cicero_nopress,per_power,GERMANY,10,0.327826,0.200000,0.200000,0.200000,0.400000,2,2,2,4,0,0,0,0,0.000000,0.000000,0.000000,0.000000,366,545,0.671560
self,cicero_nopress,per_power,ITALY,10,0.168131,0.100000,0.100000,0.300000,0.500000,1,1,3,5,0,0,0,0,0.000000,0.000000,0.000000,0.000000,315,432,0.729167
self,cicero_nopress,per_power,RUSSIA,10,0.153641,0.000000,0.200000,0.300000,0.500000,0,2,3,5,0,0,0,0,0.000000,0.000000,0.000000,0.000000,372,617,0.602917
self,cicero_nopress,per_power,TURKEY,10,0.001274,0.000000,0.000000,0.100000,0.900000,0,0,1,9,0,0,0,0,0.000000,0.000000,0.000000,0.000000,164,278,0.589928
opponent,searchbot,per_power,AUSTRIA,60,0.045009,0.033333,0.000000,0.133333,0.833333,2,0,8,50,0,0,0,0,0.000000,0.000000,0.000000,0.000000,971,1805,0.537950
opponent,searchbot,per_power,ENGLAND,60,0.027511,0.000000,0.016667,0.183333,0.800000,0,1,11,48,0,0,0,0,0.000000,0.000000,0.000000,0.000000,873,1447,0.603317
opponent,searchbot,per_power,FRANCE,60,0.236864,0.133333,0.133333,0.250000,0.483333,8,8,15,29,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1999,3354,0.596005
opponent,searchbot,per_power,GERMANY,60,0.121768,0.050000,0.066667,0.233333,0.650000,3,4,14,39,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1820,3192,0.570175
opponent,searchbot,per_power,ITALY,60,0.197089,0.100000,0.116667,0.233333,0.550000,6,7,14,33,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1845,2795,0.660107
opponent,searchbot,per_power,RUSSIA,60,0.110694,0.050000,0.050000,0.300000,0.600000,3,3,18,36,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1428,3141,0.454632
opponent,searchbot,per_power,TURKEY,60,0.140636,0.083333,0.033333,0.300000,0.583333,5,2,18,35,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1665,2779,0.599136
self,cicero_nopress,overall,OVERALL,70,0.246083,0.171429,0.100000,0.200000,0.528571,12,7,14,37,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1946,2897,0.671729
opponent,searchbot,overall,OVERALL,420,0.125653,0.064286,0.059524,0.233333,0.642857,27,25,98,270,0,0,0,0,0.000000,0.000000,0.000000,0.000000,10601,18513,0.572625
