game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myAUSTRIA_myconsistent_oppcicero_nopress_seed0_v1,0,1v6,AUSTRIA,consistent,cicero_nopress,stop_after_W1913A,W1913A,60,15,0,0,16,3,0,0,0.459184,0.000000,0.000000,0.522449,0.018367,0.000000,0.000000,0,0,0,0,0,2,0,0,0,0,1,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,53,76,18,23,13,21,60,73,28,31,14,21,15,21
run_1v6_myAUSTRIA_myconsistent_oppcicero_nopress_seed1_v1,1,1v6,AUSTRIA,consistent,cicero_nopress,max_phases,F1913M,60,0,0,15,1,8,10,0,0.000000,0.000000,0.576923,0.002564,0.164103,0.256410,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,0,13,20,19,19,51,68,28,46,34,45,56,86,15,15
run_1v6_myAUSTRIA_myconsistent_oppcicero_nopress_seed2_v1,2,1v6,AUSTRIA,consistent,cicero_nopress,max_phases,F1913M,60,13,0,7,13,0,1,0,0.435567,0.000000,0.126289,0.435567,0.000000,0.002577,0.000000,0,0,0,0,0,0,1,0,0,2,6,0,0,3,0,0,0,1,2,0,0,1,0,1,0,1,0,0,55,100,15,19,23,42,51,81,13,14,16,34,5,10
run_1v6_myAUSTRIA_myconsistent_oppcicero_nopress_seed3_v1,3,1v6,AUSTRIA,consistent,cicero_nopress,stop_after_W1913A,W1913A,60,10,9,11,0,0,1,3,0.320513,0.259615,0.387821,0.000000,0.000000,0.003205,0.028846,0,0,0,0,0,2,2,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,54,104,40,42,43,70,24,31,9,22,9,32,24,34
run_1v6_myAUSTRIA_myconsistent_oppcicero_nopress_seed4_v1,4,1v6,AUSTRIA,consistent,cicero_nopress,stop_after_W1913A,W1913A,60,0,13,2,2,17,0,0,0.000000,0.362661,0.008584,0.008584,0.620172,0.000000,0.000000,0,0,0,0,2,4,0,0,0,0,1,0,1,7,1,0,0,1,1,0,0,0,0,0,0,1,0,0,22,34,51,64,11,39,47,62,64,85,2,20,11,18
run_1v6_myAUSTRIA_myconsistent_oppcicero_nopress_seed5_v1,5,1v6,AUSTRIA,consistent,cicero_nopress,solo_18sc_FRANCE,F1911R,48,3,0,18,0,13,0,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,37,54,16,27,36,44,11,17,32,38,10,19,7,29
run_1v6_myAUSTRIA_myconsistent_oppcicero_nopress_seed7_v1,7,1v6,AUSTRIA,consistent,cicero_nopress,max_phases,F1913R,60,14,4,16,0,0,0,0,0.418803,0.034188,0.547009,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,1,73,104,23,34,58,96,25,40,11,13,7,13,9,23
run_1v6_myAUSTRIA_myconsistent_oppcicero_nopress_seed6_v1,6,1v6,AUSTRIA,consistent,cicero_nopress,solo_18sc_FRANCE,F1913R,60,0,3,18,0,2,2,9,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,2,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,17,33,29,33,42,46,16,29,39,53,22,35,44,72
run_1v6_myAUSTRIA_myconsistent_oppcicero_nopress_seed8_v1,8,1v6,AUSTRIA,consistent,cicero_nopress,solo_18sc_GERMANY,F1911M,50,5,0,3,18,3,0,5,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,36,62,12,12,22,31,55,65,13,17,7,27,19,30
run_1v6_myAUSTRIA_myconsistent_oppcicero_nopress_seed9_v1,9,1v6,AUSTRIA,consistent,cicero_nopress,solo_18sc_AUSTRIA,F1911R,49,18,7,7,0,1,1,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,43,66,21,23,18,48,15,34,9,9,13,19,6,9
