game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myFRANCE_myconsistent_oppcicero_nopress_seed0_v1,0,1v6,FRANCE,consistent,cicero_nopress,solo_18sc_ITALY,F1913R,58,0,9,7,0,18,0,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,1,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,15,18,29,46,54,85,17,22,77,93,16,29,12,20
run_1v6_myFRANCE_myconsistent_oppcicero_nopress_seed1_v1,1,1v6,FRANCE,consistent,cicero_nopress,solo_18sc_AUSTRIA,F1912R,55,18,7,0,3,6,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,2,0,0,0,2,0,0,0,0,0,0,2,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,52,79,40,56,3,5,44,59,38,46,9,15,6,11
run_1v6_myFRANCE_myconsistent_oppcicero_nopress_seed2_v1,2,1v6,FRANCE,consistent,cicero_nopress,stop_after_W1913A,W1913A,59,0,9,9,0,0,0,16,0.000000,0.193780,0.193780,0.000000,0.000000,0.000000,0.612440,0,1,0,0,2,2,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,2,0,0,0,1,1,0,13,32,26,31,32,48,32,47,19,25,8,15,51,62
run_1v6_myFRANCE_myconsistent_oppcicero_nopress_seed3_v1,3,1v6,FRANCE,consistent,cicero_nopress,stop_after_W1913A,W1913A,60,0,4,4,10,9,0,7,0.000000,0.061069,0.061069,0.381679,0.309160,0.000000,0.187023,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,17,18,28,39,32,44,42,53,31,39,22,32,23,32
run_1v6_myFRANCE_myconsistent_oppcicero_nopress_seed4_v1,4,1v6,FRANCE,consistent,cicero_nopress,stop_after_W1913A,W1913A,60,2,12,0,0,0,6,14,0.010526,0.378947,0.000000,0.000000,0.000000,0.094737,0.515789,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,1,0,0,28,53,56,73,34,38,10,17,6,8,21,41,45,65
run_1v6_myFRANCE_myconsistent_oppcicero_nopress_seed5_v1,5,1v6,FRANCE,consistent,cicero_nopress,max_phases,F1913M,60,0,0,3,11,2,10,8,0.000000,0.000000,0.030201,0.406040,0.013423,0.335570,0.214765,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,3,10,13,29,34,53,57,20,24,53,89,35,39
run_1v6_myFRANCE_myconsistent_oppcicero_nopress_seed6_v1,6,1v6,FRANCE,consistent,cicero_nopress,stop_after_W1913A,W1913A,57,1,14,3,0,2,0,14,0.002463,0.482759,0.022167,0.000000,0.009852,0.000000,0.482759,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,14,48,40,41,19,32,29,33,36,50,9,29,44,68
run_1v6_myFRANCE_myconsistent_oppcicero_nopress_seed7_v1,7,1v6,FRANCE,consistent,cicero_nopress,max_phases,F1913M,60,0,8,11,0,2,5,8,0.000000,0.230216,0.435252,0.000000,0.014388,0.089928,0.230216,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,41,54,56,75,27,36,21,29,44,68,32,52
run_1v6_myFRANCE_myconsistent_oppcicero_nopress_seed8_v1,8,1v6,FRANCE,consistent,cicero_nopress,solo_18sc_AUSTRIA,F1912M,51,18,1,0,15,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,131,21,25,15,20,39,133,6,7,8,19,3,7
run_1v6_myFRANCE_myconsistent_oppcicero_nopress_seed9_v1,9,1v6,FRANCE,consistent,cicero_nopress,max_phases,F1913M,60,6,16,3,0,7,0,2,0.101695,0.723164,0.025424,0.000000,0.138418,0.000000,0.011299,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,45,66,67,88,43,62,16,31,30,40,6,18,18,36
