game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myGERMANY_myconsistent_oppcicero_nopress_seed0_v1,0,1v6,GERMANY,consistent,cicero_nopress,stop_after_W1913A,W1913A,59,0,0,1,16,17,0,0,0.000000,0.000000,0.001832,0.468864,0.529304,0.000000,0.000000,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,15,18,10,12,29,33,68,118,67,92,7,15,27,47
run_1v6_myGERMANY_myconsistent_oppcicero_nopress_seed1_v1,1,1v6,GERMANY,consistent,cicero_nopress,solo_18sc_ENGLAND,F1912R,53,0,18,0,0,0,0,16,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,20,66,82,33,42,11,25,16,21,9,17,65,89
run_1v6_myGERMANY_myconsistent_oppcicero_nopress_seed2_v1,2,1v6,GERMANY,consistent,cicero_nopress,max_phases,S1915M,60,6,0,0,17,11,0,0,0.080717,0.000000,0.000000,0.647982,0.271300,0.000000,0.000000,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,1,0,0,0,0,0,0,0,0,20,80,21,24,23,27,100,119,54,124,8,12,9,12
run_1v6_myGERMANY_myconsistent_oppcicero_nopress_seed4_v1,4,1v6,GERMANY,consistent,cicero_nopress,solo_18sc_TURKEY,F1912R,56,0,3,8,5,0,0,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,17,21,13,17,51,60,38,71,22,30,6,10,44,48
run_1v6_myGERMANY_myconsistent_oppcicero_nopress_seed3_v1,3,1v6,GERMANY,consistent,cicero_nopress,max_phases,S1913R,60,8,4,5,10,1,0,6,0.264463,0.066116,0.103306,0.413223,0.004132,0.000000,0.148760,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,36,63,10,12,38,42,50,79,10,16,17,24,16,26
run_1v6_myGERMANY_myconsistent_oppcicero_nopress_seed6_v1,6,1v6,GERMANY,consistent,cicero_nopress,max_phases,S1913R,60,0,0,4,14,5,0,11,0.000000,0.000000,0.044693,0.547486,0.069832,0.000000,0.337989,0,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,17,31,23,27,30,43,63,94,19,31,14,26,34,46
run_1v6_myGERMANY_myconsistent_oppcicero_nopress_seed5_v1,5,1v6,GERMANY,consistent,cicero_nopress,stop_after_W1913A,W1913A,59,3,2,13,1,3,3,9,0.031915,0.014184,0.599291,0.003546,0.031915,0.031915,0.287234,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,4,0,0,35,56,24,48,44,72,28,37,22,34,26,35,32,66
run_1v6_myGERMANY_myconsistent_oppcicero_nopress_seed7_v1,7,1v6,GERMANY,consistent,cicero_nopress,solo_18sc_GERMANY,F1911R,47,0,0,0,19,8,0,7,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,0,1,8,13,7,16,11,12,51,60,61,67,36,53,26,46
run_1v6_myGERMANY_myconsistent_oppcicero_nopress_seed8_v1,8,1v6,GERMANY,consistent,cicero_nopress,solo_18sc_ITALY,F1913R,58,0,2,10,4,18,0,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,12,25,23,36,37,50,42,45,60,74,31,37,11,20
run_1v6_myGERMANY_myconsistent_oppcicero_nopress_seed9_v1,9,1v6,GERMANY,consistent,cicero_nopress,solo_18sc_FRANCE,F1912R,55,0,0,20,0,6,5,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,19,36,18,28,50,66,30,47,40,54,24,43,21,52
