side,agent_name,scope,power,n_samples,mean_sos,win_rate,most_sc_rate,survived_rate,defeated_rate,win_count,most_sc_count,survived_count,defeated_count,c1_total,c2_total,c3_total,c4_total,c1_avg_per_sample,c2_avg_per_sample,c3_avg_per_sample,c4_avg_per_sample,support_success_total,support_total_total,support_success_ratio
self,consistent,per_power,AUSTRIA,10,0.263407,0.100000,0.100000,0.300000,0.500000,1,1,3,5,0,0,0,0,0.000000,0.000000,0.000000,0.000000,403,653,0.617152
self,consistent,per_power,ENGLAND,10,0.047559,0.000000,0.000000,0.500000,0.500000,0,0,5,5,0,0,0,0,0.000000,0.000000,0.000000,0.000000,233,324,0.719136
self,consistent,per_power,FRANCE,10,0.076789,0.000000,0.100000,0.500000,0.400000,0,1,5,4,0,0,0,0,0.000000,0.000000,0.000000,0.000000,317,443,0.715576
self,consistent,per_power,GERMANY,10,0.308110,0.100000,0.300000,0.200000,0.400000,1,3,2,4,0,2,0,0,0.000000,0.200000,0.000000,0.000000,481,695,0.692086
self,consistent,per_power,ITALY,10,0.123664,0.100000,0.000000,0.400000,0.500000,1,0,4,5,1,3,0,0,0.100000,0.300000,0.000000,0.000000,321,570,0.563158
self,consistent,per_power,RUSSIA,10,0.089130,0.000000,0.100000,0.300000,0.600000,0,1,3,6,0,1,0,0,0.000000,0.100000,0.000000,0.000000,237,364,0.651099
self,consistent,per_power,TURKEY,10,0.194154,0.100000,0.000000,0.300000,0.600000,1,0,3,6,0,2,0,0,0.000000,0.200000,0.000000,0.000000,229,337,0.679525
opponent,cicero_nopress,per_power,AUSTRIA,60,0.054684,0.033333,0.016667,0.166667,0.783333,2,1,10,47,8,48,5,0,0.133333,0.800000,0.083333,0.000000,1160,2040,0.568627
opponent,cicero_nopress,per_power,ENGLAND,60,0.090067,0.016667,0.033333,0.333333,0.616667,1,2,20,37,23,63,15,2,0.383333,1.050000,0.250000,0.033333,1346,1860,0.723656
opponent,cicero_nopress,per_power,FRANCE,60,0.288487,0.116667,0.216667,0.283333,0.383333,7,13,17,23,28,50,50,0,0.466667,0.833333,0.833333,0.000000,2175,3197,0.680325
opponent,cicero_nopress,per_power,GERMANY,60,0.126893,0.066667,0.083333,0.316667,0.533333,4,5,19,32,22,74,42,1,0.366667,1.233333,0.700000,0.016667,1967,3048,0.645341
opponent,cicero_nopress,per_power,ITALY,60,0.203005,0.133333,0.083333,0.266667,0.516667,8,5,16,31,25,51,16,1,0.416667,0.850000,0.266667,0.016667,1887,2531,0.745555
opponent,cicero_nopress,per_power,RUSSIA,60,0.046240,0.000000,0.033333,0.316667,0.650000,0,2,19,39,12,31,7,1,0.200000,0.516667,0.116667,0.016667,1172,2055,0.570316
opponent,cicero_nopress,per_power,TURKEY,60,0.173489,0.033333,0.166667,0.233333,0.566667,2,10,14,34,13,59,11,3,0.216667,0.983333,0.183333,0.050000,1578,2401,0.657226
self,consistent,overall,OVERALL,70,0.157545,0.057143,0.085714,0.357143,0.500000,4,6,25,35,1,8,0,0,0.014286,0.114286,0.000000,0.000000,2221,3386,0.655936
opponent,cicero_nopress,overall,OVERALL,420,0.140409,0.057143,0.090476,0.273810,0.578571,24,38,115,243,131,376,146,8,0.311905,0.895238,0.347619,0.019048,11285,17132,0.658709
