game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myAUSTRIA_myconsistent_oppcicero_nopress_seed7_v2,7,1v6,AUSTRIA,consistent,cicero_nopress,stop_after_W1913A,W1913A,59,12,0,6,12,2,0,2,0.433735,0.000000,0.108434,0.433735,0.012048,0.000000,0.012048,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,41,61,5,11,48,60,58,83,25,34,13,21,14,29
run_1v6_myAUSTRIA_myconsistent_oppcicero_nopress_seed6_v2,6,1v6,AUSTRIA,consistent,cicero_nopress,stop_after_W1913A,W1913A,60,1,8,0,9,16,0,0,0.002488,0.159204,0.000000,0.201493,0.636816,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,41,49,55,58,15,16,42,72,48,56,3,7,13,26
run_1v6_myAUSTRIA_myconsistent_oppcicero_nopress_seed9_v2,9,1v6,AUSTRIA,consistent,cicero_nopress,solo_18sc_FRANCE,F1913R,56,0,0,18,0,10,6,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,3,0,1,10,17,5,7,71,102,16,44,29,58,55,114,16,30
run_1v6_myAUSTRIA_myconsistent_oppcicero_nopress_seed8_v2,8,1v6,AUSTRIA,consistent,cicero_nopress,stop_after_W1913A,W1913A,59,2,0,13,2,1,4,12,0.011834,0.000000,0.500000,0.011834,0.002959,0.047337,0.426036,0,0,0,0,0,1,0,0,1,2,1,0,0,2,2,1,0,0,0,0,0,0,2,0,1,0,0,0,23,61,15,22,44,71,25,74,21,30,18,33,39,50
run_1v6_myAUSTRIA_myconsistent_oppcicero_nopress_seed3_v2,3,1v6,AUSTRIA,consistent,cicero_nopress,stop_after_W1913A,W1913A,52,0,4,6,6,0,1,17,0.000000,0.042328,0.095238,0.095238,0.000000,0.002646,0.764550,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,17,24,42,38,45,48,62,15,20,8,14,101,108
run_1v6_myAUSTRIA_myconsistent_oppcicero_nopress_seed1_v2,1,1v6,AUSTRIA,consistent,cicero_nopress,solo_18sc_FRANCE,F1912R,51,3,0,21,0,0,7,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,1,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,1,0,1,2,1,0,33,57,12,19,55,69,37,45,17,21,29,49,31,37
run_1v6_myAUSTRIA_myconsistent_oppcicero_nopress_seed2_v2,2,1v6,AUSTRIA,consistent,cicero_nopress,solo_18sc_TURKEY,F1913R,59,0,15,1,0,0,0,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,1,1,0,0,0,0,0,0,2,0,0,5,5,72,86,22,29,24,35,31,32,25,38,52,87
run_1v6_myAUSTRIA_myconsistent_oppcicero_nopress_seed5_v2,5,1v6,AUSTRIA,consistent,cicero_nopress,stop_after_W1913A,W1913A,59,0,2,16,0,3,0,13,0.000000,0.009132,0.584475,0.000000,0.020548,0.000000,0.385845,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,21,38,19,23,66,89,23,28,33,56,11,18,53,82
run_1v6_myAUSTRIA_myconsistent_oppcicero_nopress_seed4_v2,4,1v6,AUSTRIA,consistent,cicero_nopress,stop_after_W1913A,W1913A,60,0,0,3,16,1,0,14,0.000000,0.000000,0.019481,0.554113,0.002165,0.000000,0.424242,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,27,51,7,12,30,33,61,72,29,32,10,47,52,68
run_1v6_myAUSTRIA_myconsistent_oppcicero_nopress_seed0_v2,0,1v6,AUSTRIA,consistent,cicero_nopress,max_phases,S1913R,60,0,8,5,3,9,6,3,0.000000,0.285714,0.111607,0.040179,0.361607,0.160714,0.040179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,9,47,55,17,31,40,51,40,50,44,64,32,42
