game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myENGLAND_myconsistent_oppcicero_nopress_seed0_v2,0,1v6,ENGLAND,consistent,cicero_nopress,max_phases,F1914M,60,0,0,17,1,0,0,16,0.000000,0.000000,0.529304,0.001832,0.000000,0.000000,0.468864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,1,0,0,0,2,2,10,21,104,127,19,27,19,24,17,24,102,129
run_1v6_myENGLAND_myconsistent_oppcicero_nopress_seed1_v2,1,1v6,ENGLAND,consistent,cicero_nopress,max_phases,F1913M,60,0,0,16,0,15,3,0,0.000000,0.000000,0.522449,0.000000,0.459184,0.018367,0.000000,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,2,1,0,0,1,0,1,0,1,0,0,12,17,8,19,61,104,16,30,64,85,53,73,8,14
run_1v6_myENGLAND_myconsistent_oppcicero_nopress_seed3_v2,3,1v6,ENGLAND,consistent,cicero_nopress,solo_18sc_FRANCE,F1910R,47,0,0,18,0,9,6,1,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0,2,0,0,12,25,11,15,45,52,18,19,27,37,31,40,17,21
run_1v6_myENGLAND_myconsistent_oppcicero_nopress_seed2_v2,2,1v6,ENGLAND,consistent,cicero_nopress,stop_after_W1913A,W1913A,60,0,13,4,0,0,15,2,0.000000,0.408213,0.038647,0.000000,0.000000,0.543478,0.009662,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10,20,34,48,39,57,24,28,28,36,48,71,31,44
run_1v6_myENGLAND_myconsistent_oppcicero_nopress_seed4_v2,4,1v6,ENGLAND,consistent,cicero_nopress,max_phases,F1917M,60,0,0,15,1,17,1,0,0.000000,0.000000,0.436047,0.001938,0.560078,0.001938,0.000000,0,0,0,0,0,0,0,0,0,3,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,18,22,8,9,122,188,41,67,89,119,7,23,7,15
run_1v6_myENGLAND_myconsistent_oppcicero_nopress_seed6_v2,6,1v6,ENGLAND,consistent,cicero_nopress,solo_18sc_FRANCE,F1910R,46,2,0,19,0,10,3,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,53,9,31,44,53,14,31,29,51,30,44,2,19
run_1v6_myENGLAND_myconsistent_oppcicero_nopress_seed5_v2,5,1v6,ENGLAND,consistent,cicero_nopress,solo_18sc_FRANCE,F1913R,59,6,0,18,0,0,2,8,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,51,74,14,32,75,87,23,26,9,14,12,37,34,55
run_1v6_myENGLAND_myconsistent_oppcicero_nopress_seed7_v2,7,1v6,ENGLAND,consistent,cicero_nopress,solo_18sc_ITALY,F1910R,45,1,8,5,0,20,0,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,1,0,0,1,3,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,1,31,41,13,27,33,46,14,26,45,51,4,16,14,23
run_1v6_myENGLAND_myconsistent_oppcicero_nopress_seed8_v2,8,1v6,ENGLAND,consistent,cicero_nopress,stop_after_W1913A,W1913A,59,0,6,10,2,0,16,0,0.000000,0.090909,0.252525,0.010101,0.000000,0.646465,0.000000,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,1,0,0,1,3,0,0,0,0,0,6,9,20,31,50,74,46,79,9,12,80,99,14,17
run_1v6_myENGLAND_myconsistent_oppcicero_nopress_seed9_v2,9,1v6,ENGLAND,consistent,cicero_nopress,stop_after_W1913A,W1913A,59,0,8,9,0,0,17,0,0.000000,0.147465,0.186636,0.000000,0.000000,0.665899,0.000000,0,1,0,0,0,1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,28,54,32,53,10,38,18,23,69,117,16,22
