game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myITALY_myconsistent_oppcicero_nopress_seed8_v2,8,1v6,ITALY,consistent,cicero_nopress,solo_18sc_GERMANY,F1911R,52,8,0,0,18,1,2,5,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,1,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,42,58,9,26,3,7,60,71,13,23,29,40,24,34
run_1v6_myITALY_myconsistent_oppcicero_nopress_seed7_v2,7,1v6,ITALY,consistent,cicero_nopress,max_phases,F1913R,60,0,14,2,1,17,0,0,0.000000,0.400000,0.008163,0.002041,0.589796,0.000000,0.000000,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,8,34,43,46,50,30,31,60,73,13,19,20,30
run_1v6_myITALY_myconsistent_oppcicero_nopress_seed9_v2,9,1v6,ITALY,consistent,cicero_nopress,stop_after_W1913A,W1913A,59,0,8,4,13,0,1,8,0.000000,0.203822,0.050955,0.538217,0.000000,0.003185,0.203822,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,8,15,38,44,38,43,68,80,33,52,16,42,18,43
run_1v6_myITALY_myconsistent_oppcicero_nopress_seed0_v2,0,1v6,ITALY,consistent,cicero_nopress,solo_18sc_ITALY,F1911R,50,1,10,0,3,19,1,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21,40,37,46,15,19,37,48,45,55,21,41,6,19
run_1v6_myITALY_myconsistent_oppcicero_nopress_seed1_v2,1,1v6,ITALY,consistent,cicero_nopress,solo_18sc_FRANCE,F1909M,40,0,0,18,0,0,0,16,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,11,14,9,9,45,58,16,22,21,35,3,4,40,51
run_1v6_myITALY_myconsistent_oppcicero_nopress_seed5_v2,5,1v6,ITALY,consistent,cicero_nopress,stop_after_W1913A,W1913A,58,0,9,8,3,13,0,1,0.000000,0.250000,0.197531,0.027778,0.521605,0.000000,0.003086,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,13,31,44,39,57,65,84,43,84,4,7,21,39
run_1v6_myITALY_myconsistent_oppcicero_nopress_seed4_v2,4,1v6,ITALY,consistent,cicero_nopress,solo_18sc_ITALY,F1913M,50,0,1,11,4,18,0,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,22,19,21,49,110,27,63,68,74,19,30,8,19
run_1v6_myITALY_myconsistent_oppcicero_nopress_seed3_v2,3,1v6,ITALY,consistent,cicero_nopress,stop_after_W1913A,W1913A,57,0,0,0,17,8,9,0,0.000000,0.000000,0.000000,0.665899,0.147465,0.186636,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,0,0,0,1,0,0,6,6,23,28,7,14,54,73,44,53,44,81,26,31
run_1v6_myITALY_myconsistent_oppcicero_nopress_seed2_v2,2,1v6,ITALY,consistent,cicero_nopress,stop_after_W1913A,W1913A,59,0,0,0,15,8,11,0,0.000000,0.000000,0.000000,0.548780,0.156098,0.295122,0.000000,0,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,16,5,12,31,42,50,64,45,62,58,94,18,39
run_1v6_myITALY_myconsistent_oppcicero_nopress_seed6_v2,6,1v6,ITALY,consistent,cicero_nopress,stop_after_W1913A,W1913A,56,0,0,17,0,3,6,8,0.000000,0.000000,0.726131,0.000000,0.022613,0.090452,0.160804,0,0,2,0,0,3,0,0,2,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,14,21,18,29,41,77,21,36,28,40,53,91,39,49
