game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myRUSSIA_myconsistent_oppcicero_nopress_seed2_v2,2,1v6,RUSSIA,consistent,cicero_nopress,stop_after_W1913A,W1913A,58,0,0,17,0,16,1,0,0.000000,0.000000,0.529304,0.000000,0.468864,0.001832,0.000000,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,15,36,17,25,67,110,12,19,56,78,26,51,5,10
run_1v6_myRUSSIA_myconsistent_oppcicero_nopress_seed0_v2,0,1v6,RUSSIA,consistent,cicero_nopress,stop_after_W1913A,W1913A,56,0,0,9,8,0,2,15,0.000000,0.000000,0.216578,0.171123,0.000000,0.010695,0.601604,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,2,2,14,14,37,56,39,45,34,40,28,43,52,67
run_1v6_myRUSSIA_myconsistent_oppcicero_nopress_seed4_v2,4,1v6,RUSSIA,consistent,cicero_nopress,max_phases,F1913M,60,2,0,8,11,0,5,8,0.014388,0.000000,0.230216,0.435252,0.000000,0.089928,0.230216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,35,41,3,3,48,65,65,78,6,8,28,73,32,68
run_1v6_myRUSSIA_myconsistent_oppcicero_nopress_seed3_v2,3,1v6,RUSSIA,consistent,cicero_nopress,stop_after_W1913A,W1913A,60,0,4,6,6,4,9,5,0.000000,0.076190,0.171429,0.171429,0.076190,0.385714,0.119048,0,1,0,1,0,1,0,0,0,2,2,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,17,29,11,11,30,50,46,61,38,50,46,72,32,42
run_1v6_myRUSSIA_myconsistent_oppcicero_nopress_seed1_v2,1,1v6,RUSSIA,consistent,cicero_nopress,stop_after_W1913A,W1913A,59,3,4,11,0,4,5,7,0.038136,0.067797,0.512712,0.000000,0.067797,0.105932,0.207627,0,0,1,0,0,2,0,0,1,1,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,48,76,22,25,56,72,27,33,16,19,28,40,19,26
run_1v6_myRUSSIA_myconsistent_oppcicero_nopress_seed5_v2,5,1v6,RUSSIA,consistent,cicero_nopress,stop_after_W1913A,W1913A,60,0,0,2,16,7,9,0,0.000000,0.000000,0.010256,0.656410,0.125641,0.207692,0.000000,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,2,2,0,1,0,0,0,0,0,0,1,0,13,21,20,25,15,27,64,86,32,48,45,73,17,23
run_1v6_myRUSSIA_myconsistent_oppcicero_nopress_seed6_v2,6,1v6,RUSSIA,consistent,cicero_nopress,solo_18sc_FRANCE,F1913R,56,0,2,18,0,0,5,9,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,39,25,27,50,74,20,48,15,20,20,53,51,72
run_1v6_myRUSSIA_myconsistent_oppcicero_nopress_seed8_v2,8,1v6,RUSSIA,consistent,cicero_nopress,stop_after_W1913A,W1913A,59,0,3,5,7,0,17,2,0.000000,0.023936,0.066489,0.130319,0.000000,0.768617,0.010638,0,1,0,0,2,3,0,0,2,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,16,23,19,34,43,67,48,60,40,48,49,112,13,36
run_1v6_myRUSSIA_myconsistent_oppcicero_nopress_seed7_v2,7,1v6,RUSSIA,consistent,cicero_nopress,stop_after_W1913A,W1913A,59,0,0,5,14,9,0,6,0.000000,0.000000,0.073964,0.579882,0.239645,0.000000,0.106509,0,2,0,0,0,0,2,0,0,0,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,18,32,29,38,28,33,53,63,48,54,18,24,36,54
run_1v6_myRUSSIA_myconsistent_oppcicero_nopress_seed9_v2,9,1v6,RUSSIA,consistent,cicero_nopress,max_phases,F1913M,60,0,3,14,0,14,0,3,0.000000,0.021951,0.478049,0.000000,0.478049,0.000000,0.021951,0,0,0,0,0,2,0,0,0,1,2,0,0,1,1,0,0,0,2,0,0,0,0,0,0,2,0,0,7,17,30,38,49,66,17,27,56,66,4,14,35,50
