game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myTURKEY_myconsistent_oppcicero_nopress_seed2_v2,2,1v6,TURKEY,consistent,cicero_nopress,stop_after_W1913A,W1913A,55,17,1,10,6,0,0,0,0.678404,0.002347,0.234742,0.084507,0.000000,0.000000,0.000000,1,2,1,0,0,1,0,0,0,1,0,0,1,5,0,0,0,0,0,0,1,3,0,0,0,0,0,0,82,109,6,10,62,71,43,84,10,10,14,29,2,6
run_1v6_myTURKEY_myconsistent_oppcicero_nopress_seed0_v2,0,1v6,TURKEY,consistent,cicero_nopress,max_phases,S1914M,60,15,0,11,4,4,0,0,0.595238,0.000000,0.320106,0.042328,0.042328,0.000000,0.000000,3,1,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,76,101,17,18,59,81,28,47,43,59,9,14,13,17
run_1v6_myTURKEY_myconsistent_oppcicero_nopress_seed1_v2,1,1v6,TURKEY,consistent,cicero_nopress,stop_after_W1913A,W1913A,60,0,0,15,0,8,11,0,0.000000,0.000000,0.548780,0.000000,0.156098,0.295122,0.000000,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,3,1,0,0,0,0,0,0,19,27,6,7,73,133,31,36,54,74,51,76,7,19
run_1v6_myTURKEY_myconsistent_oppcicero_nopress_seed3_v2,3,1v6,TURKEY,consistent,cicero_nopress,solo_18sc_FRANCE,F1912R,52,7,0,19,0,0,3,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,55,33,36,55,93,14,36,6,6,18,22,30,52
run_1v6_myTURKEY_myconsistent_oppcicero_nopress_seed4_v2,4,1v6,TURKEY,consistent,cicero_nopress,solo_18sc_ENGLAND,F1910R,43,0,18,0,0,3,12,1,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13,16,49,61,6,23,32,39,29,42,34,53,21,29
run_1v6_myTURKEY_myconsistent_oppcicero_nopress_seed7_v2,7,1v6,TURKEY,consistent,cicero_nopress,solo_18sc_AUSTRIA,F1910R,46,18,14,0,2,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,0,5,4,0,0,0,0,1,0,1,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,56,75,48,57,10,20,28,37,7,7,16,22,5,5
run_1v6_myTURKEY_myconsistent_oppcicero_nopress_seed5_v2,5,1v6,TURKEY,consistent,cicero_nopress,max_phases,F1913R,60,0,13,5,0,0,0,16,0.000000,0.375556,0.055556,0.000000,0.000000,0.000000,0.568889,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,31,40,52,90,41,48,27,42,10,10,11,17,42,49
run_1v6_myTURKEY_myconsistent_oppcicero_nopress_seed6_v2,6,1v6,TURKEY,consistent,cicero_nopress,stop_after_W1913A,W1913A,59,5,15,6,0,0,0,8,0.071429,0.642857,0.102857,0.000000,0.000000,0.000000,0.182857,2,2,0,0,1,1,0,0,1,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,46,79,68,80,52,72,16,34,7,8,13,35,17,51
run_1v6_myTURKEY_myconsistent_oppcicero_nopress_seed9_v2,9,1v6,TURKEY,consistent,cicero_nopress,stop_after_W1913A,W1913A,60,0,0,10,11,0,0,13,0.000000,0.000000,0.256410,0.310256,0.000000,0.000000,0.433333,0,4,0,0,0,0,0,0,2,0,1,0,0,1,1,0,2,3,1,0,0,0,0,0,0,0,0,0,16,24,17,18,52,77,88,105,19,29,12,18,56,76
run_1v6_myTURKEY_myconsistent_oppcicero_nopress_seed8_v2,8,1v6,TURKEY,consistent,cicero_nopress,solo_18sc_FRANCE,F1912R,57,0,0,18,0,11,5,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,1,1,0,0,2,0,0,0,2,1,0,1,2,1,0,1,2,1,0,1,2,0,0,0,0,0,0,17,25,5,6,57,84,32,39,34,56,32,67,13,36
