side,agent_name,scope,power,n_samples,mean_sos,win_rate,most_sc_rate,survived_rate,defeated_rate,win_count,most_sc_count,survived_count,defeated_count,c1_total,c2_total,c3_total,c4_total,c1_avg_per_sample,c2_avg_per_sample,c3_avg_per_sample,c4_avg_per_sample,support_success_total,support_total_total,support_success_ratio
self,consistent,per_power,AUSTRIA,10,0.044806,0.000000,0.100000,0.200000,0.700000,0,1,2,7,0,0,0,0,0.000000,0.000000,0.000000,0.000000,226,365,0.619178
self,consistent,per_power,ENGLAND,10,0.064659,0.000000,0.000000,0.300000,0.700000,0,0,3,7,1,3,0,0,0.100000,0.300000,0.000000,0.000000,155,287,0.540070
self,consistent,per_power,FRANCE,10,0.625438,0.500000,0.200000,0.200000,0.100000,5,2,2,1,0,4,2,0,0.000000,0.400000,0.200000,0.000000,368,569,0.646749
self,consistent,per_power,GERMANY,10,0.402329,0.200000,0.400000,0.100000,0.300000,2,4,1,3,0,6,0,0,0.000000,0.600000,0.000000,0.000000,385,556,0.692446
self,consistent,per_power,ITALY,10,0.343758,0.200000,0.200000,0.300000,0.300000,2,2,3,3,0,1,1,0,0.000000,0.100000,0.100000,0.000000,400,551,0.725953
self,consistent,per_power,RUSSIA,10,0.157041,0.000000,0.200000,0.500000,0.300000,0,2,5,3,0,2,0,0,0.000000,0.200000,0.000000,0.000000,292,555,0.526126
self,consistent,per_power,TURKEY,10,0.118508,0.000000,0.200000,0.100000,0.700000,0,2,1,7,0,0,0,0,0.000000,0.000000,0.000000,0.000000,206,340,0.605882
opponent,cicero_nopress,per_power,AUSTRIA,60,0.090014,0.033333,0.066667,0.116667,0.783333,2,4,7,47,21,45,14,1,0.350000,0.750000,0.233333,0.016667,1506,2252,0.668739
opponent,cicero_nopress,per_power,ENGLAND,60,0.074269,0.016667,0.033333,0.283333,0.666667,1,2,17,40,15,39,7,0,0.250000,0.650000,0.116667,0.000000,1366,1796,0.760579
opponent,cicero_nopress,per_power,FRANCE,60,0.315699,0.166667,0.166667,0.416667,0.250000,10,10,25,15,22,45,45,0,0.366667,0.750000,0.750000,0.000000,2551,3639,0.701017
opponent,cicero_nopress,per_power,GERMANY,60,0.118177,0.016667,0.133333,0.333333,0.516667,1,8,20,31,10,46,46,4,0.166667,0.766667,0.766667,0.066667,2052,2999,0.684228
opponent,cicero_nopress,per_power,ITALY,60,0.105353,0.016667,0.083333,0.333333,0.566667,1,5,20,34,27,53,20,4,0.450000,0.883333,0.333333,0.066667,1716,2358,0.727735
opponent,cicero_nopress,per_power,RUSSIA,60,0.069378,0.000000,0.066667,0.300000,0.633333,0,4,18,38,18,37,12,2,0.300000,0.616667,0.200000,0.033333,1629,2738,0.594960
opponent,cicero_nopress,per_power,TURKEY,60,0.101020,0.016667,0.050000,0.333333,0.600000,1,3,20,36,12,43,7,2,0.200000,0.716667,0.116667,0.033333,1565,2402,0.651540
self,consistent,overall,OVERALL,70,0.250934,0.128571,0.185714,0.242857,0.442857,9,13,17,31,1,16,3,0,0.014286,0.228571,0.042857,0.000000,2032,3223,0.630469
opponent,cicero_nopress,overall,OVERALL,420,0.124844,0.038095,0.085714,0.302381,0.573810,16,36,127,241,125,308,151,13,0.297619,0.733333,0.359524,0.030952,12385,18184,0.681093
