game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed1_v1,1,1v6,AUSTRIA,consistent,dipnet,solo_18sc_FRANCE,F1910R,46,15,0,18,0,1,0,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1,2,0,0,0,0,0,0,2,2,0,0,1,2,0,0,0,1,0,0,0,3,1,1,0,1,0,0,45,87,15,20,43,66,18,27,11,25,9,20,4,9
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed0_v1,0,1v6,AUSTRIA,consistent,dipnet,solo_18sc_AUSTRIA,F1913R,56,18,1,15,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,1,1,0,3,3,1,0,0,0,2,0,1,1,0,1,0,1,1,0,1,1,0,1,71,115,15,22,71,90,24,34,9,22,8,15,4,41
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed3_v1,3,1v6,AUSTRIA,consistent,dipnet,solo_18sc_FRANCE,F1910R,42,0,0,19,0,6,3,6,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,1,0,0,0,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,4,4,19,23,34,57,18,34,45,46,2,36,7,61
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed2_v1,2,1v6,AUSTRIA,consistent,dipnet,stop_after_W1913A,W1913A,56,8,0,8,9,9,0,0,0.220690,0.000000,0.220690,0.279310,0.279310,0.000000,0.000000,0,0,0,0,0,1,0,0,2,4,0,0,4,4,7,0,0,1,0,0,1,1,0,0,0,2,0,1,47,67,16,25,12,114,24,106,23,41,21,36,15,37
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed4_v1,4,1v6,AUSTRIA,consistent,dipnet,solo_18sc_FRANCE,F1913R,53,0,0,18,0,3,5,8,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,3,0,0,6,8,12,16,46,164,14,18,16,44,49,108,35,101
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed6_v1,6,1v6,AUSTRIA,consistent,dipnet,solo_18sc_FRANCE,F1911R,46,0,0,19,0,7,3,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,10,12,3,3,34,85,16,30,40,86,33,89,20,63
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed5_v1,5,1v6,AUSTRIA,consistent,dipnet,solo_18sc_FRANCE,F1912R,49,4,0,20,0,3,2,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,35,66,10,12,46,66,19,47,2,2,24,61,18,36
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed7_v1,7,1v6,AUSTRIA,consistent,dipnet,stop_after_W1913A,W1913A,59,17,6,11,0,0,0,0,0.647982,0.080717,0.271300,0.000000,0.000000,0.000000,0.000000,0,3,0,0,1,5,1,0,2,5,1,0,0,0,0,0,1,0,0,1,0,0,3,0,0,1,1,0,67,96,43,62,41,94,14,32,6,11,7,18,10,22
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed8_v1,8,1v6,AUSTRIA,consistent,dipnet,stop_after_W1913A,W1913A,59,0,0,2,15,0,1,16,0.000000,0.000000,0.008230,0.462963,0.000000,0.002058,0.526749,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,1,2,1,0,3,0,0,0,0,2,0,0,4,13,14,15,23,107,33,123,23,36,9,48,59,83
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed9_v1,9,1v6,AUSTRIA,consistent,dipnet,stop_after_W1913A,W1913A,58,0,0,8,9,2,0,15,0.000000,0.000000,0.171123,0.216578,0.010695,0.000000,0.601604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,1,1,0,5,7,12,13,44,79,42,101,42,64,12,42,65,91
