game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myENGLAND_myconsistent_oppdipnet_seed0_v1,0,1v6,ENGLAND,consistent,dipnet,solo_18sc_ENGLAND,F1910R,43,4,19,1,0,4,2,4,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,30,36,37,47,16,64,17,21,2,3,21,36,4,29
run_1v6_myENGLAND_myconsistent_oppdipnet_seed1_v1,1,1v6,ENGLAND,consistent,dipnet,solo_18sc_RUSSIA,F1912R,56,0,0,1,0,0,19,14,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0,1,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,2,0,0,6,21,16,19,26,71,19,31,9,17,47,73,42,79
run_1v6_myENGLAND_myconsistent_oppdipnet_seed2_v1,2,1v6,ENGLAND,consistent,dipnet,stop_after_W1913A,W1913A,52,9,10,7,0,8,0,0,0.275510,0.340136,0.166667,0.000000,0.217687,0.000000,0.000000,8,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,1,1,0,1,0,0,0,0,0,0,33,70,16,26,53,85,37,50,23,38,21,36,0,18
run_1v6_myENGLAND_myconsistent_oppdipnet_seed4_v1,4,1v6,ENGLAND,consistent,dipnet,stop_after_W1913A,W1913A,49,1,0,5,12,6,6,4,0.003876,0.000000,0.096899,0.558140,0.139535,0.139535,0.062016,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,9,0,23,28,9,14,17,101,49,98,50,105,44,94,25,38
run_1v6_myENGLAND_myconsistent_oppdipnet_seed3_v1,3,1v6,ENGLAND,consistent,dipnet,max_phases,F1913R,60,0,2,13,2,0,17,0,0.000000,0.008584,0.362661,0.008584,0.000000,0.620172,0.000000,1,1,0,0,0,0,0,0,1,2,1,0,0,1,1,1,1,1,0,0,0,2,0,0,1,2,0,0,5,8,18,46,51,93,23,68,35,48,36,92,36,53
run_1v6_myENGLAND_myconsistent_oppdipnet_seed6_v1,6,1v6,ENGLAND,consistent,dipnet,stop_after_W1913A,W1913A,57,0,0,8,16,5,0,5,0.000000,0.000000,0.172973,0.691892,0.067568,0.000000,0.067568,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,0,0,0,1,0,0,0,1,1,0,8,14,9,19,30,81,74,113,38,87,14,51,43,59
run_1v6_myENGLAND_myconsistent_oppdipnet_seed5_v1,5,1v6,ENGLAND,consistent,dipnet,solo_18sc_ENGLAND,F1912R,48,0,19,0,0,2,7,6,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,4,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,4,0,1,1,1,0,0,16,24,44,68,22,36,15,17,7,19,28,74,23,48
run_1v6_myENGLAND_myconsistent_oppdipnet_seed7_v1,7,1v6,ENGLAND,consistent,dipnet,solo_18sc_FRANCE,F1910R,41,1,0,18,0,4,5,6,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,23,18,30,41,58,14,19,0,18,7,68,16,19
run_1v6_myENGLAND_myconsistent_oppdipnet_seed8_v1,8,1v6,ENGLAND,consistent,dipnet,stop_after_W1913A,W1913A,46,2,4,12,1,6,5,4,0.016529,0.066116,0.595041,0.004132,0.148760,0.103306,0.066116,0,0,0,0,0,1,0,0,2,1,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24,26,23,34,42,95,37,49,50,105,44,94,26,47
run_1v6_myENGLAND_myconsistent_oppdipnet_seed9_v1,9,1v6,ENGLAND,consistent,dipnet,stop_after_W1913A,W1913A,56,0,6,8,0,2,11,7,0.000000,0.131387,0.233577,0.000000,0.014599,0.441606,0.178832,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,8,31,42,33,101,23,63,35,42,38,97,50,69
