game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myFRANCE_myconsistent_oppdipnet_seed0_v1,0,1v6,FRANCE,consistent,dipnet,stop_after_W1913A,W1913A,58,15,0,14,1,4,0,0,0.513699,0.000000,0.447489,0.002283,0.036530,0.000000,0.000000,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,3,1,1,0,0,0,0,66,108,10,10,58,123,22,29,30,50,24,54,7,18
run_1v6_myFRANCE_myconsistent_oppdipnet_seed1_v1,1,1v6,FRANCE,consistent,dipnet,solo_18sc_FRANCE,F1911R,49,0,0,18,0,16,0,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,1,1,0,0,1,2,0,0,1,0,0,1,2,1,2,0,2,1,0,0,1,0,0,0,0,0,0,10,13,9,10,47,89,22,25,43,76,17,30,3,6
run_1v6_myFRANCE_myconsistent_oppdipnet_seed3_v1,3,1v6,FRANCE,consistent,dipnet,solo_18sc_FRANCE,F1908M,32,2,0,18,1,6,3,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,1,0,0,0,0,0,0,15,21,4,6,28,32,17,21,37,37,8,49,27,27
run_1v6_myFRANCE_myconsistent_oppdipnet_seed2_v1,2,1v6,FRANCE,consistent,dipnet,stop_after_W1913A,W1913A,56,5,10,9,0,9,1,0,0.086806,0.347222,0.281250,0.000000,0.281250,0.003472,0.000000,5,3,2,0,2,2,2,0,0,3,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,27,70,56,92,50,88,10,16,25,117,13,25,0,20
run_1v6_myFRANCE_myconsistent_oppdipnet_seed4_v1,4,1v6,FRANCE,consistent,dipnet,solo_18sc_FRANCE,F1908R,35,0,0,19,1,4,4,6,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,0,0,0,1,0,0,0,5,1,0,5,7,4,6,28,36,12,15,19,53,24,53,17,24
run_1v6_myFRANCE_myconsistent_oppdipnet_seed5_v1,5,1v6,FRANCE,consistent,dipnet,solo_18sc_GERMANY,F1911R,42,5,0,0,18,5,2,4,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,6,0,0,0,0,0,0,0,22,57,12,43,14,20,50,62,15,18,18,69,0,60
run_1v6_myFRANCE_myconsistent_oppdipnet_seed6_v1,6,1v6,FRANCE,consistent,dipnet,solo_18sc_FRANCE,F1909R,37,0,0,19,0,4,6,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,10,18,4,4,29,56,17,19,31,39,15,73,26,34
run_1v6_myFRANCE_myconsistent_oppdipnet_seed7_v1,7,1v6,FRANCE,consistent,dipnet,solo_18sc_ENGLAND,F1910M,42,2,18,0,1,4,3,6,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,6,0,0,13,25,47,54,26,33,6,13,12,23,8,55,17,59
run_1v6_myFRANCE_myconsistent_oppdipnet_seed8_v1,8,1v6,FRANCE,consistent,dipnet,stop_after_W1913A,W1913A,55,0,0,10,5,1,14,4,0.000000,0.000000,0.295858,0.073964,0.002959,0.579882,0.047337,1,2,0,0,0,1,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,2,0,0,0,1,0,11,14,4,4,36,46,44,79,31,56,32,91,10,61
run_1v6_myFRANCE_myconsistent_oppdipnet_seed9_v1,9,1v6,FRANCE,consistent,dipnet,stop_after_W1913A,W1913A,52,0,11,14,0,2,2,5,0.000000,0.345714,0.560000,0.000000,0.011429,0.011429,0.071429,1,2,0,0,2,3,0,0,0,0,0,0,0,4,0,0,2,1,1,0,0,1,0,0,0,0,0,0,24,27,29,35,41,67,17,29,35,67,2,75,45,47
