game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myGERMANY_myconsistent_oppdipnet_seed0_v1,0,1v6,GERMANY,consistent,dipnet,solo_18sc_AUSTRIA,F1909R,40,18,0,9,6,1,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,3,1,0,0,1,1,0,1,2,2,0,0,1,1,0,1,1,0,0,1,2,0,0,0,1,0,0,43,50,3,11,31,41,29,41,5,13,13,31,3,7
run_1v6_myGERMANY_myconsistent_oppdipnet_seed1_v1,1,1v6,GERMANY,consistent,dipnet,max_phases,S1914R,60,9,0,0,14,10,0,1,0.214286,0.000000,0.000000,0.518519,0.264550,0.000000,0.002646,2,1,0,0,0,2,1,0,0,2,1,0,1,2,1,0,0,1,1,0,0,1,0,0,0,1,0,1,63,95,7,17,26,41,70,105,55,86,14,24,15,23
run_1v6_myGERMANY_myconsistent_oppdipnet_seed2_v1,2,1v6,GERMANY,consistent,dipnet,solo_18sc_ITALY,F1910M,42,0,10,4,0,19,1,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,24,21,48,14,71,19,40,37,52,28,43,3,12
run_1v6_myGERMANY_myconsistent_oppdipnet_seed3_v1,3,1v6,GERMANY,consistent,dipnet,stop_after_W1913A,W1913A,52,0,0,16,2,5,0,11,0.000000,0.000000,0.630542,0.009852,0.061576,0.000000,0.298030,0,7,0,0,0,0,0,0,5,1,5,0,0,0,0,0,13,6,1,0,0,3,0,0,0,0,0,0,23,42,6,7,56,87,30,72,51,75,31,71,46,57
run_1v6_myGERMANY_myconsistent_oppdipnet_seed4_v1,4,1v6,GERMANY,consistent,dipnet,solo_18sc_GERMANY,F1910R,45,0,0,5,19,10,0,0,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,1,3,0,0,5,5,0,0,1,4,0,0,1,0,2,0,0,0,0,0,1,1,1,0,8,10,9,19,31,63,49,82,37,68,3,37,13,21
run_1v6_myGERMANY_myconsistent_oppdipnet_seed6_v1,6,1v6,GERMANY,consistent,dipnet,solo_18sc_GERMANY,F1911R,49,0,1,3,18,7,0,5,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1,2,0,0,1,2,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,2,0,4,8,13,15,25,53,56,72,53,69,3,16,24,61
run_1v6_myGERMANY_myconsistent_oppdipnet_seed5_v1,5,1v6,GERMANY,consistent,dipnet,solo_18sc_ITALY,F1912R,50,0,5,1,10,18,0,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,3,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,1,18,42,13,46,18,63,34,89,35,116,8,18,3,14
run_1v6_myGERMANY_myconsistent_oppdipnet_seed8_v1,8,1v6,GERMANY,consistent,dipnet,solo_18sc_ITALY,F1910M,43,0,1,5,8,18,2,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1,1,0,0,0,3,0,0,0,1,0,0,0,1,1,0,1,1,2,0,0,1,1,0,0,1,0,0,6,9,15,17,27,54,36,52,45,73,12,58,10,25
run_1v6_myGERMANY_myconsistent_oppdipnet_seed7_v1,7,1v6,GERMANY,consistent,dipnet,stop_after_W1913A,W1913A,55,2,14,0,13,5,0,0,0.010152,0.497462,0.000000,0.428934,0.063452,0.000000,0.000000,1,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,5,0,0,0,0,0,0,0,0,0,0,40,104,47,81,14,22,52,76,8,71,8,19,2,13
run_1v6_myGERMANY_myconsistent_oppdipnet_seed9_v1,9,1v6,GERMANY,consistent,dipnet,solo_18sc_ITALY,F1908R,34,0,4,2,5,20,3,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,7,10,13,18,15,51,21,22,35,41,16,43,7,18
