game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myITALY_myconsistent_oppdipnet_seed0_v1,0,1v6,ITALY,consistent,dipnet,solo_18sc_ITALY,F1909R,38,0,2,10,0,20,2,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,16,21,18,21,26,38,14,35,38,47,20,44,1,24
run_1v6_myITALY_myconsistent_oppdipnet_seed2_v1,2,1v6,ITALY,consistent,dipnet,solo_18sc_ITALY,F1909R,38,0,0,14,1,18,1,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,17,26,7,9,36,51,19,38,35,53,20,37,1,18
run_1v6_myITALY_myconsistent_oppdipnet_seed1_v1,1,1v6,ITALY,consistent,dipnet,max_phases,F1913M,60,0,0,16,3,15,0,0,0.000000,0.000000,0.522449,0.018367,0.459184,0.000000,0.000000,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,1,0,0,0,1,0,0,9,35,9,9,50,87,40,69,44,75,16,55,12,32
run_1v6_myITALY_myconsistent_oppdipnet_seed4_v1,4,1v6,ITALY,consistent,dipnet,solo_18sc_ITALY,F1908R,34,0,5,3,6,19,1,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,2,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,1,9,0,0,2,0,0,6,8,17,38,7,58,28,60,32,46,20,35,6,16
run_1v6_myITALY_myconsistent_oppdipnet_seed3_v1,3,1v6,ITALY,consistent,dipnet,stop_after_W1913A,W1913A,52,1,0,11,3,4,9,6,0.003788,0.000000,0.458333,0.034091,0.060606,0.306818,0.136364,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,62,11,11,50,94,32,88,13,51,36,123,31,47
run_1v6_myITALY_myconsistent_oppdipnet_seed5_v1,5,1v6,ITALY,consistent,dipnet,max_phases,F1915M,60,0,0,17,0,2,10,5,0.000000,0.000000,0.691388,0.000000,0.009569,0.239234,0.059809,0,0,0,0,0,3,1,0,6,5,0,0,0,3,4,0,0,0,0,0,2,9,2,0,0,0,0,0,8,10,12,23,77,183,21,38,23,51,47,157,46,68
run_1v6_myITALY_myconsistent_oppdipnet_seed6_v1,6,1v6,ITALY,consistent,dipnet,stop_after_W1913A,W1913A,55,0,4,14,1,4,6,5,0.000000,0.055172,0.675862,0.003448,0.055172,0.124138,0.086207,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,10,16,10,11,51,87,15,18,40,78,33,81,16,67
run_1v6_myITALY_myconsistent_oppdipnet_seed7_v1,7,1v6,ITALY,consistent,dipnet,solo_18sc_ITALY,F1909R,39,0,0,4,2,19,9,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1,1,0,0,0,2,0,0,0,3,0,0,1,2,3,0,0,0,0,0,1,3,1,0,1,1,0,1,4,6,5,13,20,31,24,32,36,57,32,60,12,16
run_1v6_myITALY_myconsistent_oppdipnet_seed8_v1,8,1v6,ITALY,consistent,dipnet,solo_18sc_ITALY,F1910R,45,0,0,5,10,19,0,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,3,0,0,0,0,1,0,0,0,5,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,7,12,16,20,18,31,34,62,48,70,9,59,4,11
run_1v6_myITALY_myconsistent_oppdipnet_seed9_v1,9,1v6,ITALY,consistent,dipnet,max_phases,F1913M,60,0,6,8,2,14,4,0,0.000000,0.113924,0.202532,0.012658,0.620253,0.050633,0.000000,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23,39,56,18,111,23,46,50,83,54,92,8,10
