game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed0_v1,0,1v6,RUSSIA,consistent,dipnet,stop_after_W1913A,W1913A,55,0,0,3,14,11,5,1,0.000000,0.000000,0.025568,0.556818,0.343750,0.071023,0.002841,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,1,5,1,0,11,15,26,28,14,36,56,75,39,62,37,48,14,42
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed1_v1,1,1v6,RUSSIA,consistent,dipnet,solo_18sc_RUSSIA,F1912R,56,0,0,13,1,0,18,2,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0,0,0,0,0,1,0,0,1,1,4,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,12,32,9,23,40,56,44,63,6,31,53,79,28,52
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed2_v1,2,1v6,RUSSIA,consistent,dipnet,solo_18sc_GERMANY,F1910M,43,0,1,0,19,4,0,10,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,3,0,0,1,2,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,10,55,20,34,12,14,45,64,20,35,10,17,36,62
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed4_v1,4,1v6,RUSSIA,consistent,dipnet,solo_18sc_FRANCE,F1913R,54,0,0,18,0,6,3,7,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,2,0,0,9,76,13,13,58,99,18,45,30,54,37,44,43,56
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed3_v1,3,1v6,RUSSIA,consistent,dipnet,max_phases,F1919R,60,0,0,10,6,6,10,2,0.000000,0.000000,0.362319,0.130435,0.130435,0.362319,0.014493,0,0,0,0,0,0,0,0,1,2,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,10,13,9,9,11,235,13,156,10,136,40,116,59,131
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed5_v1,5,1v6,RUSSIA,consistent,dipnet,solo_18sc_FRANCE,F1911R,51,0,0,20,1,3,1,9,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,2,0,0,0,0,0,0,0,1,3,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,20,63,5,13,50,73,24,53,34,40,26,40,36,69
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed6_v1,6,1v6,RUSSIA,consistent,dipnet,stop_after_W1913A,W1913A,56,13,1,0,4,13,3,0,0.464286,0.002747,0.000000,0.043956,0.464286,0.024725,0.000000,2,8,0,0,0,2,0,0,0,2,1,0,2,0,4,0,7,10,0,0,0,0,0,0,0,0,0,0,50,104,14,14,13,16,39,59,44,62,20,38,8,20
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed7_v1,7,1v6,RUSSIA,consistent,dipnet,stop_after_W1913A,W1913A,55,11,0,3,14,4,1,1,0.351744,0.000000,0.026163,0.569767,0.046512,0.002907,0.002907,0,0,2,0,1,1,0,0,1,1,1,0,2,1,4,0,0,0,0,0,0,0,0,0,1,1,0,0,32,102,12,14,28,47,49,69,1,24,14,15,19,59
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed8_v1,8,1v6,RUSSIA,consistent,dipnet,solo_18sc_FRANCE,F1913R,60,1,0,18,0,4,11,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,1,1,0,1,0,1,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,18,28,25,30,53,71,31,49,37,65,62,86,2,25
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed9_v1,9,1v6,RUSSIA,consistent,dipnet,stop_after_W1913A,W1913A,59,0,16,0,0,4,14,0,0.000000,0.547009,0.000000,0.000000,0.034188,0.418803,0.000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,35,67,89,22,80,7,16,32,72,68,97,0,20
