game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myTURKEY_myconsistent_oppdipnet_seed0_v1,0,1v6,TURKEY,consistent,dipnet,solo_18sc_TURKEY,F1910M,45,0,7,8,0,0,0,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,1,0,0,10,20,24,39,44,73,19,27,7,20,20,26,43,69
run_1v6_myTURKEY_myconsistent_oppdipnet_seed1_v1,1,1v6,TURKEY,consistent,dipnet,solo_18sc_FRANCE,F1911R,49,1,0,18,0,0,6,9,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,1,1,0,1,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,36,9,10,68,83,12,17,2,14,24,75,23,72
run_1v6_myTURKEY_myconsistent_oppdipnet_seed2_v1,2,1v6,TURKEY,consistent,dipnet,max_phases,F1913R,60,0,1,2,13,0,2,16,0.000000,0.002304,0.009217,0.389401,0.000000,0.009217,0.589862,2,2,0,0,0,4,1,0,2,2,0,0,2,7,0,0,0,4,0,0,6,2,0,0,0,0,0,0,4,9,5,18,41,64,47,69,19,49,18,78,50,89
run_1v6_myTURKEY_myconsistent_oppdipnet_seed3_v1,3,1v6,TURKEY,consistent,dipnet,stop_after_W1913A,W1913A,53,0,0,9,9,0,3,13,0.000000,0.000000,0.238235,0.238235,0.000000,0.026471,0.497059,0,1,2,0,0,0,0,0,1,1,0,0,0,2,2,0,1,1,0,0,1,2,0,0,0,0,0,0,17,55,13,13,45,77,54,77,10,54,26,84,33,46
run_1v6_myTURKEY_myconsistent_oppdipnet_seed4_v1,4,1v6,TURKEY,consistent,dipnet,solo_18sc_TURKEY,F1908R,32,0,1,8,6,0,0,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,11,20,10,60,21,66,9,9,7,10,33,40
run_1v6_myTURKEY_myconsistent_oppdipnet_seed6_v1,6,1v6,TURKEY,consistent,dipnet,solo_18sc_ITALY,F1913R,54,2,8,5,1,18,0,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,1,3,0,2,3,1,0,0,1,1,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,31,64,33,41,33,71,10,44,27,54,15,29,8,30
run_1v6_myTURKEY_myconsistent_oppdipnet_seed5_v1,5,1v6,TURKEY,consistent,dipnet,max_phases,S1919R,60,0,2,12,1,7,8,4,0.000000,0.014388,0.517986,0.003597,0.176259,0.230216,0.057554,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,9,12,13,61,89,149,58,75,16,213,5,183,30,73
run_1v6_myTURKEY_myconsistent_oppdipnet_seed7_v1,7,1v6,TURKEY,consistent,dipnet,solo_18sc_TURKEY,F1912R,56,0,11,4,0,0,0,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,3,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,3,0,0,19,28,32,104,27,63,15,26,4,21,24,51,42,56
run_1v6_myTURKEY_myconsistent_oppdipnet_seed9_v1,9,1v6,TURKEY,consistent,dipnet,solo_18sc_AUSTRIA,F1913M,56,19,1,6,0,8,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,0,2,6,0,0,3,6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,51,141,39,46,20,74,16,28,36,56,13,17,2,9
run_1v6_myTURKEY_myconsistent_oppdipnet_seed8_v1,8,1v6,TURKEY,consistent,dipnet,stop_after_W1913A,W1913A,54,7,0,17,1,9,0,0,0.116667,0.000000,0.688095,0.002381,0.192857,0.000000,0.000000,0,1,0,0,0,1,0,0,0,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,39,123,12,14,50,148,21,30,23,45,10,28,10,20
