side,agent_name,scope,power,n_samples,mean_sos,win_rate,most_sc_rate,survived_rate,defeated_rate,win_count,most_sc_count,survived_count,defeated_count,c1_total,c2_total,c3_total,c4_total,c1_avg_per_sample,c2_avg_per_sample,c3_avg_per_sample,c4_avg_per_sample,support_success_total,support_total_total,support_success_ratio
self,consistent,per_power,AUSTRIA,10,0.186867,0.100000,0.100000,0.100000,0.700000,1,1,1,7,1,5,0,0,0.100000,0.500000,0.000000,0.000000,294,475,0.618947
self,consistent,per_power,ENGLAND,10,0.254622,0.200000,0.100000,0.300000,0.400000,2,1,3,4,0,2,0,0,0.000000,0.200000,0.000000,0.000000,221,345,0.640580
self,consistent,per_power,FRANCE,10,0.558460,0.400000,0.100000,0.300000,0.200000,4,1,3,2,0,4,0,0,0.000000,0.400000,0.000000,0.000000,357,590,0.605085
self,consistent,per_power,GERMANY,10,0.295731,0.200000,0.100000,0.200000,0.500000,2,1,2,5,2,10,4,0,0.200000,1.000000,0.400000,0.000000,396,651,0.608295
self,consistent,per_power,ITALY,10,0.620478,0.500000,0.100000,0.400000,0.000000,5,1,4,0,0,5,0,0,0.000000,0.500000,0.000000,0.000000,359,611,0.587561
self,consistent,per_power,RUSSIA,10,0.187978,0.100000,0.100000,0.400000,0.400000,1,1,4,4,0,1,0,0,0.000000,0.100000,0.000000,0.000000,367,580,0.632759
self,consistent,per_power,TURKEY,10,0.414447,0.300000,0.200000,0.100000,0.400000,3,2,1,4,0,4,0,0,0.000000,0.400000,0.000000,0.000000,274,504,0.543651
opponent,dipnet,per_power,AUSTRIA,60,0.067622,0.033333,0.033333,0.150000,0.783333,2,2,9,47,34,94,18,0,0.566667,1.566667,0.300000,0.000000,1088,2270,0.479295
opponent,dipnet,per_power,ENGLAND,60,0.050111,0.016667,0.050000,0.116667,0.816667,1,3,7,49,34,66,25,2,0.566667,1.100000,0.416667,0.033333,1020,1598,0.638298
opponent,dipnet,per_power,FRANCE,60,0.289131,0.166667,0.150000,0.233333,0.450000,10,9,14,27,43,84,43,1,0.716667,1.400000,0.716667,0.016667,2063,4613,0.447214
opponent,dipnet,per_power,GERMANY,60,0.105017,0.033333,0.083333,0.266667,0.616667,2,5,16,37,29,68,58,8,0.483333,1.133333,0.966667,0.133333,1596,2983,0.535032
opponent,dipnet,per_power,ITALY,60,0.133136,0.083333,0.033333,0.316667,0.566667,5,2,19,34,59,76,26,4,0.983333,1.266667,0.433333,0.066667,1511,3175,0.475906
opponent,dipnet,per_power,RUSSIA,60,0.064803,0.016667,0.050000,0.200000,0.733333,1,3,12,44,33,57,25,4,0.550000,0.950000,0.416667,0.066667,1220,3446,0.354034
opponent,dipnet,per_power,TURKEY,60,0.037082,0.000000,0.033333,0.233333,0.733333,0,2,14,44,11,62,20,6,0.183333,1.033333,0.333333,0.100000,1162,2455,0.473320
self,consistent,overall,OVERALL,70,0.359798,0.257143,0.114286,0.257143,0.371429,18,8,18,26,3,31,4,0,0.042857,0.442857,0.057143,0.000000,2268,3756,0.603834
opponent,dipnet,overall,OVERALL,420,0.106700,0.050000,0.061905,0.216667,0.671429,21,26,91,282,243,507,215,25,0.578571,1.207143,0.511905,0.059524,9660,20540,0.470302
