side,agent_name,scope,power,n_samples,mean_sos,win_rate,most_sc_rate,survived_rate,defeated_rate,win_count,most_sc_count,survived_count,defeated_count,c1_total,c2_total,c3_total,c4_total,c1_avg_per_sample,c2_avg_per_sample,c3_avg_per_sample,c4_avg_per_sample,support_success_total,support_total_total,support_success_ratio
self,consistent,per_power,AUSTRIA,10,0.278847,0.100000,0.200000,0.400000,0.300000,1,2,4,3,0,2,0,0,0.000000,0.200000,0.000000,0.000000,273,481,0.567568
self,consistent,per_power,ENGLAND,10,0.348461,0.200000,0.100000,0.500000,0.200000,2,1,5,2,2,6,0,0,0.200000,0.600000,0.000000,0.000000,384,509,0.754420
self,consistent,per_power,FRANCE,10,0.633481,0.600000,0.100000,0.100000,0.200000,6,1,1,2,1,5,1,0,0.100000,0.500000,0.100000,0.000000,313,497,0.629779
self,consistent,per_power,GERMANY,10,0.530227,0.500000,0.000000,0.200000,0.300000,5,0,2,3,0,4,0,0,0.000000,0.400000,0.000000,0.000000,478,822,0.581509
self,consistent,per_power,ITALY,10,0.459335,0.300000,0.200000,0.400000,0.100000,3,2,4,1,0,5,0,0,0.000000,0.500000,0.000000,0.000000,427,668,0.639222
self,consistent,per_power,RUSSIA,10,0.300151,0.100000,0.300000,0.200000,0.400000,1,3,2,4,4,3,0,0,0.400000,0.300000,0.000000,0.000000,301,588,0.511905
self,consistent,per_power,TURKEY,10,0.236909,0.100000,0.200000,0.200000,0.500000,1,2,2,5,0,5,1,0,0.000000,0.500000,0.100000,0.000000,259,427,0.606557
opponent,dipnet,per_power,AUSTRIA,60,0.051560,0.000000,0.066667,0.150000,0.783333,0,4,9,47,57,129,24,1,0.950000,2.150000,0.400000,0.016667,1177,2452,0.480016
opponent,dipnet,per_power,ENGLAND,60,0.047360,0.000000,0.050000,0.150000,0.800000,0,3,9,48,13,71,18,2,0.216667,1.183333,0.300000,0.033333,1191,2145,0.555245
opponent,dipnet,per_power,FRANCE,60,0.295550,0.150000,0.150000,0.333333,0.366667,9,9,20,22,22,65,39,1,0.366667,1.083333,0.650000,0.016667,2264,4879,0.464030
opponent,dipnet,per_power,GERMANY,60,0.090949,0.016667,0.083333,0.333333,0.566667,1,5,20,34,29,106,56,5,0.483333,1.766667,0.933333,0.083333,1782,3583,0.497349
opponent,dipnet,per_power,ITALY,60,0.101822,0.033333,0.033333,0.433333,0.500000,2,2,26,30,57,122,25,5,0.950000,2.033333,0.416667,0.083333,1884,3299,0.571082
opponent,dipnet,per_power,RUSSIA,60,0.060666,0.000000,0.033333,0.300000,0.666667,0,2,18,40,23,61,50,3,0.383333,1.016667,0.833333,0.050000,1418,3725,0.380671
opponent,dipnet,per_power,TURKEY,60,0.054191,0.016667,0.066667,0.200000,0.716667,1,4,12,43,8,64,28,2,0.133333,1.066667,0.466667,0.033333,1277,2699,0.473138
self,consistent,overall,OVERALL,70,0.398202,0.271429,0.157143,0.285714,0.285714,19,11,20,20,7,30,2,0,0.100000,0.428571,0.028571,0.000000,2435,3992,0.609970
opponent,dipnet,overall,OVERALL,420,0.100300,0.030952,0.069048,0.271429,0.628571,13,29,114,264,209,618,240,19,0.497619,1.471429,0.571429,0.045238,10993,22782,0.482530
