game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed0_vtest,0,1v6,AUSTRIA,consistent,dipnet,stop_after_W1913A,W1913A,55,17,0,11,1,2,3,0,0.681604,0.000000,0.285377,0.002358,0.009434,0.021226,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,53,85,8,8,64,118,20,39,17,33,10,72,1,12
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed1_vtest,1,1v6,AUSTRIA,consistent,dipnet,solo_18sc_AUSTRIA,F1911R,40,19,0,9,5,1,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,2,0,0,0,4,0,0,4,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,37,46,19,29,34,85,24,56,8,9,12,22,14,14
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed2_vtest,2,1v6,AUSTRIA,consistent,dipnet,stop_after_W1913A,W1913A,51,8,5,6,6,9,0,0,0.264463,0.103306,0.148760,0.148760,0.334711,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,42,84,10,108,5,137,26,92,25,35,22,51,4,28
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed3_vtest,3,1v6,AUSTRIA,consistent,dipnet,max_phases,S1923M,60,1,0,8,9,5,6,5,0.004310,0.000000,0.275862,0.349138,0.107759,0.155172,0.107759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,31,0,0,0,0,0,6,24,8,10,69,227,151,164,47,51,4,130,45,121
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed4_vtest,4,1v6,AUSTRIA,consistent,dipnet,solo_18sc_FRANCE,F1910R,45,0,1,18,0,12,0,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,2,3,0,0,0,1,3,0,0,1,5,0,0,1,0,0,0,1,0,0,0,1,0,0,5,5,12,21,31,69,19,22,54,78,9,14,26,39
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed5_vtest,5,1v6,AUSTRIA,consistent,dipnet,max_phases,S1916M,60,9,17,0,0,8,0,0,0.186636,0.665899,0.000000,0.000000,0.147465,0.000000,0.000000,0,0,0,0,0,2,2,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,61,140,128,178,15,33,9,35,50,112,12,26,0,18
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed6_vtest,6,1v6,AUSTRIA,consistent,dipnet,solo_18sc_FRANCE,F1909R,41,1,0,18,0,13,2,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,2,0,5,5,14,25,29,62,19,24,39,51,6,32,16,28
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed7_vtest,7,1v6,AUSTRIA,consistent,dipnet,stop_after_W1913A,W1913A,58,17,12,0,3,2,0,0,0.647982,0.322870,0.000000,0.020179,0.008969,0.000000,0.000000,0,2,0,0,0,2,0,0,0,2,1,0,0,0,0,0,4,5,1,1,1,1,0,0,0,1,0,1,53,80,67,106,22,52,27,56,17,38,13,25,11,24
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed8_vtest,8,1v6,AUSTRIA,consistent,dipnet,stop_after_W1913A,W1913A,53,0,4,4,7,2,8,9,0.000000,0.069565,0.069565,0.213043,0.017391,0.278261,0.352174,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,6,23,77,20,53,30,109,45,69,22,64,28,90
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed9_vtest,9,1v6,AUSTRIA,consistent,dipnet,stop_after_W1913A,W1913A,52,1,0,9,9,5,0,10,0.003472,0.000000,0.281250,0.281250,0.086806,0.000000,0.347222,0,0,0,0,0,0,0,0,0,13,0,0,0,13,0,0,1,2,4,1,0,0,0,0,1,2,0,0,5,6,13,14,40,106,55,113,47,62,12,34,53,82
