game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myGERMANY_myconsistent_oppdipnet_seed0_vtest,0,1v6,GERMANY,consistent,dipnet,solo_18sc_FRANCE,F1911R,47,3,0,18,0,2,5,6,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,43,61,15,29,51,66,19,39,32,49,23,49,32,54
run_1v6_myGERMANY_myconsistent_oppdipnet_seed1_vtest,1,1v6,GERMANY,consistent,dipnet,solo_18sc_GERMANY,F1913R,56,5,0,1,18,4,2,4,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,4,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,5,0,17,79,9,9,48,66,68,87,23,64,29,55,20,62
run_1v6_myGERMANY_myconsistent_oppdipnet_seed2_vtest,2,1v6,GERMANY,consistent,dipnet,stop_after_W1913A,W1913A,57,0,0,9,7,17,1,0,0.000000,0.000000,0.192857,0.116667,0.688095,0.002381,0.000000,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,1,0,1,1,0,0,0,3,0,0,25,30,8,20,72,85,29,94,59,83,35,92,0,20
run_1v6_myGERMANY_myconsistent_oppdipnet_seed3_vtest,3,1v6,GERMANY,consistent,dipnet,max_phases,S1917R,60,2,3,14,0,6,5,4,0.013986,0.031469,0.685315,0.000000,0.125874,0.087413,0.055944,1,2,0,0,3,4,0,0,2,2,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,32,40,38,106,62,136,26,37,75,75,28,133,61,61
run_1v6_myGERMANY_myconsistent_oppdipnet_seed4_vtest,4,1v6,GERMANY,consistent,dipnet,solo_18sc_GERMANY,F1912R,54,0,0,3,18,0,6,7,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,2,0,0,4,7,8,12,18,54,61,102,16,32,41,96,42,71
run_1v6_myGERMANY_myconsistent_oppdipnet_seed5_vtest,5,1v6,GERMANY,consistent,dipnet,solo_18sc_ITALY,F1913R,54,0,0,1,12,18,3,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,15,18,6,9,31,44,66,105,80,135,39,64,0,18
run_1v6_myGERMANY_myconsistent_oppdipnet_seed6_vtest,6,1v6,GERMANY,consistent,dipnet,solo_18sc_GERMANY,F1913M,56,0,0,1,19,14,0,0,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1,2,0,0,1,1,0,0,0,2,1,0,0,0,0,0,1,1,2,0,0,2,0,0,0,2,2,0,9,13,9,33,29,51,46,118,47,116,19,70,26,40
run_1v6_myGERMANY_myconsistent_oppdipnet_seed7_vtest,7,1v6,GERMANY,consistent,dipnet,stop_after_W1913A,W1913A,57,0,0,9,7,2,7,9,0.000000,0.000000,0.306818,0.185606,0.015152,0.185606,0.306818,0,0,2,0,0,2,0,0,4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,45,4,4,49,95,63,113,21,82,36,69,31,55
run_1v6_myGERMANY_myconsistent_oppdipnet_seed8_vtest,8,1v6,GERMANY,consistent,dipnet,solo_18sc_GERMANY,F1910R,47,0,1,0,19,1,1,12,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,11,15,6,7,17,45,53,72,20,32,23,41,35,47
run_1v6_myGERMANY_myconsistent_oppdipnet_seed9_vtest,9,1v6,GERMANY,consistent,dipnet,solo_18sc_GERMANY,F1910R,45,0,0,2,18,1,0,13,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,2,0,0,9,12,8,8,23,37,47,55,26,54,17,48,37,39
