game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed0_vtest,0,1v6,RUSSIA,consistent,dipnet,solo_18sc_GERMANY,F1913R,57,7,0,2,18,5,0,2,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,0,1,0,2,0,0,0,0,0,2,0,0,40,83,15,19,25,73,55,83,51,69,9,14,16,20
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed1_vtest,1,1v6,RUSSIA,consistent,dipnet,stop_after_W1913A,W1913A,59,0,0,12,2,1,17,2,0.000000,0.000000,0.325792,0.009050,0.002262,0.653846,0.009050,0,0,0,0,0,1,0,0,0,1,0,0,1,2,3,1,1,0,0,0,1,0,0,0,0,0,0,0,9,18,14,22,47,87,27,52,11,32,57,117,30,77
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed2_vtest,2,1v6,RUSSIA,consistent,dipnet,max_phases,F1913R,60,0,15,1,1,14,1,2,0.000000,0.525701,0.002336,0.002336,0.457944,0.002336,0.009346,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,3,2,0,0,0,0,0,0,0,1,0,0,11,42,59,74,29,35,16,54,56,72,24,51,41,44
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed3_vtest,3,1v6,RUSSIA,consistent,dipnet,max_phases,F1913R,60,0,0,12,5,3,14,0,0.000000,0.000000,0.385027,0.066845,0.024064,0.524064,0.000000,0,1,0,0,0,0,0,0,1,2,2,0,0,1,2,0,1,4,0,0,3,2,0,0,0,3,0,0,13,18,10,10,49,73,24,58,13,20,48,87,34,58
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed4_vtest,4,1v6,RUSSIA,consistent,dipnet,solo_18sc_TURKEY,F1911M,49,0,4,5,5,0,1,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,1,0,0,3,2,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,13,28,15,19,13,33,29,93,25,28,8,24,56,96
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed5_vtest,5,1v6,RUSSIA,consistent,dipnet,stop_after_W1913A,W1913A,55,0,0,9,5,3,14,3,0.000000,0.000000,0.253125,0.078125,0.028125,0.612500,0.028125,0,0,0,0,0,2,0,0,0,0,0,0,1,2,5,0,1,1,0,0,0,0,0,0,0,1,0,0,9,14,10,14,47,106,45,70,39,59,43,96,27,55
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed6_vtest,6,1v6,RUSSIA,consistent,dipnet,stop_after_W1913A,W1913A,55,10,0,6,11,7,0,0,0.326797,0.000000,0.117647,0.395425,0.160131,0.000000,0.000000,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,47,111,11,16,19,122,56,135,9,29,8,16,13,48
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed7_vtest,7,1v6,RUSSIA,consistent,dipnet,stop_after_W1913A,W1913A,60,0,9,0,15,1,9,0,0.000000,0.208763,0.000000,0.579897,0.002577,0.208763,0.000000,0,0,1,0,1,1,0,0,0,0,2,0,5,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,11,16,23,70,22,24,40,125,26,54,51,75,20,45
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed8_vtest,8,1v6,RUSSIA,consistent,dipnet,solo_18sc_RUSSIA,F1910R,43,0,2,7,4,3,18,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0,4,0,0,0,5,4,0,2,1,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,6,1,0,9,25,22,30,30,38,13,36,15,32,29,68,17,39
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed9_vtest,9,1v6,RUSSIA,consistent,dipnet,max_phases,S1922M,60,10,10,6,1,7,0,0,0.349650,0.349650,0.125874,0.003497,0.171329,0.000000,0.000000,27,27,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,27,1,0,0,0,0,0,0,0,0,0,115,212,63,301,10,224,10,21,34,204,24,40,0,18
