game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed1_vtest3,1,1v6,AUSTRIA,consistent,dipnet,solo_18sc_FRANCE,F1911R,44,0,0,20,0,0,3,11,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,2,0,0,0,3,0,0,1,3,1,1,1,1,0,1,0,2,0,2,1,3,0,0,18,34,13,27,51,68,21,27,9,13,24,60,25,36
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed0_vtest3,0,1v6,AUSTRIA,consistent,dipnet,solo_18sc_AUSTRIA,F1912M,50,19,0,12,0,1,2,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0,1,0,0,1,4,2,0,0,2,0,1,0,1,1,0,0,0,0,0,51,92,8,8,40,108,11,33,18,33,10,64,1,12
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed3_vtest3,3,1v6,AUSTRIA,consistent,dipnet,solo_18sc_FRANCE,F1912R,50,0,0,18,0,1,6,9,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0,1,12,0,0,0,12,1,0,0,1,0,0,5,8,16,18,51,89,27,54,32,68,35,66,28,68
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed4_vtest3,4,1v6,AUSTRIA,consistent,dipnet,solo_18sc_FRANCE,F1910R,45,0,1,18,0,12,0,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,2,3,0,0,0,1,3,0,0,1,5,0,0,1,0,0,0,1,0,0,0,1,0,0,5,5,12,21,31,69,19,22,54,78,9,14,26,39
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed2_vtest3,2,1v6,AUSTRIA,consistent,dipnet,stop_after_W1913A,W1913A,48,8,5,6,6,8,1,0,0.283186,0.110619,0.159292,0.159292,0.283186,0.004425,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,43,82,10,108,5,137,26,92,21,29,27,53,4,28
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed5_vtest3,5,1v6,AUSTRIA,consistent,dipnet,solo_18sc_ITALY,F1910R,41,0,11,5,0,18,0,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,1,1,0,0,0,0,18,29,36,70,14,63,8,22,51,60,15,32,0,19
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed6_vtest3,6,1v6,AUSTRIA,consistent,dipnet,solo_18sc_FRANCE,F1909R,41,1,0,18,0,13,2,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,2,0,5,5,14,25,29,62,19,24,39,51,6,32,16,28
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed8_vtest3,8,1v6,AUSTRIA,consistent,dipnet,stop_after_W1913A,W1913A,53,0,4,4,7,2,8,9,0.000000,0.069565,0.069565,0.213043,0.017391,0.278261,0.352174,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,6,23,77,20,53,30,109,45,69,22,64,28,90
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed7_vtest3,7,1v6,AUSTRIA,consistent,dipnet,solo_18sc_ENGLAND,F1910R,43,12,18,0,0,4,0,0,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,50,56,98,17,38,16,29,17,28,14,22,13,28
run_1v6_myAUSTRIA_myconsistent_oppdipnet_seed9_vtest3,9,1v6,AUSTRIA,consistent,dipnet,max_phases,F1913R,60,1,0,5,16,2,3,7,0.002907,0.000000,0.072674,0.744186,0.011628,0.026163,0.142442,0,0,0,0,0,0,0,0,4,6,0,0,6,5,7,0,4,4,0,0,0,1,0,0,1,4,0,0,6,8,13,14,32,68,50,84,39,60,15,54,35,83
