game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myFRANCE_myconsistent_oppdipnet_seed0_vtest3,0,1v6,FRANCE,consistent,dipnet,stop_after_W1913A,W1913A,45,6,5,0,7,8,4,4,0.174757,0.121359,0.000000,0.237864,0.310680,0.077670,0.077670,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,11,0,0,0,0,0,0,47,90,47,64,20,29,49,108,20,23,13,68,1,72
run_1v6_myFRANCE_myconsistent_oppdipnet_seed2_vtest3,2,1v6,FRANCE,consistent,dipnet,solo_18sc_FRANCE,F1908R,32,2,3,20,0,0,5,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,30,28,33,26,52,16,39,1,4,2,42,4,33
run_1v6_myFRANCE_myconsistent_oppdipnet_seed1_vtest3,1,1v6,FRANCE,consistent,dipnet,stop_after_W1913A,W1913A,57,0,10,3,17,1,3,0,0.000000,0.245098,0.022059,0.708333,0.002451,0.022059,0.000000,1,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,1,2,1,0,0,1,0,0,14,15,32,48,16,22,53,92,16,50,49,74,13,25
run_1v6_myFRANCE_myconsistent_oppdipnet_seed3_vtest3,3,1v6,FRANCE,consistent,dipnet,solo_18sc_FRANCE,F1908R,36,0,2,18,0,9,5,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1,1,0,0,0,1,1,0,0,1,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,6,9,16,22,29,43,18,23,37,43,8,31,16,23
run_1v6_myFRANCE_myconsistent_oppdipnet_seed4_vtest3,4,1v6,FRANCE,consistent,dipnet,stop_after_W1913A,W1913A,57,0,0,4,12,0,6,12,0.000000,0.000000,0.047059,0.423529,0.000000,0.105882,0.423529,1,2,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,1,0,0,7,14,7,9,34,48,48,78,28,55,16,91,36,86
run_1v6_myFRANCE_myconsistent_oppdipnet_seed5_vtest3,5,1v6,FRANCE,consistent,dipnet,solo_18sc_FRANCE,F1911R,51,1,2,19,1,0,7,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,19,36,24,28,50,86,26,27,7,12,30,48,25,33
run_1v6_myFRANCE_myconsistent_oppdipnet_seed6_vtest3,6,1v6,FRANCE,consistent,dipnet,solo_18sc_FRANCE,F1909M,39,2,0,19,0,6,3,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,19,22,16,26,30,43,10,11,33,44,13,50,31,31
run_1v6_myFRANCE_myconsistent_oppdipnet_seed7_vtest3,7,1v6,FRANCE,consistent,dipnet,max_phases,F1919M,60,6,0,0,17,10,1,0,0.084507,0.000000,0.000000,0.678404,0.234742,0.002347,0.000000,0,26,0,0,0,2,0,0,0,0,0,0,2,4,1,0,3,25,0,0,0,1,0,0,0,0,0,0,11,197,7,9,17,48,175,336,37,126,14,34,0,18
run_1v6_myFRANCE_myconsistent_oppdipnet_seed8_vtest3,8,1v6,FRANCE,consistent,dipnet,solo_18sc_FRANCE,F1908R,34,0,0,20,0,3,4,7,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,6,1,0,0,0,0,0,0,0,0,0,0,16,21,13,15,32,44,7,14,32,40,6,50,25,27
run_1v6_myFRANCE_myconsistent_oppdipnet_seed9_vtest3,9,1v6,FRANCE,consistent,dipnet,solo_18sc_FRANCE,F1907R,31,0,0,18,0,2,4,10,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,2,0,0,0,0,0,0,1,2,0,0,4,6,12,15,24,30,6,14,20,21,2,42,19,39
