game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myITALY_myconsistent_oppdipnet_seed0_vtest3,0,1v6,ITALY,consistent,dipnet,max_phases,F1913R,60,0,0,14,0,5,9,6,0.000000,0.000000,0.579882,0.000000,0.073964,0.239645,0.106509,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,18,22,22,56,80,11,30,22,61,55,133,33,78
run_1v6_myITALY_myconsistent_oppdipnet_seed1_vtest3,1,1v6,ITALY,consistent,dipnet,solo_18sc_ITALY,F1912R,56,8,0,3,0,20,3,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,2,1,0,0,0,0,0,2,1,1,0,0,2,0,0,0,0,0,0,1,3,2,1,0,1,0,0,41,100,7,9,39,75,8,21,47,67,37,61,6,12
run_1v6_myITALY_myconsistent_oppdipnet_seed2_vtest3,2,1v6,ITALY,consistent,dipnet,stop_after_W1913A,W1913A,55,3,1,14,0,16,0,0,0.019481,0.002165,0.424242,0.000000,0.554113,0.000000,0.000000,0,2,0,0,0,6,0,0,0,4,1,0,0,5,2,0,0,0,0,0,0,0,0,0,0,1,7,0,41,66,15,32,58,99,13,32,36,68,23,39,9,28
run_1v6_myITALY_myconsistent_oppdipnet_seed3_vtest3,3,1v6,ITALY,consistent,dipnet,stop_after_W1913A,W1913A,56,0,6,6,5,10,3,4,0.000000,0.162162,0.162162,0.112613,0.450450,0.040541,0.072072,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,34,55,35,75,42,92,22,81,53,69,37,58,22,62
run_1v6_myITALY_myconsistent_oppdipnet_seed4_vtest3,4,1v6,ITALY,consistent,dipnet,solo_18sc_ITALY,F1911R,49,0,7,7,1,18,1,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,1,4,0,0,0,1,1,0,0,4,0,1,0,1,0,0,0,2,0,0,0,2,0,0,5,5,23,37,38,52,27,72,47,66,32,77,14,41
run_1v6_myITALY_myconsistent_oppdipnet_seed5_vtest3,5,1v6,ITALY,consistent,dipnet,solo_18sc_ITALY,F1912R,56,0,0,14,0,18,2,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,1,0,0,1,2,1,1,0,1,2,1,1,2,0,0,0,2,1,0,0,1,0,0,3,5,14,23,57,96,18,27,63,84,35,68,24,36
run_1v6_myITALY_myconsistent_oppdipnet_seed6_vtest3,6,1v6,ITALY,consistent,dipnet,solo_18sc_ITALY,F1909R,40,0,0,9,1,18,6,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,3,0,0,0,1,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,3,7,5,6,38,58,17,22,46,58,28,55,11,28
run_1v6_myITALY_myconsistent_oppdipnet_seed8_vtest3,8,1v6,ITALY,consistent,dipnet,solo_18sc_FRANCE,F1913M,55,0,0,18,0,0,6,10,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,2,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,6,0,0,0,0,1,0,7,7,9,13,57,135,30,43,27,47,28,99,37,106
run_1v6_myITALY_myconsistent_oppdipnet_seed7_vtest3,7,1v6,ITALY,consistent,dipnet,max_phases,F1914M,60,0,0,15,1,5,7,6,0.000000,0.000000,0.669643,0.002976,0.074405,0.145833,0.107143,0,0,0,0,0,0,0,0,1,4,0,0,2,1,4,0,0,1,0,0,0,0,0,0,2,4,1,0,3,5,12,13,59,102,26,49,25,83,27,82,27,117
run_1v6_myITALY_myconsistent_oppdipnet_seed9_vtest3,9,1v6,ITALY,consistent,dipnet,solo_18sc_ITALY,F1909R,38,0,6,3,4,21,0,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,1,2,0,1,4,0,1,3,5,20,21,30,49,16,56,43,52,10,32,11,35
