game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed0_vtest3,0,1v6,RUSSIA,consistent,dipnet,stop_after_W1913A,W1913A,50,14,0,9,2,8,1,0,0.566474,0.000000,0.234104,0.011561,0.184971,0.002890,0.000000,2,4,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,74,139,14,17,40,79,19,51,67,75,10,24,14,17
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed1_vtest3,1,1v6,RUSSIA,consistent,dipnet,solo_18sc_RUSSIA,F1911R,48,0,0,12,1,1,20,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,9,16,10,11,46,86,20,30,26,36,52,99,15,37
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed2_vtest3,2,1v6,RUSSIA,consistent,dipnet,max_phases,F1913R,60,0,15,1,1,14,1,2,0.000000,0.525701,0.002336,0.002336,0.457944,0.002336,0.009346,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,3,2,0,0,0,0,0,0,0,1,0,0,11,42,59,74,29,35,16,54,56,72,24,51,41,44
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed3_vtest3,3,1v6,RUSSIA,consistent,dipnet,max_phases,F1913R,60,0,0,12,5,3,14,0,0.000000,0.000000,0.385027,0.066845,0.024064,0.524064,0.000000,0,1,0,0,0,0,0,0,1,2,2,0,0,1,2,0,1,4,0,0,3,2,0,0,0,3,0,0,13,18,10,10,49,73,24,58,13,20,48,87,34,58
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed4_vtest3,4,1v6,RUSSIA,consistent,dipnet,solo_18sc_TURKEY,F1910M,43,0,1,2,13,0,0,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,1,0,0,0,0,0,0,1,2,5,2,2,2,0,0,1,1,0,1,0,0,0,0,0,3,0,0,23,28,19,19,15,34,31,91,21,28,11,14,53,74
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed5_vtest3,5,1v6,RUSSIA,consistent,dipnet,stop_after_W1913A,W1913A,54,0,0,10,4,4,13,3,0.000000,0.000000,0.322581,0.051613,0.051613,0.545161,0.029032,0,0,0,0,0,2,0,0,0,0,0,0,1,2,6,0,1,0,0,1,0,0,0,0,0,2,2,0,9,14,10,14,48,104,44,65,41,62,45,93,22,52
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed6_vtest3,6,1v6,RUSSIA,consistent,dipnet,stop_after_W1913A,W1913A,57,6,0,9,8,6,4,1,0.153846,0.000000,0.346154,0.273504,0.153846,0.068376,0.004274,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,42,66,11,11,28,122,46,75,6,7,21,29,18,64
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed7_vtest3,7,1v6,RUSSIA,consistent,dipnet,solo_18sc_RUSSIA,F1911R,51,0,5,8,3,0,18,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11,13,31,40,25,65,30,34,23,43,54,78,25,40
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed8_vtest3,8,1v6,RUSSIA,consistent,dipnet,solo_18sc_RUSSIA,F1910R,43,0,2,7,4,3,18,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0,4,0,0,0,5,4,0,2,1,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,6,1,0,9,25,22,30,30,38,13,36,15,32,29,68,17,39
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed9_vtest3,9,1v6,RUSSIA,consistent,dipnet,max_phases,S1922M,60,10,10,6,1,7,0,0,0.349650,0.349650,0.125874,0.003497,0.171329,0.000000,0.000000,27,27,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,27,1,0,0,0,0,0,0,0,0,0,115,212,63,301,10,224,10,21,34,204,24,40,0,18
