side,agent_name,scope,power,n_samples,mean_sos,win_rate,most_sc_rate,survived_rate,defeated_rate,win_count,most_sc_count,survived_count,defeated_count,c1_total,c2_total,c3_total,c4_total,c1_avg_per_sample,c2_avg_per_sample,c3_avg_per_sample,c4_avg_per_sample,support_success_total,support_total_total,support_success_ratio
self,consistent,per_power,AUSTRIA,10,0.128609,0.100000,0.100000,0.100000,0.700000,1,1,1,7,0,1,0,0,0.000000,0.100000,0.000000,0.000000,191,319,0.598746
self,consistent,per_power,ENGLAND,10,0.177297,0.100000,0.000000,0.600000,0.300000,1,0,6,3,0,2,0,0,0.000000,0.200000,0.000000,0.000000,331,473,0.699789
self,consistent,per_power,FRANCE,10,0.606912,0.600000,0.000000,0.200000,0.200000,6,0,2,2,1,4,1,0,0.100000,0.400000,0.100000,0.000000,278,445,0.624719
self,consistent,per_power,GERMANY,10,0.600600,0.500000,0.200000,0.100000,0.200000,5,2,1,2,0,6,0,0,0.000000,0.600000,0.000000,0.000000,462,870,0.531034
self,consistent,per_power,ITALY,10,0.615293,0.500000,0.200000,0.200000,0.100000,5,2,2,1,1,6,0,0,0.100000,0.600000,0.000000,0.000000,409,655,0.624427
self,consistent,per_power,RUSSIA,10,0.414283,0.300000,0.200000,0.300000,0.200000,3,2,3,2,3,4,0,0,0.300000,0.400000,0.000000,0.000000,318,583,0.545455
self,consistent,per_power,TURKEY,10,0.316508,0.200000,0.100000,0.300000,0.400000,2,1,3,4,0,6,1,0,0.000000,0.600000,0.100000,0.000000,290,453,0.640177
opponent,dipnet,per_power,AUSTRIA,60,0.049204,0.000000,0.066667,0.133333,0.800000,0,4,8,48,69,138,20,1,1.150000,2.300000,0.333333,0.016667,1224,2484,0.492754
opponent,dipnet,per_power,ENGLAND,60,0.043630,0.016667,0.033333,0.116667,0.833333,1,2,7,50,12,65,17,2,0.200000,1.083333,0.283333,0.033333,1100,1988,0.553320
opponent,dipnet,per_power,FRANCE,60,0.298514,0.166667,0.183333,0.266667,0.383333,10,11,16,23,32,69,40,4,0.533333,1.150000,0.666667,0.066667,2253,4760,0.473319
opponent,dipnet,per_power,GERMANY,60,0.075976,0.000000,0.083333,0.283333,0.633333,0,5,17,38,28,110,59,4,0.466667,1.833333,0.983333,0.066667,1589,3208,0.495324
opponent,dipnet,per_power,ITALY,60,0.125812,0.033333,0.100000,0.316667,0.550000,2,6,19,33,62,139,18,7,1.033333,2.316667,0.300000,0.116667,1876,3264,0.574755
opponent,dipnet,per_power,RUSSIA,60,0.047116,0.000000,0.000000,0.350000,0.650000,0,0,21,39,16,78,24,4,0.266667,1.300000,0.400000,0.066667,1425,3682,0.387018
opponent,dipnet,per_power,TURKEY,60,0.049831,0.016667,0.033333,0.250000,0.700000,1,2,15,42,11,64,26,2,0.183333,1.066667,0.433333,0.033333,1251,2669,0.468715
self,consistent,overall,OVERALL,70,0.408500,0.328571,0.114286,0.257143,0.300000,23,8,18,21,5,29,2,0,0.071429,0.414286,0.028571,0.000000,2279,3798,0.600053
opponent,dipnet,overall,OVERALL,420,0.098583,0.033333,0.071429,0.245238,0.650000,14,30,103,273,230,663,204,24,0.547619,1.578571,0.485714,0.057143,10718,22055,0.485967
