game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myENGLAND_myconsistent_oppdipnet_seed0_vtest4,0,1v6,ENGLAND,consistent,dipnet,max_phases,S1920R,60,1,2,7,7,4,7,6,0.004902,0.019608,0.240196,0.240196,0.078431,0.240196,0.176471,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,22,37,47,75,158,67,84,24,57,60,120,59,85
run_1v6_myENGLAND_myconsistent_oppdipnet_seed1_vtest4,1,1v6,ENGLAND,consistent,dipnet,stop_after_W1913A,W1913A,59,0,0,10,7,9,7,1,0.000000,0.000000,0.357143,0.175000,0.289286,0.175000,0.003571,3,1,11,0,0,0,0,0,1,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,38,22,55,42,73,44,75,18,30,18,33,6,45
run_1v6_myENGLAND_myconsistent_oppdipnet_seed3_vtest4,3,1v6,ENGLAND,consistent,dipnet,stop_after_W1913A,W1913A,53,0,0,5,11,0,10,8,0.000000,0.000000,0.080645,0.390323,0.000000,0.322581,0.206452,1,1,0,0,0,0,0,0,1,1,2,0,3,4,0,0,3,0,0,0,0,3,1,0,0,0,0,0,16,19,8,17,23,105,56,115,32,40,25,116,42,67
run_1v6_myENGLAND_myconsistent_oppdipnet_seed2_vtest4,2,1v6,ENGLAND,consistent,dipnet,max_phases,F1915R,60,16,3,2,3,10,0,0,0.677249,0.023810,0.010582,0.023810,0.264550,0.000000,0.000000,10,9,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7,10,1,0,0,1,0,0,0,0,0,0,62,127,22,27,25,70,27,72,54,72,25,43,0,18
run_1v6_myENGLAND_myconsistent_oppdipnet_seed4_vtest4,4,1v6,ENGLAND,consistent,dipnet,solo_18sc_FRANCE,F1907R,28,4,0,18,2,0,6,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1,1,0,0,0,0,0,0,0,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,30,9,10,21,43,13,39,17,32,13,37,21,22
run_1v6_myENGLAND_myconsistent_oppdipnet_seed5_vtest4,5,1v6,ENGLAND,consistent,dipnet,stop_after_W1913A,W1913A,54,10,14,0,0,10,0,0,0.252525,0.494949,0.000000,0.000000,0.252525,0.000000,0.000000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,7,0,0,0,0,0,43,119,56,72,29,73,26,26,40,84,15,29,0,19
run_1v6_myENGLAND_myconsistent_oppdipnet_seed6_vtest4,6,1v6,ENGLAND,consistent,dipnet,stop_after_W1913A,W1913A,50,0,2,10,4,8,6,4,0.000000,0.016949,0.423729,0.067797,0.271186,0.152542,0.067797,1,4,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,4,0,0,0,2,0,0,0,1,1,0,11,32,26,32,33,104,24,46,61,93,21,82,15,65
run_1v6_myENGLAND_myconsistent_oppdipnet_seed7_vtest4,7,1v6,ENGLAND,consistent,dipnet,stop_after_W1913A,W1913A,54,17,12,0,0,5,0,0,0.631004,0.314410,0.000000,0.000000,0.054585,0.000000,0.000000,7,7,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,11,0,0,0,1,0,0,0,0,0,0,48,125,60,95,26,54,20,34,40,65,10,20,0,17
run_1v6_myENGLAND_myconsistent_oppdipnet_seed8_vtest4,8,1v6,ENGLAND,consistent,dipnet,solo_18sc_ENGLAND,F1913M,56,0,18,0,0,6,5,5,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,1,3,0,0,3,1,0,6,17,49,68,29,38,12,42,58,79,30,108,29,45
run_1v6_myENGLAND_myconsistent_oppdipnet_seed9_vtest4,9,1v6,ENGLAND,consistent,dipnet,stop_after_W1913A,W1913A,51,0,4,8,4,17,0,1,0.000000,0.041451,0.165803,0.041451,0.748705,0.000000,0.002591,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,0,0,0,0,0,0,1,0,0,8,12,37,57,35,73,17,84,66,122,3,65,27,37
