game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myGERMANY_myconsistent_oppdipnet_seed0_vtest4,0,1v6,GERMANY,consistent,dipnet,solo_18sc_FRANCE,F1912R,51,5,0,18,2,3,2,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,52,66,15,31,61,75,18,45,40,57,30,48,37,61
run_1v6_myGERMANY_myconsistent_oppdipnet_seed1_vtest4,1,1v6,GERMANY,consistent,dipnet,solo_18sc_GERMANY,F1912R,54,4,1,0,19,5,3,2,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,1,0,0,1,1,1,0,0,2,0,0,3,0,0,0,0,2,0,0,0,0,8,0,11,79,9,16,36,55,49,69,23,55,28,58,14,47
run_1v6_myGERMANY_myconsistent_oppdipnet_seed2_vtest4,2,1v6,GERMANY,consistent,dipnet,stop_after_W1913A,W1913A,57,0,0,9,7,17,1,0,0.000000,0.000000,0.192857,0.116667,0.688095,0.002381,0.000000,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,1,0,1,1,0,0,0,3,0,0,25,30,8,20,72,85,29,94,59,83,35,92,0,20
run_1v6_myGERMANY_myconsistent_oppdipnet_seed3_vtest4,3,1v6,GERMANY,consistent,dipnet,max_phases,S1917R,60,2,3,14,0,6,5,4,0.013986,0.031469,0.685315,0.000000,0.125874,0.087413,0.055944,1,2,0,0,3,4,0,0,2,2,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,32,40,38,106,62,136,26,37,75,75,28,133,61,61
run_1v6_myGERMANY_myconsistent_oppdipnet_seed4_vtest4,4,1v6,GERMANY,consistent,dipnet,solo_18sc_GERMANY,F1913R,59,0,0,1,20,0,7,6,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,2,0,0,1,1,1,0,1,0,0,1,1,0,0,0,2,0,0,2,3,0,0,4,7,8,12,18,59,74,119,16,32,44,106,43,78
run_1v6_myGERMANY_myconsistent_oppdipnet_seed5_vtest4,5,1v6,GERMANY,consistent,dipnet,max_phases,W1914A,60,0,0,4,15,15,0,0,0.000000,0.000000,0.034335,0.482833,0.482833,0.000000,0.000000,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,15,19,6,9,28,82,59,159,76,98,21,46,0,18
run_1v6_myGERMANY_myconsistent_oppdipnet_seed6_vtest4,6,1v6,GERMANY,consistent,dipnet,solo_18sc_GERMANY,F1913M,56,0,0,1,19,14,0,0,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1,2,0,0,1,1,0,0,0,2,1,0,0,0,0,0,1,1,2,0,0,2,0,0,0,2,2,0,9,13,9,33,29,51,46,119,47,116,19,70,26,40
run_1v6_myGERMANY_myconsistent_oppdipnet_seed7_vtest4,7,1v6,GERMANY,consistent,dipnet,stop_after_W1913A,W1913A,53,0,0,7,10,5,6,6,0.000000,0.000000,0.199187,0.406504,0.101626,0.146341,0.146341,0,0,2,0,0,2,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,75,4,4,50,95,61,101,10,104,30,53,22,37
run_1v6_myGERMANY_myconsistent_oppdipnet_seed8_vtest4,8,1v6,GERMANY,consistent,dipnet,solo_18sc_GERMANY,F1910R,47,0,1,0,19,1,1,12,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,11,15,6,7,17,45,53,72,20,32,23,41,35,47
run_1v6_myGERMANY_myconsistent_oppdipnet_seed9_vtest4,9,1v6,GERMANY,consistent,dipnet,solo_18sc_GERMANY,F1910R,45,0,0,2,18,1,0,13,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,2,0,0,9,12,8,8,23,37,47,55,26,54,17,48,37,39
