game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myTURKEY_myconsistent_oppdipnet_seed0_vtest4,0,1v6,TURKEY,consistent,dipnet,solo_18sc_FRANCE,F1910R,45,6,0,18,0,4,3,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,4,0,0,0,2,0,0,1,1,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,25,72,23,26,34,49,16,18,23,43,15,23,20,35
run_1v6_myTURKEY_myconsistent_oppdipnet_seed1_vtest4,1,1v6,TURKEY,consistent,dipnet,max_phases,F1913M,60,0,0,15,0,0,6,13,0.000000,0.000000,0.523256,0.000000,0.000000,0.083721,0.393023,0,2,0,0,1,1,0,1,2,1,1,0,0,2,0,0,0,0,0,0,2,1,0,0,0,2,0,0,17,47,9,10,72,132,17,30,8,17,52,83,45,64
run_1v6_myTURKEY_myconsistent_oppdipnet_seed3_vtest4,3,1v6,TURKEY,consistent,dipnet,solo_18sc_FRANCE,F1910R,46,1,0,20,0,2,5,6,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,2,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,2,0,1,2,0,0,0,0,0,0,15,28,7,9,51,64,12,19,15,36,32,76,19,38
run_1v6_myTURKEY_myconsistent_oppdipnet_seed4_vtest4,4,1v6,TURKEY,consistent,dipnet,solo_18sc_TURKEY,F1907R,30,0,3,6,6,0,0,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,25,12,29,8,61,7,37,11,12,5,9,30,36
run_1v6_myTURKEY_myconsistent_oppdipnet_seed2_vtest4,2,1v6,TURKEY,consistent,dipnet,stop_after_W1913A,W1913A,57,0,0,13,0,6,11,4,0.000000,0.000000,0.494152,0.000000,0.105263,0.353801,0.046784,1,3,0,0,0,3,1,0,3,4,1,0,0,6,1,1,0,0,0,0,3,2,1,0,0,0,0,0,3,8,11,14,36,55,44,65,43,100,65,123,28,46
run_1v6_myTURKEY_myconsistent_oppdipnet_seed5_vtest4,5,1v6,TURKEY,consistent,dipnet,solo_18sc_FRANCE,F1911R,50,0,0,19,0,5,2,8,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,2,0,0,2,0,1,0,0,0,0,0,9,12,10,11,54,97,12,48,22,80,19,75,17,67
run_1v6_myTURKEY_myconsistent_oppdipnet_seed6_vtest4,6,1v6,TURKEY,consistent,dipnet,stop_after_W1913A,W1913A,58,0,0,13,0,0,8,13,0.000000,0.000000,0.420398,0.000000,0.000000,0.159204,0.420398,0,0,0,0,0,2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,1,0,0,18,29,10,14,47,147,12,35,5,13,29,59,39,47
run_1v6_myTURKEY_myconsistent_oppdipnet_seed7_vtest4,7,1v6,TURKEY,consistent,dipnet,max_phases,F1913R,60,0,0,6,12,0,0,16,0.000000,0.000000,0.082569,0.330275,0.000000,0.000000,0.587156,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,28,56,15,17,54,57,59,101,4,10,20,45,52,56
run_1v6_myTURKEY_myconsistent_oppdipnet_seed9_vtest4,9,1v6,TURKEY,consistent,dipnet,solo_18sc_ITALY,F1911R,51,0,10,1,4,19,0,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1,4,0,0,1,4,0,0,1,3,0,0,1,3,0,0,0,2,0,0,1,1,0,0,0,0,0,0,11,19,62,83,19,51,22,43,63,73,16,23,2,9
run_1v6_myTURKEY_myconsistent_oppdipnet_seed8_vtest4,8,1v6,TURKEY,consistent,dipnet,stop_after_W1913A,W1913A,60,1,0,13,0,3,7,10,0.003049,0.000000,0.515244,0.000000,0.027439,0.149390,0.304878,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,2,2,1,1,1,0,0,0,1,0,0,25,48,16,16,73,101,18,28,11,38,32,119,41,53
