game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myAUSTRIA_myconsistent_oppsearchbot_neurips21_dora_seed1_v1,1,1v6,AUSTRIA,consistent,searchbot_neurips21_dora,stop_after_W1913A,W1913A,60,0,3,4,9,2,11,5,0.000000,0.035156,0.062500,0.316406,0.015625,0.472656,0.097656,0,0,0,0,3,4,1,1,1,2,4,0,1,5,0,0,0,2,7,0,1,1,1,1,0,1,1,1,13,16,11,23,20,27,40,47,8,17,36,74,17,53
run_1v6_myAUSTRIA_myconsistent_oppsearchbot_neurips21_dora_seed0_v1,0,1v6,AUSTRIA,consistent,searchbot_neurips21_dora,max_phases,F1913R,60,0,0,5,11,6,9,3,0.000000,0.000000,0.091912,0.444853,0.132353,0.297794,0.033088,0,0,0,0,2,5,1,1,1,2,4,0,1,7,2,0,3,8,1,0,4,5,0,1,1,2,0,0,12,27,9,17,22,36,52,63,22,36,26,42,27,38
run_1v6_myAUSTRIA_myconsistent_oppsearchbot_neurips21_dora_seed2_v1,2,1v6,AUSTRIA,consistent,searchbot_neurips21_dora,stop_after_W1913A,W1913A,59,3,3,6,7,6,7,2,0.046875,0.046875,0.187500,0.255208,0.187500,0.255208,0.020833,0,0,0,0,1,1,0,1,0,3,4,0,2,10,4,0,3,6,2,0,7,12,2,0,0,4,0,0,31,66,11,28,15,23,45,53,17,41,30,62,18,20
run_1v6_myAUSTRIA_myconsistent_oppsearchbot_neurips21_dora_seed3_v1,3,1v6,AUSTRIA,consistent,searchbot_neurips21_dora,max_phases,F1913R,60,0,5,4,6,0,6,13,0.000000,0.088652,0.056738,0.127660,0.000000,0.127660,0.599291,0,0,0,0,4,10,1,2,0,6,0,0,1,12,1,0,0,2,1,0,2,4,4,2,1,2,1,0,5,13,18,35,17,34,46,57,13,21,30,41,54,76
run_1v6_myAUSTRIA_myconsistent_oppsearchbot_neurips21_dora_seed5_v1,5,1v6,AUSTRIA,consistent,searchbot_neurips21_dora,max_phases,F1913M,60,0,4,5,8,6,1,10,0.000000,0.066116,0.103306,0.264463,0.148760,0.004132,0.413223,0,0,0,0,1,5,2,0,0,0,1,0,1,1,2,0,5,2,3,1,1,3,1,0,1,5,1,0,5,20,10,13,31,44,31,41,32,57,18,27,61,81
run_1v6_myAUSTRIA_myconsistent_oppsearchbot_neurips21_dora_seed4_v1,4,1v6,AUSTRIA,consistent,searchbot_neurips21_dora,max_phases,F1913R,60,0,2,5,9,1,3,14,0.000000,0.012658,0.079114,0.256329,0.003165,0.028481,0.620253,0,0,0,0,2,6,0,0,1,3,5,0,5,7,1,0,2,3,1,0,4,9,0,0,0,1,0,0,11,29,5,14,17,28,41,54,12,22,19,36,48,63
run_1v6_myAUSTRIA_myconsistent_oppsearchbot_neurips21_dora_seed6_v1,6,1v6,AUSTRIA,consistent,searchbot_neurips21_dora,stop_after_W1913A,W1913A,55,3,4,5,8,4,6,4,0.049451,0.087912,0.137363,0.351648,0.087912,0.197802,0.087912,0,0,0,0,9,10,0,3,0,9,9,0,1,5,0,0,1,3,0,2,4,5,3,8,0,2,0,0,23,90,8,25,16,33,32,48,23,46,28,57,26,34
run_1v6_myAUSTRIA_myconsistent_oppsearchbot_neurips21_dora_seed7_v1,7,1v6,AUSTRIA,consistent,searchbot_neurips21_dora,stop_after_W1913A,W1913A,58,4,1,2,11,12,4,0,0.052980,0.003311,0.013245,0.400662,0.476821,0.052980,0.000000,0,1,0,0,5,9,3,2,0,3,3,0,0,5,2,0,0,2,1,0,3,3,0,0,0,3,1,0,33,81,8,24,14,24,41,61,36,43,26,52,12,23
run_1v6_myAUSTRIA_myconsistent_oppsearchbot_neurips21_dora_seed8_v1,8,1v6,AUSTRIA,consistent,searchbot_neurips21_dora,stop_after_W1913A,W1913A,56,0,3,6,6,5,11,3,0.000000,0.038136,0.152542,0.152542,0.105932,0.512712,0.038136,0,0,0,0,4,1,0,0,1,4,1,0,0,4,1,1,2,3,1,1,6,6,1,7,1,6,4,1,18,23,6,12,27,38,49,60,34,49,29,79,22,32
run_1v6_myAUSTRIA_myconsistent_oppsearchbot_neurips21_dora_seed9_v1,9,1v6,AUSTRIA,consistent,searchbot_neurips21_dora,stop_after_W1913A,W1913A,60,0,1,6,9,9,9,0,0.000000,0.003571,0.128571,0.289286,0.289286,0.289286,0.000000,0,0,0,0,3,6,1,2,3,4,3,0,1,8,0,0,0,6,1,0,2,2,2,4,0,2,2,0,7,62,6,22,17,30,42,53,29,44,28,55,16,22
