game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myENGLAND_myconsistent_oppsearchbot_neurips21_dora_seed0_v1,0,1v6,ENGLAND,consistent,searchbot_neurips21_dora,stop_after_W1913A,W1913A,60,0,5,1,10,0,4,14,0.000000,0.073964,0.002959,0.295858,0.000000,0.047337,0.579882,0,3,1,0,0,0,0,0,1,1,0,1,1,3,2,1,0,0,1,0,3,7,0,2,0,3,0,0,11,21,23,30,15,26,37,52,6,6,23,41,53,77
run_1v6_myENGLAND_myconsistent_oppsearchbot_neurips21_dora_seed1_v1,1,1v6,ENGLAND,consistent,searchbot_neurips21_dora,stop_after_W1913A,W1913A,60,8,4,6,7,4,0,5,0.310680,0.077670,0.174757,0.237864,0.077670,0.000000,0.121359,0,6,0,0,0,0,0,0,1,1,5,0,1,2,3,0,4,5,1,0,1,3,3,3,2,3,1,0,33,61,19,31,23,32,34,43,13,21,17,29,30,42
run_1v6_myENGLAND_myconsistent_oppsearchbot_neurips21_dora_seed2_v1,2,1v6,ENGLAND,consistent,searchbot_neurips21_dora,max_phases,F1913M,60,11,3,0,9,4,0,7,0.438406,0.032609,0.000000,0.293478,0.057971,0.000000,0.177536,0,3,0,0,0,1,0,0,1,0,2,1,1,3,1,0,1,7,0,0,0,1,0,0,2,7,1,0,44,85,21,28,12,17,41,59,11,22,6,9,33,49
run_1v6_myENGLAND_myconsistent_oppsearchbot_neurips21_dora_seed3_v1,3,1v6,ENGLAND,consistent,searchbot_neurips21_dora,stop_after_W1913A,W1913A,60,0,0,5,12,5,7,5,0.000000,0.000000,0.093284,0.537313,0.093284,0.182836,0.093284,0,4,0,0,0,0,0,0,3,2,3,0,1,3,1,0,3,8,0,0,2,2,2,0,0,8,2,0,17,22,5,7,30,38,53,59,25,60,24,35,23,31
run_1v6_myENGLAND_myconsistent_oppsearchbot_neurips21_dora_seed4_v1,4,1v6,ENGLAND,consistent,searchbot_neurips21_dora,stop_after_W1913A,W1913A,58,0,0,9,8,11,3,3,0.000000,0.000000,0.285211,0.225352,0.426056,0.031690,0.031690,1,1,0,0,0,0,0,0,1,3,1,0,0,7,1,0,2,3,1,0,0,3,0,0,1,3,0,0,10,19,8,11,51,65,51,57,36,50,14,32,23,39
run_1v6_myENGLAND_myconsistent_oppsearchbot_neurips21_dora_seed6_v1,6,1v6,ENGLAND,consistent,searchbot_neurips21_dora,max_phases,S1913R,60,0,4,0,7,10,7,6,0.000000,0.064000,0.000000,0.196000,0.400000,0.196000,0.144000,1,3,1,1,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,4,6,2,0,1,3,3,0,16,18,14,20,16,18,26,36,31,38,32,57,19,26
run_1v6_myENGLAND_myconsistent_oppsearchbot_neurips21_dora_seed5_v1,5,1v6,ENGLAND,consistent,searchbot_neurips21_dora,stop_after_W1913A,W1913A,57,0,3,0,15,4,4,8,0.000000,0.027273,0.000000,0.681818,0.048485,0.048485,0.193939,0,4,0,0,0,0,0,0,1,2,1,0,1,1,3,0,0,1,2,0,1,5,0,2,0,2,1,0,25,33,8,11,18,21,39,43,23,36,25,42,32,39
run_1v6_myENGLAND_myconsistent_oppsearchbot_neurips21_dora_seed8_v1,8,1v6,ENGLAND,consistent,searchbot_neurips21_dora,stop_after_W1913A,W1913A,55,0,4,5,7,0,6,12,0.000000,0.059259,0.092593,0.181481,0.000000,0.133333,0.533333,0,0,0,0,0,1,0,0,1,1,3,0,3,4,3,0,2,1,1,0,1,4,1,0,1,4,0,2,3,4,17,21,23,34,43,68,8,13,23,43,47,98
run_1v6_myENGLAND_myconsistent_oppsearchbot_neurips21_dora_seed7_v1,7,1v6,ENGLAND,consistent,searchbot_neurips21_dora,max_phases,F1913M,60,0,0,8,6,6,9,5,0.000000,0.000000,0.264463,0.148760,0.148760,0.334711,0.103306,1,4,0,0,0,0,0,0,1,3,0,0,2,7,4,0,1,2,0,0,2,5,0,1,4,6,2,0,12,27,11,15,41,71,30,35,30,49,39,61,30,40
run_1v6_myENGLAND_myconsistent_oppsearchbot_neurips21_dora_seed9_v1,9,1v6,ENGLAND,consistent,searchbot_neurips21_dora,max_phases,S1913R,60,0,0,17,0,4,6,7,0.000000,0.000000,0.741026,0.000000,0.041026,0.092308,0.125641,1,4,0,1,0,0,0,0,0,1,1,0,0,0,4,0,0,1,1,0,1,2,2,0,1,3,0,0,18,26,12,13,36,63,26,35,10,13,29,51,35,53
