game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myFRANCE_myconsistent_oppsearchbot_neurips21_dora_seed0_v1,0,1v6,FRANCE,consistent,searchbot_neurips21_dora,max_phases,F1913R,60,0,5,0,11,0,5,13,0.000000,0.073529,0.000000,0.355882,0.000000,0.073529,0.497059,0,3,0,0,4,9,0,0,0,1,0,0,5,11,2,1,0,3,0,0,4,10,2,0,0,3,0,0,9,14,26,36,36,40,45,59,14,34,27,41,47,67
run_1v6_myFRANCE_myconsistent_oppsearchbot_neurips21_dora_seed2_v1,2,1v6,FRANCE,consistent,searchbot_neurips21_dora,stop_after_W1913A,W1913A,59,0,4,4,0,6,16,4,0.000000,0.047059,0.047059,0.000000,0.105882,0.752941,0.047059,2,5,0,1,1,3,0,0,0,2,1,0,0,0,4,0,2,4,1,0,3,8,1,3,1,3,0,0,5,12,23,30,20,34,17,25,24,34,58,122,25,34
run_1v6_myFRANCE_myconsistent_oppsearchbot_neurips21_dora_seed1_v1,1,1v6,FRANCE,consistent,searchbot_neurips21_dora,stop_after_W1913A,W1913A,60,0,11,1,8,0,3,11,0.000000,0.382911,0.003165,0.202532,0.000000,0.028481,0.382911,0,2,0,0,0,3,0,0,0,0,0,0,1,2,2,1,1,0,1,0,0,4,2,2,0,1,3,0,10,20,36,44,27,47,39,66,9,12,16,27,41,54
run_1v6_myFRANCE_myconsistent_oppsearchbot_neurips21_dora_seed3_v1,3,1v6,FRANCE,consistent,searchbot_neurips21_dora,stop_after_W1913A,W1913A,59,8,4,0,9,4,6,3,0.288288,0.072072,0.000000,0.364865,0.072072,0.162162,0.040541,1,5,1,0,2,2,1,0,0,0,0,0,0,1,6,1,2,13,0,0,0,3,2,0,0,10,0,1,34,47,28,37,4,6,21,31,24,37,32,60,12,36
run_1v6_myFRANCE_myconsistent_oppsearchbot_neurips21_dora_seed4_v1,4,1v6,FRANCE,consistent,searchbot_neurips21_dora,stop_after_W1913A,W1913A,60,0,4,5,6,8,5,6,0.000000,0.079208,0.123762,0.178218,0.316832,0.123762,0.178218,0,2,1,0,2,3,0,0,0,0,0,0,2,7,2,1,0,1,5,0,0,6,2,0,1,2,4,1,7,12,7,19,21,24,44,59,40,49,39,50,33,39
run_1v6_myFRANCE_myconsistent_oppsearchbot_neurips21_dora_seed5_v1,5,1v6,FRANCE,consistent,searchbot_neurips21_dora,stop_after_W1913A,W1913A,60,5,5,0,7,9,2,6,0.113636,0.113636,0.000000,0.222727,0.368182,0.018182,0.163636,0,3,2,0,2,7,1,1,0,0,0,0,0,2,1,0,3,4,3,0,1,6,0,1,1,2,4,0,25,46,21,43,24,27,42,51,27,38,27,43,35,38
run_1v6_myFRANCE_myconsistent_oppsearchbot_neurips21_dora_seed6_v1,6,1v6,FRANCE,consistent,searchbot_neurips21_dora,max_phases,F1913M,60,1,7,2,9,2,5,8,0.004386,0.214912,0.017544,0.355263,0.017544,0.109649,0.280702,0,5,0,0,1,7,0,2,0,1,0,0,1,3,1,0,1,5,7,1,4,11,1,2,0,2,1,0,13,28,17,42,33,39,48,52,13,25,27,42,51,58
run_1v6_myFRANCE_myconsistent_oppsearchbot_neurips21_dora_seed7_v1,7,1v6,FRANCE,consistent,searchbot_neurips21_dora,max_phases,F1913R,60,0,3,4,7,7,11,2,0.000000,0.036290,0.064516,0.197581,0.197581,0.487903,0.016129,0,0,0,0,2,3,0,0,0,0,0,0,3,6,0,0,1,3,0,0,2,7,1,0,3,4,2,1,14,17,17,25,28,68,32,49,26,48,46,68,11,22
run_1v6_myFRANCE_myconsistent_oppsearchbot_neurips21_dora_seed8_v1,8,1v6,FRANCE,consistent,searchbot_neurips21_dora,max_phases,F1913R,60,0,9,0,6,10,6,3,0.000000,0.309160,0.000000,0.137405,0.381679,0.137405,0.034351,0,2,1,0,2,2,0,0,0,0,0,0,1,4,0,0,1,4,0,0,3,7,0,0,2,4,1,1,5,8,21,30,11,11,31,38,52,64,36,49,26,41
run_1v6_myFRANCE_myconsistent_oppsearchbot_neurips21_dora_seed9_v1,9,1v6,FRANCE,consistent,searchbot_neurips21_dora,stop_after_W1913A,W1913A,58,6,4,0,8,8,3,5,0.168224,0.074766,0.000000,0.299065,0.299065,0.042056,0.116822,4,6,1,0,4,9,5,3,0,0,0,0,2,5,2,0,2,2,1,0,3,6,0,0,0,6,2,0,38,63,20,34,16,17,32,42,13,21,30,45,16,20
