game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myGERMANY_myconsistent_oppsearchbot_neurips21_dora_seed0_v1,0,1v6,GERMANY,consistent,searchbot_neurips21_dora,stop_after_W1913A,W1913A,60,8,0,5,14,7,0,0,0.191617,0.000000,0.074850,0.586826,0.146707,0.000000,0.000000,0,3,1,0,0,0,0,0,2,7,3,1,1,5,0,0,2,4,3,1,3,6,1,1,0,2,0,0,38,47,5,8,24,49,64,84,20,34,20,45,9,17
run_1v6_myGERMANY_myconsistent_oppsearchbot_neurips21_dora_seed1_v1,1,1v6,GERMANY,consistent,searchbot_neurips21_dora,max_phases,F1913M,60,0,0,6,10,6,8,4,0.000000,0.000000,0.142857,0.396825,0.142857,0.253968,0.063492,3,3,0,0,1,1,2,1,0,0,0,0,0,2,1,0,0,2,0,0,5,4,3,3,0,1,2,0,7,13,6,14,29,34,52,73,36,43,27,45,11,34
run_1v6_myGERMANY_myconsistent_oppsearchbot_neurips21_dora_seed2_v1,2,1v6,GERMANY,consistent,searchbot_neurips21_dora,stop_after_W1913A,W1913A,60,2,1,10,7,4,2,8,0.016807,0.004202,0.420168,0.205882,0.067227,0.016807,0.268908,0,2,0,0,3,4,0,0,2,0,0,0,0,3,0,0,1,2,1,0,0,2,0,0,0,2,6,0,33,37,6,20,23,52,41,50,15,27,14,22,34,40
run_1v6_myGERMANY_myconsistent_oppsearchbot_neurips21_dora_seed3_v1,3,1v6,GERMANY,consistent,searchbot_neurips21_dora,stop_after_W1913A,W1913A,56,5,1,9,6,4,2,7,0.117925,0.004717,0.382075,0.169811,0.075472,0.018868,0.231132,2,5,0,0,5,4,1,5,1,5,0,0,0,0,0,0,1,4,1,2,2,3,1,1,0,4,3,0,28,53,12,23,22,32,41,56,14,35,20,32,33,44
run_1v6_myGERMANY_myconsistent_oppsearchbot_neurips21_dora_seed4_v1,4,1v6,GERMANY,consistent,searchbot_neurips21_dora,max_phases,F1913R,60,0,0,7,8,5,10,4,0.000000,0.000000,0.192913,0.251969,0.098425,0.393701,0.062992,1,2,0,0,1,4,0,0,0,2,1,0,0,2,0,0,3,6,3,1,0,5,0,0,2,6,1,0,8,13,7,17,28,33,46,70,27,45,46,58,20,46
run_1v6_myGERMANY_myconsistent_oppsearchbot_neurips21_dora_seed5_v1,5,1v6,GERMANY,consistent,searchbot_neurips21_dora,max_phases,F1913M,60,6,3,6,0,3,10,6,0.159292,0.039823,0.159292,0.000000,0.039823,0.442478,0.159292,2,6,2,0,3,3,0,3,0,4,2,0,0,0,0,0,1,8,5,0,1,1,6,1,3,6,2,1,21,27,7,12,27,37,7,7,12,41,42,71,35,59
run_1v6_myGERMANY_myconsistent_oppsearchbot_neurips21_dora_seed6_v1,6,1v6,GERMANY,consistent,searchbot_neurips21_dora,stop_after_W1913A,W1913A,59,0,0,9,6,5,4,10,0.000000,0.000000,0.313953,0.139535,0.096899,0.062016,0.387597,1,1,0,0,2,4,0,0,0,1,0,0,0,3,2,0,2,3,7,0,1,1,1,0,3,4,1,0,10,18,0,6,29,45,49,65,33,40,25,45,43,68
run_1v6_myGERMANY_myconsistent_oppsearchbot_neurips21_dora_seed7_v1,7,1v6,GERMANY,consistent,searchbot_neurips21_dora,max_phases,F1913R,60,0,6,9,0,5,9,5,0.000000,0.145161,0.326613,0.000000,0.100806,0.326613,0.100806,3,6,0,0,0,1,0,0,0,0,3,0,0,1,0,0,1,2,4,0,2,6,1,0,1,3,3,2,25,35,14,19,23,27,21,32,23,32,46,76,20,44
run_1v6_myGERMANY_myconsistent_oppsearchbot_neurips21_dora_seed8_v1,8,1v6,GERMANY,consistent,searchbot_neurips21_dora,stop_after_W1913A,W1913A,60,4,2,7,12,5,0,4,0.062992,0.015748,0.192913,0.566929,0.098425,0.000000,0.062992,1,5,1,0,1,4,0,1,1,4,0,0,0,3,1,0,0,5,0,0,0,2,0,0,1,3,1,0,35,50,9,22,20,31,74,89,13,22,12,16,15,20
run_1v6_myGERMANY_myconsistent_oppsearchbot_neurips21_dora_seed9_v1,9,1v6,GERMANY,consistent,searchbot_neurips21_dora,max_phases,F1913R,60,2,2,7,8,5,2,8,0.018692,0.018692,0.228972,0.299065,0.116822,0.018692,0.299065,2,9,2,0,2,7,3,1,2,4,6,0,0,2,0,0,4,10,5,0,1,5,0,0,1,7,5,0,17,34,14,35,27,45,42,59,19,34,10,27,35,47
