game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myITALY_myconsistent_oppsearchbot_neurips21_dora_seed0_v1,0,1v6,ITALY,consistent,searchbot_neurips21_dora,max_phases,F1913R,60,0,4,8,10,1,0,11,0.000000,0.052980,0.211921,0.331126,0.003311,0.000000,0.400662,0,1,0,0,0,5,2,1,1,6,1,0,4,3,4,0,0,0,0,0,0,2,1,0,1,1,3,0,12,19,12,18,22,30,44,55,28,34,7,15,55,70
run_1v6_myITALY_myconsistent_oppsearchbot_neurips21_dora_seed1_v1,1,1v6,ITALY,consistent,searchbot_neurips21_dora,max_phases,F1913M,60,0,4,2,16,0,3,9,0.000000,0.043716,0.010929,0.699454,0.000000,0.024590,0.221311,0,1,0,0,6,9,0,5,1,9,6,2,1,6,3,0,0,0,0,0,1,5,0,0,1,0,2,0,9,14,6,21,14,29,69,84,10,13,15,23,54,70
run_1v6_myITALY_myconsistent_oppsearchbot_neurips21_dora_seed2_v1,2,1v6,ITALY,consistent,searchbot_neurips21_dora,max_phases,F1913M,60,0,5,2,7,2,7,11,0.000000,0.099206,0.015873,0.194444,0.015873,0.194444,0.480159,1,1,0,0,3,6,1,2,1,5,6,0,1,8,0,1,0,0,0,0,1,7,0,0,1,0,2,0,4,9,14,23,18,29,40,50,22,34,14,23,65,75
run_1v6_myITALY_myconsistent_oppsearchbot_neurips21_dora_seed3_v1,3,1v6,ITALY,consistent,searchbot_neurips21_dora,max_phases,F1913R,60,0,5,5,10,3,3,8,0.000000,0.107759,0.107759,0.431034,0.038793,0.038793,0.275862,0,3,1,0,1,5,4,0,2,3,4,0,1,5,1,0,0,0,0,0,1,5,2,2,1,3,0,0,20,34,9,29,12,29,42,54,9,15,14,44,21,32
run_1v6_myITALY_myconsistent_oppsearchbot_neurips21_dora_seed4_v1,4,1v6,ITALY,consistent,searchbot_neurips21_dora,max_phases,F1913M,60,0,3,6,6,0,5,14,0.000000,0.029801,0.119205,0.119205,0.000000,0.082781,0.649007,1,0,0,0,2,6,2,0,2,4,5,0,0,2,1,0,0,0,0,0,5,8,2,1,1,3,1,0,4,9,8,15,15,27,37,57,23,33,25,37,44,92
run_1v6_myITALY_myconsistent_oppsearchbot_neurips21_dora_seed5_v1,5,1v6,ITALY,consistent,searchbot_neurips21_dora,stop_after_W1913A,W1913A,59,0,4,6,10,5,2,7,0.000000,0.069565,0.156522,0.434783,0.108696,0.017391,0.213043,1,1,0,0,1,1,1,0,0,3,4,1,0,3,1,0,0,0,0,0,1,5,4,2,1,2,5,0,10,18,12,29,13,23,48,58,29,48,10,48,30,33
run_1v6_myITALY_myconsistent_oppsearchbot_neurips21_dora_seed6_v1,6,1v6,ITALY,consistent,searchbot_neurips21_dora,stop_after_W1913A,W1913A,60,2,4,1,9,1,6,11,0.015385,0.061538,0.003846,0.311538,0.003846,0.138462,0.465385,0,4,1,0,1,6,2,1,2,4,1,0,0,7,1,0,0,0,1,0,2,4,2,0,3,4,2,0,19,43,10,20,15,24,24,34,25,28,19,32,51,64
run_1v6_myITALY_myconsistent_oppsearchbot_neurips21_dora_seed7_v1,7,1v6,ITALY,consistent,searchbot_neurips21_dora,stop_after_W1913A,W1913A,60,0,3,7,9,3,1,11,0.000000,0.033333,0.181481,0.300000,0.033333,0.003704,0.448148,0,0,0,0,3,4,0,1,1,3,1,0,0,3,0,0,0,0,0,0,0,3,0,0,1,0,3,0,8,10,9,19,13,17,47,61,24,28,12,17,50,68
run_1v6_myITALY_myconsistent_oppsearchbot_neurips21_dora_seed8_v1,8,1v6,ITALY,consistent,searchbot_neurips21_dora,max_phases,F1913R,60,0,5,2,14,0,2,11,0.000000,0.071429,0.011429,0.560000,0.000000,0.011429,0.345714,0,1,1,0,5,7,0,1,0,1,5,0,0,10,3,0,0,0,0,0,0,3,0,3,0,1,1,0,9,13,14,22,14,30,47,63,10,11,21,31,51,76
run_1v6_myITALY_myconsistent_oppsearchbot_neurips21_dora_seed9_v1,9,1v6,ITALY,consistent,searchbot_neurips21_dora,stop_after_W1913A,W1913A,60,0,0,4,13,4,5,8,0.000000,0.000000,0.055172,0.582759,0.055172,0.086207,0.220690,0,4,1,1,1,3,1,1,1,1,6,0,0,5,1,0,0,0,0,0,1,5,1,0,0,1,2,0,5,19,5,14,25,40,57,66,15,15,40,47,25,35
