game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myRUSSIA_myconsistent_oppsearchbot_neurips21_dora_seed0_v1,0,1v6,RUSSIA,consistent,searchbot_neurips21_dora,max_phases,F1913R,60,6,2,10,8,0,2,6,0.147541,0.016393,0.409836,0.262295,0.000000,0.016393,0.147541,4,10,1,0,4,1,1,1,0,2,2,0,2,4,4,0,1,3,3,1,0,1,0,0,3,2,4,0,33,54,9,17,41,49,46,54,3,8,23,33,32,48
run_1v6_myRUSSIA_myconsistent_oppsearchbot_neurips21_dora_seed1_v1,1,1v6,RUSSIA,consistent,searchbot_neurips21_dora,stop_after_W1913A,W1913A,60,3,1,7,9,5,3,6,0.042857,0.004762,0.233333,0.385714,0.119048,0.042857,0.171429,0,2,4,0,1,3,0,0,0,2,1,0,0,4,2,1,0,1,0,0,0,0,0,0,0,4,1,2,24,30,2,11,33,46,41,51,19,21,26,45,35,54
run_1v6_myRUSSIA_myconsistent_oppsearchbot_neurips21_dora_seed2_v1,2,1v6,RUSSIA,consistent,searchbot_neurips21_dora,solo_18sc_GERMANY,F1913R,58,0,0,0,19,1,0,14,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1,4,0,0,1,0,0,1,0,2,5,0,0,2,3,0,4,8,5,0,0,1,0,0,1,8,0,0,13,20,4,10,7,12,57,66,13,30,14,18,48,71
run_1v6_myRUSSIA_myconsistent_oppsearchbot_neurips21_dora_seed3_v1,3,1v6,RUSSIA,consistent,searchbot_neurips21_dora,stop_after_W1913A,W1913A,57,3,5,7,4,5,3,7,0.049451,0.137363,0.269231,0.087912,0.137363,0.049451,0.269231,1,5,1,0,1,0,0,3,0,5,0,0,2,3,2,0,1,3,2,0,0,0,0,0,1,2,1,0,31,50,19,38,30,44,19,53,23,45,26,45,30,37
run_1v6_myRUSSIA_myconsistent_oppsearchbot_neurips21_dora_seed4_v1,4,1v6,RUSSIA,consistent,searchbot_neurips21_dora,max_phases,F1913R,60,5,5,5,6,4,1,8,0.130208,0.130208,0.130208,0.187500,0.083333,0.005208,0.333333,1,7,1,1,1,0,0,0,0,2,3,0,0,0,2,0,0,0,2,0,0,0,0,0,2,7,0,0,35,61,14,18,21,28,34,43,15,20,22,31,39,54
run_1v6_myRUSSIA_myconsistent_oppsearchbot_neurips21_dora_seed5_v1,5,1v6,RUSSIA,consistent,searchbot_neurips21_dora,max_phases,F1913M,60,9,4,6,6,6,0,3,0.378505,0.074766,0.168224,0.168224,0.168224,0.000000,0.042056,0,4,2,0,3,5,2,1,0,2,3,0,2,6,0,1,1,5,1,0,0,0,0,0,0,2,1,0,42,59,9,18,26,36,44,51,29,49,21,33,18,32
run_1v6_myRUSSIA_myconsistent_oppsearchbot_neurips21_dora_seed6_v1,6,1v6,RUSSIA,consistent,searchbot_neurips21_dora,max_phases,F1913R,60,0,3,5,9,5,5,7,0.000000,0.042056,0.116822,0.378505,0.116822,0.116822,0.228972,0,0,0,0,5,4,2,0,2,5,0,1,0,6,3,0,1,2,2,0,0,0,0,0,0,2,4,0,10,13,4,13,21,39,41,59,13,32,42,63,31,44
run_1v6_myRUSSIA_myconsistent_oppsearchbot_neurips21_dora_seed7_v1,7,1v6,RUSSIA,consistent,searchbot_neurips21_dora,max_phases,F1913R,60,0,0,2,15,1,2,14,0.000000,0.000000,0.009302,0.523256,0.002326,0.009302,0.455814,0,1,1,1,0,0,2,0,1,3,5,0,1,3,1,1,0,3,2,3,0,0,0,0,1,4,1,0,13,15,3,15,25,32,47,53,31,51,24,38,44,51
run_1v6_myRUSSIA_myconsistent_oppsearchbot_neurips21_dora_seed8_v1,8,1v6,RUSSIA,consistent,searchbot_neurips21_dora,stop_after_W1913A,W1913A,59,7,2,2,12,4,0,7,0.184211,0.015038,0.015038,0.541353,0.060150,0.000000,0.184211,1,5,1,0,1,3,0,0,0,1,1,0,1,2,2,1,2,5,1,1,0,1,0,0,2,7,0,0,41,71,17,22,19,25,40,53,14,33,19,34,33,41
run_1v6_myRUSSIA_myconsistent_oppsearchbot_neurips21_dora_seed9_v1,9,1v6,RUSSIA,consistent,searchbot_neurips21_dora,max_phases,S1913R,60,8,6,7,3,8,1,1,0.285714,0.160714,0.218750,0.040179,0.285714,0.004464,0.004464,1,2,0,0,4,9,2,3,3,5,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,43,74,14,25,26,39,25,33,38,48,32,61,19,30
