game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myTURKEY_myconsistent_oppsearchbot_neurips21_dora_seed0_v1,0,1v6,TURKEY,consistent,searchbot_neurips21_dora,stop_after_W1913A,W1913A,59,0,1,9,11,0,13,0,0.000000,0.002688,0.217742,0.325269,0.000000,0.454301,0.000000,0,1,2,1,2,3,0,0,1,2,4,0,0,4,0,1,0,0,2,0,0,2,0,0,0,0,0,0,8,10,10,17,29,33,44,77,3,5,58,73,9,15
run_1v6_myTURKEY_myconsistent_oppsearchbot_neurips21_dora_seed1_v1,1,1v6,TURKEY,consistent,searchbot_neurips21_dora,max_phases,F1913R,60,0,3,5,6,5,13,2,0.000000,0.033582,0.093284,0.134328,0.093284,0.630597,0.014925,1,2,0,0,3,6,0,0,2,5,6,0,1,4,1,0,2,6,2,0,0,1,1,0,0,0,0,0,8,15,19,33,9,23,27,45,19,29,41,59,33,41
run_1v6_myTURKEY_myconsistent_oppsearchbot_neurips21_dora_seed2_v1,2,1v6,TURKEY,consistent,searchbot_neurips21_dora,stop_after_W1913A,W1913A,59,0,1,6,11,8,5,3,0.000000,0.003906,0.140625,0.472656,0.250000,0.097656,0.035156,0,0,0,0,2,4,0,1,0,1,4,0,1,5,1,0,2,2,0,1,1,5,0,0,0,0,0,0,11,17,17,26,19,26,48,65,27,39,25,36,15,21
run_1v6_myTURKEY_myconsistent_oppsearchbot_neurips21_dora_seed3_v1,3,1v6,TURKEY,consistent,searchbot_neurips21_dora,solo_18sc_GERMANY,F1912R,54,1,0,6,20,1,6,0,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1,3,1,0,3,4,0,2,0,1,1,0,1,4,1,0,0,0,0,0,1,4,2,0,0,0,0,0,9,28,8,21,25,30,57,78,9,17,33,47,10,22
run_1v6_myTURKEY_myconsistent_oppsearchbot_neurips21_dora_seed4_v1,4,1v6,TURKEY,consistent,searchbot_neurips21_dora,stop_after_W1913A,W1913A,57,0,4,6,6,6,12,0,0.000000,0.059701,0.134328,0.134328,0.134328,0.537313,0.000000,0,2,2,0,5,5,2,0,1,7,2,0,4,6,2,0,3,5,2,1,0,6,0,0,0,0,0,0,13,25,13,26,17,27,43,57,20,40,36,53,12,16
run_1v6_myTURKEY_myconsistent_oppsearchbot_neurips21_dora_seed6_v1,6,1v6,TURKEY,consistent,searchbot_neurips21_dora,max_phases,F1913R,60,0,0,0,16,5,13,0,0.000000,0.000000,0.000000,0.568889,0.055556,0.375556,0.000000,0,0,0,1,1,1,3,0,0,1,3,0,2,3,1,0,0,2,1,0,0,3,0,0,0,0,0,0,4,5,8,15,17,20,41,51,41,54,48,58,9,15
run_1v6_myTURKEY_myconsistent_oppsearchbot_neurips21_dora_seed5_v1,5,1v6,TURKEY,consistent,searchbot_neurips21_dora,max_phases,F1913M,60,0,5,5,8,5,11,0,0.000000,0.096154,0.096154,0.246154,0.096154,0.465385,0.000000,0,4,1,0,1,5,2,0,0,2,1,0,1,2,0,0,1,1,0,0,0,5,3,0,0,0,0,0,10,21,15,27,20,29,31,40,17,22,45,66,10,19
run_1v6_myTURKEY_myconsistent_oppsearchbot_neurips21_dora_seed7_v1,7,1v6,TURKEY,consistent,searchbot_neurips21_dora,stop_after_W1913A,W1913A,57,0,1,12,8,0,13,0,0.000000,0.002646,0.380952,0.169312,0.000000,0.447090,0.000000,0,2,0,1,4,4,0,0,1,3,2,0,5,9,3,1,0,0,1,1,0,5,0,0,0,1,0,0,6,11,7,14,39,53,36,66,6,13,59,95,18,29
run_1v6_myTURKEY_myconsistent_oppsearchbot_neurips21_dora_seed8_v1,8,1v6,TURKEY,consistent,searchbot_neurips21_dora,solo_18sc_RUSSIA,F1912R,55,0,2,7,3,4,18,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0,0,0,0,9,11,0,2,0,13,3,0,1,2,1,0,1,1,1,0,0,3,0,0,0,0,0,0,4,7,6,21,17,24,35,49,14,24,56,80,5,7
run_1v6_myTURKEY_myconsistent_oppsearchbot_neurips21_dora_seed9_v1,9,1v6,TURKEY,consistent,searchbot_neurips21_dora,max_phases,S1913R,60,0,0,4,12,6,9,3,0.000000,0.000000,0.055944,0.503497,0.125874,0.283217,0.031469,1,2,0,1,2,4,0,2,0,0,4,0,2,5,2,0,1,1,0,1,1,7,0,0,0,0,0,0,3,6,8,20,6,15,47,64,21,40,44,58,21,50
