side,agent_name,scope,power,n_samples,mean_sos,win_rate,most_sc_rate,survived_rate,defeated_rate,win_count,most_sc_count,survived_count,defeated_count,c1_total,c2_total,c3_total,c4_total,c1_avg_per_sample,c2_avg_per_sample,c3_avg_per_sample,c4_avg_per_sample,support_success_total,support_total_total,support_success_ratio
self,consistent,per_power,AUSTRIA,10,0.014931,0.000000,0.000000,0.300000,0.700000,0,0,3,7,0,1,0,0,0.000000,0.100000,0.000000,0.000000,158,427,0.370023
self,consistent,per_power,ENGLAND,10,0.033478,0.000000,0.000000,0.600000,0.400000,0,0,6,4,0,2,0,0,0.000000,0.200000,0.000000,0.000000,138,187,0.737968
self,consistent,per_power,FRANCE,10,0.025605,0.000000,0.000000,0.500000,0.500000,0,0,5,5,0,4,1,0,0.000000,0.400000,0.100000,0.000000,220,313,0.702875
self,consistent,per_power,GERMANY,10,0.261684,0.000000,0.400000,0.400000,0.200000,0,4,4,2,1,21,4,0,0.100000,2.100000,0.400000,0.000000,437,585,0.747009
self,consistent,per_power,ITALY,10,0.025902,0.000000,0.000000,0.700000,0.300000,0,0,7,3,0,0,1,0,0.000000,0.000000,0.100000,0.000000,195,259,0.752896
self,consistent,per_power,RUSSIA,10,0.024450,0.000000,0.000000,0.700000,0.300000,0,0,7,3,0,3,0,0,0.000000,0.300000,0.000000,0.000000,249,401,0.620948
self,consistent,per_power,TURKEY,10,0.008155,0.000000,0.000000,0.300000,0.700000,0,0,3,7,0,1,0,0,0.000000,0.100000,0.000000,0.000000,142,235,0.604255
opponent,searchbot_neurips21_dora,per_power,AUSTRIA,60,0.052080,0.000000,0.066667,0.266667,0.666667,0,4,16,40,41,179,35,10,0.683333,2.983333,0.583333,0.166667,1032,1690,0.610651
opponent,searchbot_neurips21_dora,per_power,ENGLAND,60,0.056060,0.000000,0.016667,0.783333,0.200000,0,1,47,12,148,261,51,57,2.466667,4.350000,0.850000,0.950000,693,1346,0.514859
opponent,searchbot_neurips21_dora,per_power,FRANCE,60,0.144427,0.000000,0.100000,0.783333,0.116667,0,6,47,7,47,180,155,7,0.783333,3.000000,2.583333,0.116667,1321,1995,0.662155
opponent,searchbot_neurips21_dora,per_power,GERMANY,60,0.317737,0.033333,0.350000,0.566667,0.050000,2,21,34,3,72,265,101,14,1.200000,4.416667,1.683333,0.233333,2408,3186,0.755807
opponent,searchbot_neurips21_dora,per_power,ITALY,60,0.120185,0.000000,0.150000,0.666667,0.183333,0,9,40,11,77,201,99,18,1.283333,3.350000,1.650000,0.300000,1248,2019,0.618128
opponent,searchbot_neurips21_dora,per_power,RUSSIA,60,0.194392,0.016667,0.250000,0.633333,0.100000,1,15,38,6,99,279,66,53,1.650000,4.650000,1.100000,0.883333,1724,2851,0.604700
opponent,searchbot_neurips21_dora,per_power,TURKEY,60,0.216085,0.000000,0.266667,0.666667,0.066667,0,16,40,4,55,199,94,13,0.916667,3.316667,1.566667,0.216667,1953,2841,0.687434
self,consistent,overall,OVERALL,70,0.056315,0.000000,0.057143,0.500000,0.442857,0,4,35,31,1,32,6,0,0.014286,0.457143,0.085714,0.000000,1539,2407,0.639385
opponent,searchbot_neurips21_dora,overall,OVERALL,420,0.157281,0.007143,0.171429,0.623810,0.197619,3,72,262,83,539,1564,601,172,1.283333,3.723810,1.430952,0.409524,10379,15928,0.651620
