game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myAUSTRIA_myconsistent_oppsearchbot_seed0_v1,0,1v6,AUSTRIA,consistent,searchbot,solo_18sc_FRANCE,F1908R,34,0,0,19,1,0,0,14,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,1,0,0,10,10,9,14,23,40,9,13,11,21,14,19,28,50
run_1v6_myAUSTRIA_myconsistent_oppsearchbot_seed1_v1,1,1v6,AUSTRIA,consistent,searchbot,solo_18sc_FRANCE,F1912R,53,0,0,18,0,9,7,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,1,2,0,0,10,17,2,12,47,73,15,22,34,65,53,135,8,20
run_1v6_myAUSTRIA_myconsistent_oppsearchbot_seed2_v1,2,1v6,AUSTRIA,consistent,searchbot,stop_after_W1913A,W1913A,54,0,0,0,17,0,4,13,0.000000,0.000000,0.000000,0.609705,0.000000,0.033755,0.356540,0,0,0,0,0,2,0,0,0,2,0,0,0,5,1,0,0,1,0,1,0,1,1,0,3,2,0,0,5,5,22,26,23,44,47,78,17,28,39,85,50,98
run_1v6_myAUSTRIA_myconsistent_oppsearchbot_seed3_v1,3,1v6,AUSTRIA,consistent,searchbot,solo_18sc_AUSTRIA,F1912R,56,18,1,4,11,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,5,0,0,0,6,0,0,0,3,2,0,1,1,0,0,0,2,0,0,0,4,0,0,0,1,1,1,70,82,4,19,30,36,38,86,7,19,17,43,15,16
run_1v6_myAUSTRIA_myconsistent_oppsearchbot_seed4_v1,4,1v6,AUSTRIA,consistent,searchbot,max_phases,F1913R,60,3,0,13,3,2,1,12,0.026786,0.000000,0.502976,0.026786,0.011905,0.002976,0.428571,0,0,0,0,0,2,0,0,4,4,1,1,2,8,0,0,1,5,0,0,0,2,1,0,0,1,0,0,20,38,7,17,44,68,51,70,28,35,15,27,37,65
run_1v6_myAUSTRIA_myconsistent_oppsearchbot_seed5_v1,5,1v6,AUSTRIA,consistent,searchbot,stop_after_W1913A,W1913A,60,0,0,10,7,4,13,0,0.000000,0.000000,0.299401,0.146707,0.047904,0.505988,0.000000,0,0,0,0,0,3,1,1,1,6,3,0,5,10,0,0,2,1,0,0,0,9,0,0,0,0,3,0,2,23,22,27,25,72,29,101,25,40,55,91,28,47
run_1v6_myAUSTRIA_myconsistent_oppsearchbot_seed6_v1,6,1v6,AUSTRIA,consistent,searchbot,solo_18sc_FRANCE,F1909R,40,10,0,19,0,4,0,1,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1,6,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,5,0,3,36,52,11,13,39,53,11,20,22,23,5,8,15,40
run_1v6_myAUSTRIA_myconsistent_oppsearchbot_seed7_v1,7,1v6,AUSTRIA,consistent,searchbot,stop_after_W1913A,W1913A,57,0,0,10,7,1,9,7,0.000000,0.000000,0.357143,0.175000,0.003571,0.289286,0.175000,0,0,0,0,0,2,0,0,1,3,5,0,1,3,0,0,0,4,2,0,1,5,2,1,5,7,0,0,2,2,5,6,32,54,53,77,18,36,56,93,39,62
run_1v6_myAUSTRIA_myconsistent_oppsearchbot_seed8_v1,8,1v6,AUSTRIA,consistent,searchbot,solo_18sc_ITALY,F1911R,50,0,0,7,4,21,0,2,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,1,2,0,0,2,5,0,0,1,3,1,0,0,0,0,0,0,3,0,1,7,11,4,10,20,81,20,80,52,64,9,11,14,20
run_1v6_myAUSTRIA_myconsistent_oppsearchbot_seed9_v1,9,1v6,AUSTRIA,consistent,searchbot,stop_after_W1913A,W1913A,56,0,0,4,12,0,7,11,0.000000,0.000000,0.048485,0.436364,0.000000,0.148485,0.366667,0,0,0,0,1,6,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,15,8,15,37,57,35,48,13,17,30,36,69,91
