game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myFRANCE_myconsistent_oppsearchbot_seed0_v1,0,1v6,FRANCE,consistent,searchbot,max_phases,F1913R,60,2,4,0,6,8,14,0,0.012658,0.050633,0.000000,0.113924,0.202532,0.620253,0.000000,0,1,0,0,0,5,0,0,0,0,0,0,2,5,1,1,1,1,1,0,0,4,0,0,1,4,0,1,26,86,29,56,13,20,48,58,38,63,39,78,15,35
run_1v6_myFRANCE_myconsistent_oppsearchbot_seed1_v1,1,1v6,FRANCE,consistent,searchbot,solo_18sc_FRANCE,F1910R,39,0,0,19,0,0,2,13,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,1,1,0,0,1,0,1,0,1,0,0,2,2,0,0,1,1,0,0,0,3,0,0,1,2,0,0,5,12,5,6,47,75,16,39,6,14,19,46,47,70
run_1v6_myFRANCE_myconsistent_oppsearchbot_seed2_v1,2,1v6,FRANCE,consistent,searchbot,solo_18sc_FRANCE,F1912R,55,0,0,18,0,6,2,8,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,3,1,1,9,14,13,23,46,83,13,23,40,52,36,60,29,47
run_1v6_myFRANCE_myconsistent_oppsearchbot_seed3_v1,3,1v6,FRANCE,consistent,searchbot,solo_18sc_FRANCE,F1912R,53,2,0,19,1,12,0,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,1,1,0,1,2,0,0,0,2,1,0,0,1,0,0,1,1,0,1,1,0,2,0,0,0,1,0,39,73,5,24,45,68,36,48,32,44,17,40,9,10
run_1v6_myFRANCE_myconsistent_oppsearchbot_seed5_v1,5,1v6,FRANCE,consistent,searchbot,solo_18sc_FRANCE,F1909R,41,2,0,21,1,0,1,9,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,1,2,1,0,0,0,0,0,0,2,1,0,0,1,1,0,0,4,0,0,0,2,1,0,12,24,1,9,42,56,21,26,12,19,23,53,28,35
run_1v6_myFRANCE_myconsistent_oppsearchbot_seed6_v1,6,1v6,FRANCE,consistent,searchbot,solo_18sc_FRANCE,F1907R,31,6,0,19,0,3,0,6,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,2,2,0,0,0,0,0,0,3,0,0,1,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,26,38,8,8,24,26,7,19,11,19,9,17,15,22
run_1v6_myFRANCE_myconsistent_oppsearchbot_seed4_v1,4,1v6,FRANCE,consistent,searchbot,solo_18sc_ENGLAND,F1912R,55,6,19,0,0,2,7,0,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,6,1,0,1,2,2,0,0,2,0,0,0,2,0,0,1,4,0,0,1,1,1,0,1,2,0,1,35,50,52,64,20,43,8,12,13,37,34,55,9,12
run_1v6_myFRANCE_myconsistent_oppsearchbot_seed7_v1,7,1v6,FRANCE,consistent,searchbot,solo_18sc_FRANCE,F1911R,48,8,0,20,0,0,5,1,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,4,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,1,0,0,4,5,0,0,5,1,4,0,49,74,9,17,50,76,17,29,2,7,38,75,18,22
run_1v6_myFRANCE_myconsistent_oppsearchbot_seed8_v1,8,1v6,FRANCE,consistent,searchbot,solo_18sc_TURKEY,F1912R,52,0,4,0,10,0,1,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,2,0,2,4,1,0,0,0,0,0,0,0,3,7,0,2,3,0,0,0,3,0,0,1,2,0,0,6,11,9,18,17,18,39,51,6,14,30,85,53,80
run_1v6_myFRANCE_myconsistent_oppsearchbot_seed9_v1,9,1v6,FRANCE,consistent,searchbot,solo_18sc_RUSSIA,F1912R,53,0,0,2,3,5,18,6,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0,3,0,1,0,1,0,0,0,0,0,0,1,4,0,0,2,5,0,0,1,2,3,0,2,2,0,0,14,17,8,11,16,28,21,32,34,59,58,110,30,52
