game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myITALY_myconsistent_oppsearchbot_seed1_v1,1,1v6,ITALY,consistent,searchbot,solo_18sc_RUSSIA,F1913M,55,0,0,11,5,0,18,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1,1,0,0,0,1,0,0,1,6,1,0,1,4,1,0,0,0,0,0,0,3,0,0,0,3,0,0,3,22,4,9,51,82,38,85,14,27,104,139,12,21
run_1v6_myITALY_myconsistent_oppsearchbot_seed2_v1,2,1v6,ITALY,consistent,searchbot,max_phases,F1913M,60,0,0,12,13,0,0,9,0.000000,0.000000,0.365482,0.428934,0.000000,0.000000,0.205584,0,0,0,0,0,1,0,0,16,18,0,0,15,20,0,0,0,0,0,0,0,3,1,1,1,3,0,0,8,10,1,8,57,92,67,126,39,81,6,18,40,61
run_1v6_myITALY_myconsistent_oppsearchbot_seed0_v1,0,1v6,ITALY,consistent,searchbot,stop_after_W1913A,W1913A,59,2,0,11,2,0,14,5,0.011429,0.000000,0.345714,0.011429,0.000000,0.560000,0.071429,1,0,0,0,0,2,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,2,1,0,2,2,0,1,14,16,10,30,37,68,20,48,9,10,71,110,30,79
run_1v6_myITALY_myconsistent_oppsearchbot_seed4_v1,4,1v6,ITALY,consistent,searchbot,solo_18sc_FRANCE,F1910R,44,12,0,19,0,2,1,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,3,0,0,0,0,0,0,0,0,1,2,0,0,3,0,3,0,1,0,0,0,2,0,0,0,0,0,0,41,74,8,11,39,51,14,22,18,34,27,61,10,14
run_1v6_myITALY_myconsistent_oppsearchbot_seed3_v1,3,1v6,ITALY,consistent,searchbot,stop_after_W1913A,W1913A,60,16,4,6,6,0,2,0,0.735632,0.045977,0.103448,0.103448,0.000000,0.011494,0.000000,1,2,1,0,1,1,0,0,0,2,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,56,76,29,48,40,57,24,59,15,16,16,26,14,32
run_1v6_myITALY_myconsistent_oppsearchbot_seed5_v1,5,1v6,ITALY,consistent,searchbot,solo_18sc_GERMANY,F1911R,50,1,1,0,19,0,8,5,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1,3,0,3,1,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,4,0,0,25,48,9,35,8,13,56,62,3,5,29,87,25,37
run_1v6_myITALY_myconsistent_oppsearchbot_seed8_v1,8,1v6,ITALY,consistent,searchbot,solo_18sc_FRANCE,F1909R,38,1,0,20,1,2,2,8,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,2,0,0,0,1,1,1,0,3,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,3,0,0,11,32,5,8,39,42,9,19,12,27,14,44,20,32
run_1v6_myITALY_myconsistent_oppsearchbot_seed6_v1,6,1v6,ITALY,consistent,searchbot,solo_18sc_FRANCE,F1912R,55,1,0,22,0,0,2,9,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1,2,1,0,0,0,1,0,2,2,0,0,0,1,1,1,0,0,0,0,0,3,0,0,0,5,0,1,24,56,14,21,57,83,8,12,22,39,23,69,29,33
run_1v6_myITALY_myconsistent_oppsearchbot_seed7_v1,7,1v6,ITALY,consistent,searchbot,stop_after_W1913A,W1913A,60,0,0,8,9,2,15,0,0.000000,0.000000,0.171123,0.216578,0.010695,0.601604,0.000000,0,0,0,0,0,1,0,0,2,3,0,0,1,3,2,0,0,0,0,0,0,4,0,0,0,4,1,0,11,18,6,8,29,57,50,83,21,35,58,91,22,48
run_1v6_myITALY_myconsistent_oppsearchbot_seed9_v1,9,1v6,ITALY,consistent,searchbot,stop_after_W1913A,W1913A,59,4,0,9,6,5,3,7,0.074074,0.000000,0.375000,0.166667,0.115741,0.041667,0.226852,3,5,1,0,0,1,0,0,0,5,0,0,2,4,1,0,1,1,0,0,0,4,0,0,0,1,2,0,44,104,20,27,29,40,26,57,16,35,11,35,19,31
