game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myRUSSIA_myconsistent_oppsearchbot_seed2_v1,2,1v6,RUSSIA,consistent,searchbot,solo_18sc_FRANCE,F1910R,45,9,0,18,1,5,1,0,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1,6,0,0,0,1,0,0,0,1,1,0,1,3,0,0,1,6,0,0,0,1,0,0,0,1,0,0,19,86,2,2,41,57,22,41,20,38,28,36,3,10
run_1v6_myRUSSIA_myconsistent_oppsearchbot_seed0_v1,0,1v6,RUSSIA,consistent,searchbot,solo_18sc_RUSSIA,F1911R,47,1,8,1,6,0,18,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0,4,1,0,0,1,1,0,1,1,1,2,2,4,0,0,0,1,0,1,0,2,0,0,0,4,0,1,17,25,26,31,13,21,35,55,13,17,42,71,11,32
run_1v6_myRUSSIA_myconsistent_oppsearchbot_seed1_v1,1,1v6,RUSSIA,consistent,searchbot,stop_after_W1913A,W1913A,60,0,0,13,0,6,8,7,0.000000,0.000000,0.531447,0.000000,0.113208,0.201258,0.154088,0,1,1,0,0,0,0,0,0,4,2,0,1,3,0,1,3,4,0,1,0,3,0,0,0,0,0,0,6,14,7,11,52,93,21,38,36,58,52,121,33,49
run_1v6_myRUSSIA_myconsistent_oppsearchbot_seed3_v1,3,1v6,RUSSIA,consistent,searchbot,solo_18sc_ITALY,F1909R,40,0,0,4,6,19,2,3,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0,4,0,0,0,1,2,0,2,5,0,0,0,0,0,0,4,4,0,0,9,11,4,6,31,41,34,43,48,76,16,26,23,32
run_1v6_myRUSSIA_myconsistent_oppsearchbot_seed4_v1,4,1v6,RUSSIA,consistent,searchbot,stop_after_W1913A,W1913A,60,0,0,3,12,0,7,12,0.000000,0.000000,0.026012,0.416185,0.000000,0.141618,0.416185,0,1,0,0,0,8,0,0,0,2,0,0,1,6,0,0,1,2,0,0,0,0,0,0,0,2,2,0,18,40,17,28,41,56,31,77,11,27,28,48,54,62
run_1v6_myRUSSIA_myconsistent_oppsearchbot_seed6_v1,6,1v6,RUSSIA,consistent,searchbot,max_phases,F1913M,60,0,0,16,3,0,5,10,0.000000,0.000000,0.656410,0.023077,0.000000,0.064103,0.256410,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,4,0,1,0,0,0,0,1,4,1,0,2,6,7,9,56,73,24,35,20,24,35,61,60,112
run_1v6_myRUSSIA_myconsistent_oppsearchbot_seed7_v1,7,1v6,RUSSIA,consistent,searchbot,solo_18sc_FRANCE,F1911R,50,0,0,18,0,6,7,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,3,4,0,1,0,2,0,0,2,1,1,0,1,1,0,0,0,0,1,0,0,3,3,0,8,19,14,22,44,60,20,37,36,49,33,63,15,33
run_1v6_myRUSSIA_myconsistent_oppsearchbot_seed8_v1,8,1v6,RUSSIA,consistent,searchbot,max_phases,F1913R,60,0,0,12,6,0,0,16,0.000000,0.000000,0.330275,0.082569,0.000000,0.000000,0.587156,0,3,0,0,0,0,0,0,4,7,0,0,8,7,2,0,2,5,0,0,0,0,0,0,2,7,0,0,11,18,6,6,59,140,27,41,17,32,6,9,62,99
run_1v6_myRUSSIA_myconsistent_oppsearchbot_seed5_v1,5,1v6,RUSSIA,consistent,searchbot,stop_after_W1913A,W1913A,51,0,3,5,3,4,7,12,0.000000,0.035714,0.099206,0.035714,0.063492,0.194444,0.571429,1,6,0,0,0,3,0,0,0,4,5,0,0,2,0,0,1,3,0,0,0,1,0,0,0,3,0,0,10,32,25,52,23,54,28,80,31,61,28,77,32,48
run_1v6_myRUSSIA_myconsistent_oppsearchbot_seed9_v1,9,1v6,RUSSIA,consistent,searchbot,stop_after_W1913A,W1913A,60,17,4,4,8,1,0,0,0.748705,0.041451,0.041451,0.165803,0.002591,0.000000,0.000000,0,3,2,0,0,0,1,0,0,1,2,0,1,1,1,0,0,3,0,1,0,0,0,0,0,1,0,0,45,108,11,14,14,41,49,105,15,23,19,29,12,24
