game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myENGLAND_myconsistent_oppsearchbot_seed1_v2,1,1v6,ENGLAND,consistent,searchbot,stop_after_W1913A,W1913A,60,0,0,5,15,1,0,13,0.000000,0.000000,0.059524,0.535714,0.002381,0.000000,0.402381,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,2,2,1,0,0,2,1,1,0,2,0,0,7,7,12,12,35,56,61,92,45,63,13,53,65,103
run_1v6_myENGLAND_myconsistent_oppsearchbot_seed0_v2,0,1v6,ENGLAND,consistent,searchbot,stop_after_W1913A,W1913A,58,0,13,7,0,9,0,5,0.000000,0.521605,0.151235,0.000000,0.250000,0.000000,0.077160,1,1,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,2,2,0,0,1,0,0,1,3,0,0,11,17,43,61,42,84,24,38,36,55,2,13,54,69
run_1v6_myENGLAND_myconsistent_oppsearchbot_seed2_v2,2,1v6,ENGLAND,consistent,searchbot,solo_18sc_ITALY,F1913R,60,0,12,3,0,19,0,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,1,1,0,0,0,0,0,0,4,1,0,0,1,0,0,1,5,0,0,0,0,0,0,1,1,0,1,24,35,41,58,53,77,14,21,68,89,18,41,9,14
run_1v6_myENGLAND_myconsistent_oppsearchbot_seed3_v2,3,1v6,ENGLAND,consistent,searchbot,stop_after_W1913A,W1913A,58,7,0,2,4,16,0,5,0.140000,0.000000,0.011429,0.045714,0.731429,0.000000,0.071429,3,10,0,0,0,0,0,0,1,2,0,0,0,5,2,0,1,7,0,0,0,2,0,0,1,2,0,0,58,87,11,13,23,32,21,44,60,89,7,37,36,65
run_1v6_myENGLAND_myconsistent_oppsearchbot_seed4_v2,4,1v6,ENGLAND,consistent,searchbot,stop_after_W1913A,W1913A,60,0,0,8,3,10,13,0,0.000000,0.000000,0.187135,0.026316,0.292398,0.494152,0.000000,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,3,0,0,1,2,3,0,1,2,1,0,12,18,9,14,53,72,51,85,46,64,40,84,29,41
run_1v6_myENGLAND_myconsistent_oppsearchbot_seed5_v2,5,1v6,ENGLAND,consistent,searchbot,solo_18sc_FRANCE,F1912R,56,0,0,18,5,0,0,11,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0,1,3,0,0,0,1,0,1,5,0,0,2,2,0,0,0,2,0,0,7,21,15,27,56,69,19,24,29,43,17,50,44,62
run_1v6_myENGLAND_myconsistent_oppsearchbot_seed7_v2,7,1v6,ENGLAND,consistent,searchbot,max_phases,F1913R,60,11,0,0,3,17,0,3,0.282710,0.000000,0.000000,0.021028,0.675234,0.000000,0.021028,1,9,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,3,0,2,9,0,0,4,2,0,0,33,83,16,22,3,6,46,60,62,76,22,45,19,39
run_1v6_myENGLAND_myconsistent_oppsearchbot_seed6_v2,6,1v6,ENGLAND,consistent,searchbot,stop_after_W1913A,W1913A,54,3,7,7,3,3,7,4,0.047368,0.257895,0.257895,0.047368,0.047368,0.257895,0.084211,1,2,2,0,0,3,0,0,2,3,2,0,0,4,0,0,0,0,0,0,0,3,1,0,0,1,1,0,35,62,19,90,25,45,20,95,19,29,28,99,18,39
run_1v6_myENGLAND_myconsistent_oppsearchbot_seed9_v2,9,1v6,ENGLAND,consistent,searchbot,stop_after_W1913A,W1913A,58,1,6,5,6,0,0,16,0.002825,0.101695,0.070621,0.101695,0.000000,0.000000,0.723164,2,2,1,2,0,0,0,0,2,2,0,0,0,1,0,0,0,2,0,0,0,2,0,1,1,1,0,1,26,60,30,60,18,38,32,90,9,14,12,18,63,74
run_1v6_myENGLAND_myconsistent_oppsearchbot_seed8_v2,8,1v6,ENGLAND,consistent,searchbot,stop_after_W1913A,W1913A,56,8,2,7,7,2,4,4,0.316832,0.019802,0.242574,0.242574,0.019802,0.079208,0.079208,0,2,1,0,0,0,0,0,0,7,1,0,4,5,1,1,1,2,1,0,0,4,0,0,0,3,0,0,42,62,11,56,36,69,35,83,10,23,21,53,42,78
