game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myGERMANY_myconsistent_oppsearchbot_seed3_v2,3,1v6,GERMANY,consistent,searchbot,solo_18sc_GERMANY,F1909R,39,0,0,1,18,3,6,6,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,5,2,0,0,0,1,2,0,0,4,0,0,5,42,10,15,9,10,28,50,30,42,22,51,25,29
run_1v6_myGERMANY_myconsistent_oppsearchbot_seed0_v2,0,1v6,GERMANY,consistent,searchbot,solo_18sc_RUSSIA,F1912R,54,0,0,9,0,7,18,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,8,0,0,1,2,0,0,2,4,0,0,10,40,7,8,53,75,26,40,20,53,67,104,18,28
run_1v6_myGERMANY_myconsistent_oppsearchbot_seed1_v2,1,1v6,GERMANY,consistent,searchbot,stop_after_W1913A,W1913A,58,0,0,0,14,11,7,2,0.000000,0.000000,0.000000,0.529730,0.327027,0.132432,0.010811,0,1,0,1,1,3,0,0,1,3,0,0,0,3,1,0,2,3,1,0,4,3,0,0,0,4,0,0,3,4,10,24,42,67,68,99,65,91,26,65,22,61
run_1v6_myGERMANY_myconsistent_oppsearchbot_seed2_v2,2,1v6,GERMANY,consistent,searchbot,stop_after_W1913A,W1913A,54,0,3,0,13,5,6,7,0.000000,0.031250,0.000000,0.586806,0.086806,0.125000,0.170139,0,2,1,0,0,6,0,0,1,3,0,1,0,2,0,0,2,2,0,0,0,5,0,0,1,2,0,0,18,27,20,44,8,19,51,85,26,53,43,87,38,66
run_1v6_myGERMANY_myconsistent_oppsearchbot_seed4_v2,4,1v6,GERMANY,consistent,searchbot,max_phases,F1913R,60,0,1,0,1,6,17,9,0.000000,0.002451,0.000000,0.002451,0.088235,0.708333,0.198529,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,4,4,0,0,1,4,0,0,0,2,0,0,30,43,13,22,10,13,26,43,25,50,56,92,49,61
run_1v6_myGERMANY_myconsistent_oppsearchbot_seed5_v2,5,1v6,GERMANY,consistent,searchbot,max_phases,F1913M,60,0,4,5,5,4,12,4,0.000000,0.066116,0.103306,0.103306,0.066116,0.595041,0.066116,0,1,0,0,0,3,1,0,3,0,0,0,0,0,0,0,1,10,0,0,2,3,0,1,5,10,0,0,5,8,32,53,30,37,35,63,48,79,40,58,28,83
run_1v6_myGERMANY_myconsistent_oppsearchbot_seed8_v2,8,1v6,GERMANY,consistent,searchbot,solo_18sc_RUSSIA,F1907R,31,0,0,10,0,5,19,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,1,0,0,9,13,3,6,24,36,13,28,21,23,41,51,4,7
run_1v6_myGERMANY_myconsistent_oppsearchbot_seed6_v2,6,1v6,GERMANY,consistent,searchbot,stop_after_W1913A,W1913A,60,13,0,0,13,0,5,3,0.454301,0.000000,0.000000,0.454301,0.000000,0.067204,0.024194,1,6,3,1,0,1,0,0,1,2,2,1,0,1,0,0,1,2,0,1,1,3,0,0,1,1,0,0,70,107,12,18,22,39,44,88,11,28,9,51,14,31
run_1v6_myGERMANY_myconsistent_oppsearchbot_seed7_v2,7,1v6,GERMANY,consistent,searchbot,stop_after_W1913A,W1913A,58,0,0,11,0,13,9,1,0.000000,0.000000,0.325269,0.000000,0.454301,0.217742,0.002688,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,6,0,0,0,4,2,0,0,4,0,0,18,50,7,9,40,81,15,32,47,77,51,99,14,34
run_1v6_myGERMANY_myconsistent_oppsearchbot_seed9_v2,9,1v6,GERMANY,consistent,searchbot,max_phases,F1913M,60,0,0,4,14,2,7,7,0.000000,0.000000,0.050955,0.624204,0.012739,0.156051,0.156051,0,1,0,0,4,5,0,0,2,1,0,0,0,3,0,0,0,2,0,0,0,3,0,0,2,3,0,0,2,3,19,43,24,38,54,89,42,70,27,86,26,63
