game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myTURKEY_myconsistent_oppsearchbot_seed0_v2,0,1v6,TURKEY,consistent,searchbot,solo_18sc_FRANCE,F1909R,42,0,1,18,0,6,6,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,7,14,21,27,31,13,17,28,41,26,33,13,27
run_1v6_myTURKEY_myconsistent_oppsearchbot_seed1_v2,1,1v6,TURKEY,consistent,searchbot,solo_18sc_ENGLAND,F1911R,50,0,18,1,0,2,1,12,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0,0,3,0,0,1,1,0,0,0,2,1,0,1,0,4,0,0,3,0,0,0,0,0,0,9,23,36,45,22,31,5,13,9,15,33,55,33,44
run_1v6_myTURKEY_myconsistent_oppsearchbot_seed5_v2,5,1v6,TURKEY,consistent,searchbot,solo_18sc_FRANCE,F1909R,36,0,3,19,0,2,5,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,0,0,0,2,1,2,5,0,0,0,1,2,1,1,1,0,1,0,1,1,0,0,0,0,0,3,4,16,22,39,54,8,27,14,26,27,60,24,33
run_1v6_myTURKEY_myconsistent_oppsearchbot_seed4_v2,4,1v6,TURKEY,consistent,searchbot,solo_18sc_FRANCE,F1909M,38,1,0,18,0,7,3,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,13,0,0,0,0,4,0,0,1,0,0,8,38,12,12,42,50,9,11,22,33,16,24,9,31
run_1v6_myTURKEY_myconsistent_oppsearchbot_seed2_v2,2,1v6,TURKEY,consistent,searchbot,solo_18sc_FRANCE,F1913R,58,0,0,18,2,11,0,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,5,4,1,1,2,9,0,1,2,2,1,0,1,3,0,0,1,1,0,0,6,18,5,5,55,127,30,47,49,61,19,39,17,28
run_1v6_myTURKEY_myconsistent_oppsearchbot_seed6_v2,6,1v6,TURKEY,consistent,searchbot,solo_18sc_FRANCE,F1910R,46,0,3,18,0,0,3,10,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,2,0,0,2,6,0,1,1,2,1,0,0,1,0,0,0,1,0,0,3,3,1,1,0,0,0,0,7,24,11,22,49,59,11,15,21,21,29,66,29,35
run_1v6_myTURKEY_myconsistent_oppsearchbot_seed7_v2,7,1v6,TURKEY,consistent,searchbot,stop_after_W1913A,W1913A,57,0,0,17,0,0,0,17,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.500000,0,2,0,0,0,3,0,0,1,2,1,0,0,1,0,0,1,2,0,0,0,1,0,0,0,3,0,0,2,3,10,14,39,119,10,39,15,19,20,67,63,88
run_1v6_myTURKEY_myconsistent_oppsearchbot_seed3_v2,3,1v6,TURKEY,consistent,searchbot,stop_after_W1913A,W1913A,59,0,0,17,0,7,4,6,0.000000,0.000000,0.741026,0.000000,0.125641,0.041026,0.092308,0,1,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,8,0,0,6,7,0,0,0,0,0,0,3,8,15,18,53,80,28,67,54,77,26,90,27,68
run_1v6_myTURKEY_myconsistent_oppsearchbot_seed8_v2,8,1v6,TURKEY,consistent,searchbot,solo_18sc_AUSTRIA,F1911R,46,18,0,9,5,0,0,2,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,4,1,1,1,2,0,0,1,1,0,0,1,3,1,0,0,2,0,0,1,2,1,0,0,0,0,0,55,66,25,27,26,42,26,50,13,20,10,29,18,24
run_1v6_myTURKEY_myconsistent_oppsearchbot_seed9_v2,9,1v6,TURKEY,consistent,searchbot,solo_18sc_FRANCE,F1911R,50,0,0,23,0,4,1,6,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,2,0,0,0,0,1,0,4,8,0,0,0,5,1,0,0,0,0,0,0,2,0,0,0,0,0,0,4,8,7,12,53,75,31,69,31,44,29,47,17,51
