side,agent_name,scope,power,n_samples,mean_sos,win_rate,most_sc_rate,survived_rate,defeated_rate,win_count,most_sc_count,survived_count,defeated_count,c1_total,c2_total,c3_total,c4_total,c1_avg_per_sample,c2_avg_per_sample,c3_avg_per_sample,c4_avg_per_sample,support_success_total,support_total_total,support_success_ratio
self,consistent,per_power,AUSTRIA,5,0.133802,0.000000,0.200000,0.200000,0.600000,0,1,1,3,0,6,0,0,0.000000,1.200000,0.000000,0.000000,155,220,0.704545
self,consistent,per_power,ENGLAND,5,0.200585,0.200000,0.000000,0.200000,0.600000,1,0,1,3,0,2,0,0,0.000000,0.400000,0.000000,0.000000,80,162,0.493827
self,consistent,per_power,FRANCE,5,0.503494,0.400000,0.200000,0.200000,0.200000,2,1,1,1,0,7,1,0,0.000000,1.400000,0.200000,0.000000,195,304,0.641447
self,consistent,per_power,GERMANY,5,0.400000,0.400000,0.000000,0.000000,0.600000,2,0,0,3,0,6,0,0,0.000000,1.200000,0.000000,0.000000,157,266,0.590226
self,consistent,per_power,ITALY,5,0.004478,0.000000,0.000000,0.200000,0.800000,0,0,1,4,0,1,0,0,0.000000,0.200000,0.000000,0.000000,116,192,0.604167
self,consistent,per_power,RUSSIA,5,0.240252,0.200000,0.000000,0.200000,0.600000,1,0,1,3,0,6,0,0,0.000000,1.200000,0.000000,0.000000,170,307,0.553746
self,consistent,per_power,TURKEY,5,0.298830,0.200000,0.000000,0.400000,0.400000,1,0,2,2,0,3,0,0,0.000000,0.600000,0.000000,0.000000,140,178,0.786517
opponent,searchbot,per_power,AUSTRIA,30,0.038663,0.000000,0.066667,0.033333,0.900000,0,2,1,27,19,59,9,3,0.633333,1.966667,0.300000,0.100000,501,1054,0.475332
opponent,searchbot,per_power,ENGLAND,30,0.058765,0.000000,0.066667,0.133333,0.800000,0,2,4,24,3,71,5,4,0.100000,2.366667,0.166667,0.133333,539,880,0.612500
opponent,searchbot,per_power,FRANCE,30,0.374512,0.200000,0.200000,0.300000,0.300000,6,6,9,9,32,95,24,4,1.066667,3.166667,0.800000,0.133333,1207,1950,0.618974
opponent,searchbot,per_power,GERMANY,30,0.086580,0.033333,0.066667,0.266667,0.633333,1,2,8,19,29,90,14,10,0.966667,3.000000,0.466667,0.333333,799,1567,0.509892
opponent,searchbot,per_power,ITALY,30,0.093125,0.033333,0.033333,0.366667,0.566667,1,1,11,17,29,78,7,9,0.966667,2.600000,0.233333,0.300000,814,1363,0.597212
opponent,searchbot,per_power,RUSSIA,30,0.133881,0.033333,0.133333,0.366667,0.466667,1,4,11,14,15,73,9,5,0.500000,2.433333,0.300000,0.166667,924,1828,0.505470
opponent,searchbot,per_power,TURKEY,30,0.084233,0.000000,0.066667,0.233333,0.700000,0,2,7,21,27,63,7,7,0.900000,2.100000,0.233333,0.233333,766,1304,0.587423
self,consistent,overall,OVERALL,35,0.254491,0.200000,0.057143,0.200000,0.542857,7,2,7,19,0,31,1,0,0.000000,0.885714,0.028571,0.000000,1013,1629,0.621854
opponent,searchbot,overall,OVERALL,210,0.124251,0.042857,0.090476,0.242857,0.623810,9,19,51,131,154,529,75,42,0.733333,2.519048,0.357143,0.200000,5550,9946,0.558013
