game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myAUSTRIA_myconsistent_docus_oppdiplodocus_high_seed0_v1,0,1v6,AUSTRIA,consistent_docus,diplodocus_high,max_phases,F1913M,60,0,8,7,2,4,8,5,0.000000,0.288288,0.220721,0.018018,0.072072,0.288288,0.112613,0,0,0,0,0,1,0,0,2,6,0,0,0,5,3,0,0,2,0,0,0,0,0,0,0,1,0,0,16,23,33,59,26,67,28,65,27,51,33,66,18,51
run_1v6_myAUSTRIA_myconsistent_docus_oppdiplodocus_high_seed1_v1,1,1v6,AUSTRIA,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,60,5,8,9,4,0,0,8,0.100000,0.256000,0.324000,0.064000,0.000000,0.000000,0.256000,0,0,0,0,0,4,3,0,2,2,2,0,0,3,0,0,2,1,0,0,0,4,1,0,1,3,0,0,36,65,32,71,34,78,23,73,14,21,13,28,30,59
run_1v6_myAUSTRIA_myconsistent_docus_oppdiplodocus_high_seed4_v1,4,1v6,AUSTRIA,consistent_docus,diplodocus_high,max_phases,F1913R,60,0,4,12,0,8,5,5,0.000000,0.058394,0.525547,0.000000,0.233577,0.091241,0.091241,0,0,0,0,0,1,0,0,0,2,1,0,1,2,0,0,0,2,1,0,3,5,2,0,1,5,0,0,7,9,31,39,48,72,19,34,40,70,35,45,31,60
run_1v6_myAUSTRIA_myconsistent_docus_oppdiplodocus_high_seed8_v1,8,1v6,AUSTRIA,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,59,0,0,8,10,15,0,1,0.000000,0.000000,0.164103,0.256410,0.576923,0.000000,0.002564,0,0,0,0,0,2,0,0,1,2,1,0,0,7,1,0,0,1,0,0,0,3,0,0,0,0,0,0,12,14,8,18,18,43,32,87,57,80,29,78,14,37
run_1v6_myAUSTRIA_myconsistent_docus_oppdiplodocus_high_seed7_v1,7,1v6,AUSTRIA,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,56,5,3,10,9,0,0,7,0.094697,0.034091,0.378788,0.306818,0.000000,0.000000,0.185606,0,0,0,0,0,2,1,0,1,2,1,0,1,4,0,0,0,0,0,0,0,4,0,0,0,2,0,0,34,60,16,55,47,95,32,86,9,12,13,30,29,48
run_1v6_myAUSTRIA_myconsistent_docus_oppdiplodocus_high_seed6_v1,6,1v6,AUSTRIA,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,57,2,4,0,5,10,6,7,0.017391,0.069565,0.000000,0.108696,0.434783,0.156522,0.213043,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,3,4,0,1,6,0,0,0,1,4,0,18,48,27,40,9,18,25,68,38,67,39,69,30,63
run_1v6_myAUSTRIA_myconsistent_docus_oppdiplodocus_high_seed3_v1,3,1v6,AUSTRIA,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,60,1,0,6,7,8,9,3,0.004167,0.000000,0.150000,0.204167,0.266667,0.337500,0.037500,1,3,0,0,0,0,0,0,1,3,1,0,0,4,0,0,4,6,1,0,0,2,0,0,2,1,0,0,24,50,10,25,32,62,31,89,39,59,29,64,29,40
run_1v6_myAUSTRIA_myconsistent_docus_oppdiplodocus_high_seed5_v1,5,1v6,AUSTRIA,consistent_docus,diplodocus_high,max_phases,F1913R,60,3,3,9,6,5,1,7,0.042857,0.042857,0.385714,0.171429,0.119048,0.004762,0.233333,0,0,0,0,0,2,1,0,0,7,1,0,2,7,2,0,1,2,1,0,0,1,0,0,0,1,0,0,37,57,23,34,31,56,23,60,31,46,15,21,30,51
run_1v6_myAUSTRIA_myconsistent_docus_oppdiplodocus_high_seed9_v1,9,1v6,AUSTRIA,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,56,0,3,10,6,1,5,9,0.000000,0.035714,0.396825,0.142857,0.003968,0.099206,0.321429,0,0,0,0,0,2,0,0,2,7,0,0,0,8,1,0,0,1,1,0,0,2,0,0,0,3,2,0,10,25,10,28,30,78,21,90,20,52,38,89,32,55
run_1v6_myAUSTRIA_myconsistent_docus_oppdiplodocus_high_seed2_v1,2,1v6,AUSTRIA,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,58,0,1,13,3,2,5,10,0.000000,0.003247,0.548701,0.029221,0.012987,0.081169,0.324675,0,0,0,0,0,1,0,0,0,5,1,0,1,4,1,0,2,6,0,0,0,2,0,0,0,8,1,0,35,49,15,22,37,69,22,40,23,42,23,31,12,34
