game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myENGLAND_myconsistent_docus_oppdiplodocus_high_seed0_v1,0,1v6,ENGLAND,consistent_docus,diplodocus_high,max_phases,F1914R,60,0,2,10,0,6,9,7,0.000000,0.014815,0.370370,0.000000,0.133333,0.300000,0.181481,0,0,0,0,0,0,0,0,1,5,0,0,0,4,2,0,1,7,0,0,0,4,0,0,2,4,0,0,20,35,20,36,29,61,35,69,31,69,35,92,29,91
run_1v6_myENGLAND_myconsistent_docus_oppdiplodocus_high_seed1_v1,1,1v6,ENGLAND,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,52,3,4,11,6,0,3,7,0.037500,0.066667,0.504167,0.150000,0.000000,0.037500,0.204167,0,2,0,0,0,0,0,0,0,0,1,0,0,4,2,0,0,1,2,0,0,3,1,0,0,3,0,0,22,51,17,70,34,52,25,85,10,12,14,77,35,59
run_1v6_myENGLAND_myconsistent_docus_oppdiplodocus_high_seed2_v1,2,1v6,ENGLAND,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,55,3,4,7,6,5,0,9,0.041667,0.074074,0.226852,0.166667,0.115741,0.000000,0.375000,1,3,0,0,0,0,0,0,0,1,1,0,0,3,1,0,1,7,0,0,0,0,0,0,0,1,0,0,37,58,19,31,21,73,26,61,30,64,19,22,37,51
run_1v6_myENGLAND_myconsistent_docus_oppdiplodocus_high_seed3_v1,3,1v6,ENGLAND,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,57,5,5,10,5,0,5,4,0.115741,0.115741,0.462963,0.115741,0.000000,0.115741,0.074074,1,11,0,0,0,0,0,0,0,2,0,0,1,4,2,1,2,5,1,0,1,2,0,0,0,7,0,0,38,84,21,44,36,63,32,55,8,16,24,77,20,47
run_1v6_myENGLAND_myconsistent_docus_oppdiplodocus_high_seed5_v1,5,1v6,ENGLAND,consistent_docus,diplodocus_high,max_phases,F1913R,60,0,0,7,6,4,11,6,0.000000,0.000000,0.189922,0.139535,0.062016,0.468992,0.139535,0,2,0,0,0,0,0,0,1,3,1,0,2,6,1,0,3,10,0,0,3,4,0,0,3,8,1,0,22,43,5,6,34,59,32,80,13,69,31,97,22,76
run_1v6_myENGLAND_myconsistent_docus_oppdiplodocus_high_seed6_v1,6,1v6,ENGLAND,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,59,0,8,1,6,4,9,6,0.000000,0.273504,0.004274,0.153846,0.068376,0.346154,0.153846,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,2,0,0,0,2,0,0,22,29,33,65,10,18,42,58,26,32,45,88,34,50
run_1v6_myENGLAND_myconsistent_docus_oppdiplodocus_high_seed7_v1,7,1v6,ENGLAND,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,54,0,3,6,7,5,7,6,0.000000,0.044118,0.176471,0.240196,0.122549,0.240196,0.176471,0,0,0,0,0,0,0,0,0,3,3,0,1,4,1,0,1,1,1,0,0,5,0,0,0,2,0,1,20,40,14,60,27,47,28,72,21,32,33,76,27,56
run_1v6_myENGLAND_myconsistent_docus_oppdiplodocus_high_seed4_v1,4,1v6,ENGLAND,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,50,1,6,5,5,6,7,4,0.005319,0.191489,0.132979,0.132979,0.191489,0.260638,0.085106,0,2,0,0,0,0,1,0,0,1,0,0,0,3,1,1,2,3,0,0,0,0,1,0,0,6,0,0,7,62,25,37,26,66,16,83,16,119,22,60,10,66
run_1v6_myENGLAND_myconsistent_docus_oppdiplodocus_high_seed8_v1,8,1v6,ENGLAND,consistent_docus,diplodocus_high,max_phases,F1913R,60,0,8,5,4,5,0,12,0.000000,0.233577,0.091241,0.058394,0.091241,0.000000,0.525547,0,0,0,0,0,0,0,0,1,4,0,0,0,6,0,0,0,1,0,1,0,5,0,0,0,2,0,0,7,26,33,56,43,58,32,65,38,54,10,29,43,56
run_1v6_myENGLAND_myconsistent_docus_oppdiplodocus_high_seed9_v1,9,1v6,ENGLAND,consistent_docus,diplodocus_high,max_phases,F1913R,60,0,1,8,9,11,2,3,0.000000,0.003571,0.228571,0.289286,0.432143,0.014286,0.032143,0,0,0,0,0,0,0,0,0,5,0,0,0,6,2,0,0,3,0,0,1,3,1,0,1,1,2,0,11,12,16,33,28,77,21,70,49,65,13,34,34,42
