game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myFRANCE_myconsistent_docus_oppdiplodocus_high_seed0_v1,0,1v6,FRANCE,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,60,0,2,6,9,5,5,7,0.000000,0.018182,0.163636,0.368182,0.113636,0.113636,0.222727,0,0,0,0,0,1,2,0,0,0,0,0,0,8,3,0,1,7,0,1,1,2,0,0,1,7,0,0,16,23,10,27,23,58,32,69,36,65,36,74,44,61
run_1v6_myFRANCE_myconsistent_docus_oppdiplodocus_high_seed1_v1,1,1v6,FRANCE,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,59,0,0,7,0,11,10,6,0.000000,0.000000,0.160131,0.000000,0.395425,0.326797,0.117647,0,1,0,0,0,5,0,0,0,0,0,0,0,3,0,0,1,4,0,0,0,7,0,0,2,3,0,0,12,16,7,21,41,61,17,35,48,94,48,92,27,63
run_1v6_myFRANCE_myconsistent_docus_oppdiplodocus_high_seed2_v1,2,1v6,FRANCE,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,55,0,7,7,3,7,5,5,0.000000,0.237864,0.237864,0.043689,0.237864,0.121359,0.121359,1,4,0,0,0,2,0,0,0,1,0,0,0,5,2,0,2,5,0,0,0,0,1,0,0,0,0,0,36,82,31,51,26,94,20,65,26,67,28,35,23,28
run_1v6_myFRANCE_myconsistent_docus_oppdiplodocus_high_seed3_v1,3,1v6,FRANCE,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,59,2,3,8,2,1,8,10,0.016260,0.036585,0.260163,0.016260,0.004065,0.260163,0.406504,0,1,0,0,0,2,0,0,0,0,0,0,1,6,1,0,0,0,3,0,1,5,0,0,0,2,0,1,22,57,9,12,39,58,28,71,16,34,30,80,44,67
run_1v6_myFRANCE_myconsistent_docus_oppdiplodocus_high_seed4_v1,4,1v6,FRANCE,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,58,0,5,5,5,7,6,6,0.000000,0.127551,0.127551,0.127551,0.250000,0.183673,0.183673,0,1,0,0,0,2,0,0,0,0,0,0,0,5,1,0,2,4,1,0,0,1,2,0,0,1,0,0,9,11,24,48,22,66,25,71,40,56,27,62,32,43
run_1v6_myFRANCE_myconsistent_docus_oppdiplodocus_high_seed5_v1,5,1v6,FRANCE,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,59,0,2,2,7,10,7,6,0.000000,0.016529,0.016529,0.202479,0.413223,0.202479,0.148760,0,5,0,0,0,3,0,0,0,0,0,0,0,3,0,0,1,1,1,0,0,2,0,0,0,2,0,0,20,36,11,24,29,58,23,44,40,63,48,73,28,35
run_1v6_myFRANCE_myconsistent_docus_oppdiplodocus_high_seed6_v1,6,1v6,FRANCE,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,59,0,1,7,8,4,9,5,0.000000,0.004237,0.207627,0.271186,0.067797,0.343220,0.105932,0,0,0,0,0,1,2,0,0,0,0,0,1,4,2,0,0,2,0,0,2,4,0,0,0,3,2,0,16,29,12,31,21,64,27,77,23,52,44,88,27,44
run_1v6_myFRANCE_myconsistent_docus_oppdiplodocus_high_seed8_v1,8,1v6,FRANCE,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,52,0,5,5,6,6,5,7,0.000000,0.127551,0.127551,0.183673,0.183673,0.127551,0.250000,0,1,0,0,2,4,0,0,0,0,0,0,0,4,9,0,1,1,0,0,0,1,0,0,0,0,0,0,11,38,15,76,19,69,6,89,31,78,31,49,36,43
run_1v6_myFRANCE_myconsistent_docus_oppdiplodocus_high_seed7_v1,7,1v6,FRANCE,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,51,6,3,11,10,0,0,4,0.127660,0.031915,0.429078,0.354610,0.000000,0.000000,0.056738,0,5,1,0,0,3,12,0,0,0,0,0,2,5,1,1,0,0,0,0,0,6,0,0,0,3,0,1,30,70,11,53,32,87,24,122,11,15,17,48,17,40
run_1v6_myFRANCE_myconsistent_docus_oppdiplodocus_high_seed9_v1,9,1v6,FRANCE,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,58,0,3,7,6,6,6,6,0.000000,0.044554,0.242574,0.178218,0.178218,0.178218,0.178218,0,0,2,0,0,2,1,0,0,0,1,0,0,3,1,0,2,2,1,0,0,4,1,0,0,0,2,0,18,29,27,42,21,50,25,56,22,42,24,53,22,43
