game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myGERMANY_myconsistent_docus_oppdiplodocus_high_seed0_v1,0,1v6,GERMANY,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,56,0,6,2,9,7,4,6,0.000000,0.162162,0.018018,0.364865,0.220721,0.072072,0.162162,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,2,0,1,2,2,0,0,17,18,15,35,25,37,30,44,25,49,39,92,32,71
run_1v6_myGERMANY_myconsistent_docus_oppdiplodocus_high_seed2_v1,2,1v6,GERMANY,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,58,10,1,11,0,4,8,0,0.331126,0.003311,0.400662,0.000000,0.052980,0.211921,0.000000,3,6,0,0,0,1,1,0,2,3,1,0,0,1,0,0,2,4,0,0,0,1,0,0,0,1,0,0,40,91,9,11,31,63,20,29,25,44,36,57,24,30
run_1v6_myGERMANY_myconsistent_docus_oppdiplodocus_high_seed1_v1,1,1v6,GERMANY,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,52,7,4,5,6,1,8,3,0.245000,0.080000,0.125000,0.180000,0.005000,0.320000,0.045000,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,4,0,0,27,77,12,17,25,48,30,63,13,26,33,81,14,53
run_1v6_myGERMANY_myconsistent_docus_oppdiplodocus_high_seed3_v1,3,1v6,GERMANY,consistent_docus,diplodocus_high,max_phases,F1914R,60,6,7,7,3,5,3,3,0.193548,0.263441,0.263441,0.048387,0.134409,0.048387,0.048387,0,4,1,0,1,2,2,0,0,0,3,0,0,0,0,0,4,12,1,2,0,2,0,0,0,10,0,1,29,92,39,64,35,47,22,35,34,55,16,62,16,43
run_1v6_myGERMANY_myconsistent_docus_oppdiplodocus_high_seed4_v1,4,1v6,GERMANY,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,57,0,6,7,4,6,7,4,0.000000,0.178218,0.242574,0.079208,0.178218,0.242574,0.079208,0,3,0,0,0,6,4,0,0,5,1,0,0,1,0,0,2,6,0,0,0,2,1,0,0,1,1,0,14,33,30,49,19,69,21,55,42,56,36,81,21,34
run_1v6_myGERMANY_myconsistent_docus_oppdiplodocus_high_seed8_v1,8,1v6,GERMANY,consistent_docus,diplodocus_high,max_phases,F1913R,60,0,1,11,3,5,8,6,0.000000,0.003906,0.472656,0.035156,0.097656,0.250000,0.140625,0,0,0,1,0,3,0,0,0,5,0,0,0,0,0,0,0,3,0,0,1,3,0,0,1,6,0,0,4,6,18,29,33,57,41,73,23,52,34,91,23,43
run_1v6_myGERMANY_myconsistent_docus_oppdiplodocus_high_seed5_v1,5,1v6,GERMANY,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,59,0,6,5,5,6,6,6,0.000000,0.185567,0.128866,0.128866,0.185567,0.185567,0.185567,0,5,0,0,1,3,1,0,0,2,0,0,0,0,0,0,1,8,8,0,0,2,0,0,0,3,0,0,19,65,36,57,41,57,23,54,17,38,30,57,17,66
run_1v6_myGERMANY_myconsistent_docus_oppdiplodocus_high_seed6_v1,6,1v6,GERMANY,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,60,3,10,4,0,4,8,5,0.039130,0.434783,0.069565,0.000000,0.069565,0.278261,0.108696,0,4,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,1,0,1,0,1,0,0,32,49,46,61,21,34,19,45,23,45,47,95,27,47
run_1v6_myGERMANY_myconsistent_docus_oppdiplodocus_high_seed7_v1,7,1v6,GERMANY,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,59,0,4,9,5,3,4,9,0.000000,0.070175,0.355263,0.109649,0.039474,0.070175,0.355263,0,1,1,0,0,1,0,0,2,1,1,0,0,1,0,0,0,5,0,0,0,0,1,0,0,1,0,0,25,34,19,29,20,81,22,95,28,44,22,40,39,49
run_1v6_myGERMANY_myconsistent_docus_oppdiplodocus_high_seed9_v1,9,1v6,GERMANY,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,59,0,11,4,2,4,2,11,0.000000,0.429078,0.056738,0.014184,0.056738,0.014184,0.429078,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,3,0,0,0,10,3,0,7,9,28,39,43,79,27,49,30,65,29,51,42,65
