game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myITALY_myconsistent_docus_oppdiplodocus_high_seed0_v1,0,1v6,ITALY,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,59,6,7,8,3,3,7,0,0.166667,0.226852,0.296296,0.041667,0.041667,0.226852,0.000000,1,0,0,0,0,4,1,0,2,4,1,0,0,6,1,0,0,1,0,0,1,2,0,0,0,2,0,1,33,60,23,43,22,78,20,64,18,40,34,68,18,46
run_1v6_myITALY_myconsistent_docus_oppdiplodocus_high_seed1_v1,1,1v6,ITALY,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,58,5,9,8,2,4,3,3,0.120192,0.389423,0.307692,0.019231,0.076923,0.043269,0.043269,0,1,0,0,1,4,0,0,0,4,0,0,1,6,0,0,0,0,0,0,0,0,1,0,0,2,0,0,41,89,29,49,32,67,30,89,13,27,23,58,7,37
run_1v6_myITALY_myconsistent_docus_oppdiplodocus_high_seed2_v1,2,1v6,ITALY,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,54,14,11,5,1,3,0,0,0.556818,0.343750,0.071023,0.002841,0.025568,0.000000,0.000000,0,0,0,0,3,2,0,0,3,7,0,2,0,6,0,0,0,0,0,0,0,2,0,0,0,0,2,0,62,75,24,52,24,91,19,61,14,36,15,22,8,12
run_1v6_myITALY_myconsistent_docus_oppdiplodocus_high_seed3_v1,3,1v6,ITALY,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,53,0,3,6,6,5,8,6,0.000000,0.043689,0.174757,0.174757,0.121359,0.310680,0.174757,0,0,0,0,0,3,2,0,0,4,0,0,1,5,2,0,0,0,0,0,0,5,0,0,1,3,0,0,4,4,10,25,22,53,39,72,40,65,44,95,29,73
run_1v6_myITALY_myconsistent_docus_oppdiplodocus_high_seed5_v1,5,1v6,ITALY,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,53,6,7,5,4,5,2,5,0.200000,0.272222,0.138889,0.088889,0.138889,0.022222,0.138889,0,2,0,0,0,1,1,0,3,3,0,0,0,3,1,0,0,1,0,0,0,4,1,1,1,2,0,0,42,65,13,38,35,91,23,85,23,37,25,48,20,23
run_1v6_myITALY_myconsistent_docus_oppdiplodocus_high_seed6_v1,6,1v6,ITALY,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,55,0,4,0,8,8,9,5,0.000000,0.064000,0.000000,0.256000,0.256000,0.324000,0.100000,0,0,1,0,1,4,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,7,0,0,0,1,1,0,26,38,25,68,13,23,39,56,38,57,53,74,26,32
run_1v6_myITALY_myconsistent_docus_oppdiplodocus_high_seed4_v1,4,1v6,ITALY,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,50,2,4,4,5,5,8,6,0.021505,0.086022,0.086022,0.134409,0.134409,0.344086,0.193548,0,1,0,0,0,2,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,2,1,0,0,1,0,0,9,49,8,46,19,35,24,74,19,60,41,87,31,62
run_1v6_myITALY_myconsistent_docus_oppdiplodocus_high_seed7_v1,7,1v6,ITALY,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,54,3,3,6,8,3,5,6,0.047872,0.047872,0.191489,0.340426,0.047872,0.132979,0.191489,3,0,2,0,0,4,2,0,0,9,1,0,4,11,0,0,0,0,0,0,0,6,0,0,0,0,1,0,31,67,14,40,33,63,21,87,17,29,29,73,15,37
run_1v6_myITALY_myconsistent_docus_oppdiplodocus_high_seed8_v1,8,1v6,ITALY,consistent_docus,diplodocus_high,max_phases,S1913R,60,0,7,6,3,6,3,9,0.000000,0.222727,0.163636,0.040909,0.163636,0.040909,0.368182,0,0,0,0,0,3,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,2,0,0,0,2,0,0,9,13,26,39,33,47,40,58,33,53,27,54,27,54
run_1v6_myITALY_myconsistent_docus_oppdiplodocus_high_seed9_v1,9,1v6,ITALY,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,59,0,4,4,7,5,8,6,0.000000,0.077670,0.077670,0.237864,0.121359,0.310680,0.174757,0,0,0,0,2,2,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,5,1,0,1,2,2,0,5,7,21,31,25,47,36,65,24,62,24,117,21,93
