game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myRUSSIA_myconsistent_docus_oppdiplodocus_high_seed0_v1,0,1v6,RUSSIA,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,60,2,10,8,0,4,2,8,0.015873,0.396825,0.253968,0.000000,0.063492,0.015873,0.253968,0,1,1,1,0,2,1,0,0,3,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,3,0,30,52,19,43,48,72,30,58,19,57,26,45,31,38
run_1v6_myRUSSIA_myconsistent_docus_oppdiplodocus_high_seed1_v1,1,1v6,RUSSIA,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,58,0,0,8,8,3,10,5,0.000000,0.000000,0.244275,0.244275,0.034351,0.381679,0.095420,0,1,0,0,0,0,0,0,0,2,2,0,3,5,0,0,0,2,4,0,0,1,0,0,0,0,0,0,9,16,2,8,37,43,55,69,42,47,39,68,22,46
run_1v6_myRUSSIA_myconsistent_docus_oppdiplodocus_high_seed2_v1,2,1v6,RUSSIA,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,60,6,3,12,2,11,0,0,0.114650,0.028662,0.458599,0.012739,0.385350,0.000000,0.000000,1,3,1,0,0,0,4,0,0,3,1,0,1,2,1,0,1,4,0,0,0,0,0,0,0,0,0,0,48,68,16,17,40,49,28,53,36,46,29,45,14,17
run_1v6_myRUSSIA_myconsistent_docus_oppdiplodocus_high_seed4_v1,4,1v6,RUSSIA,consistent_docus,diplodocus_high,max_phases,F1913M,60,0,1,10,8,1,0,14,0.000000,0.002762,0.276243,0.176796,0.002762,0.000000,0.541436,0,0,0,0,0,1,2,0,1,7,1,0,0,3,0,0,0,1,1,0,0,0,0,0,0,3,1,0,6,9,15,37,32,71,38,66,25,32,22,38,52,71
run_1v6_myRUSSIA_myconsistent_docus_oppdiplodocus_high_seed3_v1,3,1v6,RUSSIA,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,58,6,4,6,7,1,6,4,0.189474,0.084211,0.189474,0.257895,0.005263,0.189474,0.084211,1,1,1,0,1,2,0,0,0,5,2,0,0,4,0,0,1,1,0,1,0,0,0,0,0,1,1,0,26,54,19,74,13,31,16,97,9,14,30,60,27,34
run_1v6_myRUSSIA_myconsistent_docus_oppdiplodocus_high_seed5_v1,5,1v6,RUSSIA,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,60,1,4,2,4,8,8,7,0.004673,0.074766,0.018692,0.074766,0.299065,0.299065,0.228972,2,5,1,0,0,1,2,0,0,3,0,0,1,1,1,0,2,5,0,0,0,0,0,0,0,4,0,1,32,66,34,46,16,31,29,50,22,35,29,45,38,70
run_1v6_myRUSSIA_myconsistent_docus_oppdiplodocus_high_seed6_v1,6,1v6,RUSSIA,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,57,5,5,0,7,4,7,6,0.125000,0.125000,0.000000,0.245000,0.080000,0.245000,0.180000,0,0,0,0,0,3,0,0,0,0,0,0,1,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,27,44,31,46,7,19,39,56,25,38,32,76,31,56
run_1v6_myRUSSIA_myconsistent_docus_oppdiplodocus_high_seed7_v1,7,1v6,RUSSIA,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,58,5,6,9,2,0,7,5,0.113636,0.163636,0.368182,0.018182,0.000000,0.222727,0.113636,0,4,1,0,0,4,1,0,0,1,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,26,87,28,60,31,62,16,74,4,8,18,78,18,54
run_1v6_myRUSSIA_myconsistent_docus_oppdiplodocus_high_seed8_v1,8,1v6,RUSSIA,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,60,0,2,6,8,6,7,5,0.000000,0.018692,0.168224,0.299065,0.168224,0.228972,0.116822,0,2,0,0,0,0,3,0,7,11,1,0,4,14,1,0,1,4,0,1,0,0,0,0,1,3,1,1,13,18,12,21,29,84,40,94,36,72,37,72,20,30
run_1v6_myRUSSIA_myconsistent_docus_oppdiplodocus_high_seed9_v1,9,1v6,RUSSIA,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,60,0,11,10,0,0,6,7,0.000000,0.395425,0.326797,0.000000,0.000000,0.117647,0.160131,0,0,0,0,0,0,1,0,0,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0,2,0,9,11,35,47,25,82,32,79,25,30,29,50,30,47
