game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myTURKEY_myconsistent_docus_oppdiplodocus_high_seed0_v1,0,1v6,TURKEY,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,57,3,0,10,2,5,8,6,0.037815,0.000000,0.420168,0.016807,0.105042,0.268908,0.151261,1,4,0,0,0,1,2,0,2,3,1,0,0,0,1,0,2,7,0,0,0,1,0,0,0,0,0,0,23,42,12,31,26,66,32,82,23,60,33,83,25,51
run_1v6_myTURKEY_myconsistent_docus_oppdiplodocus_high_seed2_v1,2,1v6,TURKEY,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,60,1,11,4,2,11,5,0,0.003472,0.420139,0.055556,0.013889,0.420139,0.086806,0.000000,0,2,0,0,1,2,1,0,0,0,2,0,0,1,2,0,2,2,1,0,0,1,0,0,0,0,0,0,26,61,36,45,30,77,24,46,38,55,26,51,12,21
run_1v6_myTURKEY_myconsistent_docus_oppdiplodocus_high_seed1_v1,1,1v6,TURKEY,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,53,0,10,0,2,9,8,5,0.000000,0.364964,0.000000,0.014599,0.295620,0.233577,0.091241,0,3,2,0,1,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,4,0,0,0,0,0,0,19,65,44,69,20,29,33,55,34,39,26,60,24,48
run_1v6_myTURKEY_myconsistent_docus_oppdiplodocus_high_seed3_v1,3,1v6,TURKEY,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,59,1,1,6,11,5,2,8,0.003968,0.003968,0.142857,0.480159,0.099206,0.015873,0.253968,0,5,0,0,0,0,1,0,0,1,0,0,1,3,1,2,2,4,0,0,0,2,2,0,0,0,0,0,36,71,19,31,25,51,43,63,24,61,21,36,30,41
run_1v6_myTURKEY_myconsistent_docus_oppdiplodocus_high_seed4_v1,4,1v6,TURKEY,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,57,0,5,1,5,7,10,6,0.000000,0.105932,0.004237,0.105932,0.207627,0.423729,0.152542,0,2,0,0,1,6,0,0,0,3,1,0,1,2,2,0,2,4,1,0,5,5,1,0,0,0,0,0,6,23,26,42,18,38,43,65,26,57,37,94,19,62
run_1v6_myTURKEY_myconsistent_docus_oppdiplodocus_high_seed5_v1,5,1v6,TURKEY,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,56,3,5,9,5,0,4,8,0.040909,0.113636,0.368182,0.113636,0.000000,0.072727,0.290909,1,2,0,0,0,5,0,0,2,2,4,0,0,1,0,0,1,1,0,0,0,7,1,0,0,0,0,0,31,64,30,40,39,74,18,72,3,9,24,61,29,53
run_1v6_myTURKEY_myconsistent_docus_oppdiplodocus_high_seed6_v1,6,1v6,TURKEY,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,59,8,5,0,0,6,7,8,0.268908,0.105042,0.000000,0.000000,0.151261,0.205882,0.268908,0,3,0,0,1,3,0,1,1,3,0,1,0,0,3,0,3,2,3,0,0,1,1,0,0,0,0,0,35,55,32,50,5,22,16,27,24,36,44,73,28,53
run_1v6_myTURKEY_myconsistent_docus_oppdiplodocus_high_seed7_v1,7,1v6,TURKEY,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,56,5,4,5,8,0,4,8,0.119048,0.076190,0.119048,0.304762,0.000000,0.076190,0.304762,0,3,1,0,0,4,1,1,0,2,1,0,3,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,23,64,7,47,36,82,32,80,5,8,21,75,21,60
run_1v6_myTURKEY_myconsistent_docus_oppdiplodocus_high_seed9_v1,9,1v6,TURKEY,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,58,2,5,9,3,8,7,0,0.017241,0.107759,0.349138,0.038793,0.275862,0.211207,0.000000,1,1,1,0,0,0,2,0,0,4,1,0,0,4,3,0,0,0,0,1,0,2,0,0,0,0,0,0,20,57,24,37,19,68,35,75,26,69,48,77,2,14
run_1v6_myTURKEY_myconsistent_docus_oppdiplodocus_high_seed8_v1,8,1v6,TURKEY,consistent_docus,diplodocus_high,stop_after_W1913A,W1913A,59,0,7,6,3,7,3,8,0.000000,0.226852,0.166667,0.041667,0.226852,0.041667,0.296296,0,2,0,0,0,9,5,0,0,5,0,0,0,4,0,0,0,6,1,0,0,4,0,0,1,1,0,0,11,19,28,44,35,62,28,58,34,77,28,77,38,60
