side,agent_name,scope,power,n_samples,mean_sos,win_rate,most_sc_rate,survived_rate,defeated_rate,win_count,most_sc_count,survived_count,defeated_count,c1_total,c2_total,c3_total,c4_total,c1_avg_per_sample,c2_avg_per_sample,c3_avg_per_sample,c4_avg_per_sample,support_success_total,support_total_total,support_success_ratio
self,consistent_docus,per_power,AUSTRIA,5,0.027358,0.000000,0.000000,0.400000,0.600000,0,0,2,3,0,0,0,0,0.000000,0.000000,0.000000,0.000000,114,218,0.522936
self,consistent_docus,per_power,ENGLAND,5,0.158419,0.000000,0.000000,1.000000,0.000000,0,0,5,0,0,2,0,0,0.000000,0.400000,0.000000,0.000000,115,215,0.534884
self,consistent_docus,per_power,FRANCE,5,0.232266,0.000000,0.400000,0.400000,0.200000,0,2,2,1,0,2,0,0,0.000000,0.400000,0.000000,0.000000,153,287,0.533101
self,consistent_docus,per_power,GERMANY,5,0.104292,0.000000,0.200000,0.600000,0.200000,0,1,3,1,0,4,0,0,0.000000,0.800000,0.000000,0.000000,125,317,0.394322
self,consistent_docus,per_power,ITALY,5,0.028038,0.000000,0.000000,0.600000,0.400000,0,0,3,2,0,1,0,0,0.000000,0.200000,0.000000,0.000000,108,207,0.521739
self,consistent_docus,per_power,RUSSIA,5,0.116343,0.000000,0.200000,0.600000,0.200000,0,1,3,1,0,1,0,0,0.000000,0.200000,0.000000,0.000000,131,287,0.456446
self,consistent_docus,per_power,TURKEY,5,0.118588,0.000000,0.000000,0.800000,0.200000,0,0,4,1,0,0,0,0,0.000000,0.000000,0.000000,0.000000,109,241,0.452282
opponent,diplodocus_high,per_power,AUSTRIA,30,0.065148,0.000000,0.066667,0.433333,0.500000,0,2,13,15,9,79,11,1,0.300000,2.633333,0.366667,0.033333,666,1371,0.485777
opponent,diplodocus_high,per_power,ENGLAND,30,0.100560,0.000000,0.166667,0.766667,0.066667,0,5,23,2,9,82,29,0,0.300000,2.733333,0.966667,0.000000,606,1222,0.495908
opponent,diplodocus_high,per_power,FRANCE,30,0.288316,0.033333,0.466667,0.500000,0.000000,1,14,15,0,15,104,16,0,0.500000,3.466667,0.533333,0.000000,928,1963,0.472746
opponent,diplodocus_high,per_power,GERMANY,30,0.118830,0.000000,0.066667,0.866667,0.066667,0,2,26,2,19,103,32,3,0.633333,3.433333,1.066667,0.100000,887,2088,0.424808
opponent,diplodocus_high,per_power,ITALY,30,0.148307,0.000000,0.200000,0.566667,0.233333,0,6,17,7,33,96,19,0,1.100000,3.200000,0.633333,0.000000,761,1391,0.547088
opponent,diplodocus_high,per_power,RUSSIA,30,0.156301,0.000000,0.266667,0.600000,0.133333,0,8,18,4,10,76,22,1,0.333333,2.533333,0.733333,0.033333,852,1813,0.469939
opponent,diplodocus_high,per_power,TURKEY,30,0.158319,0.000000,0.133333,0.766667,0.100000,0,4,23,3,7,92,7,0,0.233333,3.066667,0.233333,0.000000,766,1564,0.489770
self,consistent_docus,overall,OVERALL,35,0.112186,0.000000,0.114286,0.628571,0.257143,0,4,22,9,0,10,0,0,0.000000,0.285714,0.000000,0.000000,855,1772,0.482506
opponent,diplodocus_high,overall,OVERALL,210,0.147969,0.004762,0.195238,0.642857,0.157143,1,41,135,33,102,632,136,5,0.485714,3.009524,0.647619,0.023810,5466,11412,0.478970
