game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myAUSTRIA_myconsistent_docus_oppsearchbot_neurips21_dora_seed0_v1,0,1v6,AUSTRIA,consistent_docus,searchbot_neurips21_dora,max_phases,W1914A,60,2,3,4,12,5,5,3,0.017241,0.038793,0.068966,0.620690,0.107759,0.107759,0.038793,0,0,0,0,1,5,2,0,1,2,6,0,0,7,0,0,0,6,1,0,2,2,0,1,3,5,1,3,11,57,13,25,17,21,51,63,21,34,22,44,18,35
run_1v6_myAUSTRIA_myconsistent_docus_oppsearchbot_neurips21_dora_seed1_v1,1,1v6,AUSTRIA,consistent_docus,searchbot_neurips21_dora,max_phases,F1913R,60,0,4,3,6,5,10,6,0.000000,0.072072,0.040541,0.162162,0.112613,0.450450,0.162162,0,0,0,0,4,1,4,1,1,7,2,0,1,4,6,0,2,5,4,0,2,5,2,1,2,4,5,1,2,2,5,16,16,21,43,54,24,30,44,84,27,59
run_1v6_myAUSTRIA_myconsistent_docus_oppsearchbot_neurips21_dora_seed2_v1,2,1v6,AUSTRIA,consistent_docus,searchbot_neurips21_dora,stop_after_W1913A,W1913A,60,0,5,2,15,0,2,10,0.000000,0.069832,0.011173,0.628492,0.000000,0.011173,0.279330,0,0,0,0,3,5,2,1,0,2,10,3,0,4,3,1,1,4,3,1,2,4,0,2,1,2,0,0,9,29,11,17,10,20,46,72,19,27,14,32,48,72
run_1v6_myAUSTRIA_myconsistent_docus_oppsearchbot_neurips21_dora_seed3_v1,3,1v6,AUSTRIA,consistent_docus,searchbot_neurips21_dora,stop_after_W1913A,W1913A,58,1,3,6,14,3,3,4,0.003623,0.032609,0.130435,0.710145,0.032609,0.032609,0.057971,0,0,0,0,1,6,2,0,3,3,6,0,1,5,0,0,1,1,1,0,1,2,0,4,0,1,3,0,15,34,11,22,15,21,52,78,7,14,34,55,18,23
run_1v6_myAUSTRIA_myconsistent_docus_oppsearchbot_neurips21_dora_seed4_v1,4,1v6,AUSTRIA,consistent_docus,searchbot_neurips21_dora,stop_after_W1913A,W1913A,58,0,3,2,8,0,9,12,0.000000,0.029801,0.013245,0.211921,0.000000,0.268212,0.476821,0,0,0,0,5,6,0,4,1,4,3,0,0,5,2,0,0,0,9,0,1,4,1,1,0,7,4,4,13,23,12,30,10,20,25,31,9,20,29,41,44,62
run_1v6_myAUSTRIA_myconsistent_docus_oppsearchbot_neurips21_dora_seed5_v1,5,1v6,AUSTRIA,consistent_docus,searchbot_neurips21_dora,stop_after_W1913A,W1913A,57,0,3,5,11,6,6,3,0.000000,0.038136,0.105932,0.512712,0.152542,0.152542,0.038136,0,1,0,0,4,4,0,3,3,3,3,0,1,5,0,0,1,4,1,0,5,5,2,0,1,3,1,2,24,47,12,24,14,29,36,49,27,34,19,32,19,30
run_1v6_myAUSTRIA_myconsistent_docus_oppsearchbot_neurips21_dora_seed6_v1,6,1v6,AUSTRIA,consistent_docus,searchbot_neurips21_dora,stop_after_W1913A,W1913A,60,0,2,5,8,6,10,3,0.000000,0.016807,0.105042,0.268908,0.151261,0.420168,0.037815,0,0,0,0,8,15,1,2,6,8,7,0,2,13,1,1,3,2,1,0,0,2,2,2,0,4,1,0,15,57,11,38,11,37,41,56,19,34,33,62,20,28
run_1v6_myAUSTRIA_myconsistent_docus_oppsearchbot_neurips21_dora_seed7_v1,7,1v6,AUSTRIA,consistent_docus,searchbot_neurips21_dora,stop_after_W1913A,W1913A,60,0,5,5,9,5,4,6,0.000000,0.120192,0.120192,0.389423,0.120192,0.076923,0.173077,0,1,0,0,2,8,0,2,1,1,5,0,0,9,0,0,0,1,2,0,13,13,2,5,0,1,0,0,16,25,10,35,16,20,47,56,29,38,28,65,23,36
run_1v6_myAUSTRIA_myconsistent_docus_oppsearchbot_neurips21_dora_seed8_v1,8,1v6,AUSTRIA,consistent_docus,searchbot_neurips21_dora,stop_after_W1913A,W1913A,57,0,4,6,4,6,10,4,0.000000,0.072727,0.163636,0.072727,0.163636,0.454545,0.072727,0,0,0,0,4,5,2,2,0,1,3,0,1,5,1,0,4,2,0,0,1,6,0,0,2,7,0,2,15,21,19,25,27,30,34,48,28,56,39,66,17,45
run_1v6_myAUSTRIA_myconsistent_docus_oppsearchbot_neurips21_dora_seed9_v1,9,1v6,AUSTRIA,consistent_docus,searchbot_neurips21_dora,stop_after_W1913A,W1913A,60,2,6,4,8,3,11,0,0.016000,0.144000,0.064000,0.256000,0.036000,0.484000,0.000000,0,0,0,0,3,3,0,1,0,3,4,0,2,6,0,0,0,2,0,0,1,4,0,0,1,1,1,0,27,56,12,31,21,35,44,53,20,30,40,69,12,20
