side,agent_name,scope,power,n_samples,mean_sos,win_rate,most_sc_rate,survived_rate,defeated_rate,win_count,most_sc_count,survived_count,defeated_count,c1_total,c2_total,c3_total,c4_total,c1_avg_per_sample,c2_avg_per_sample,c3_avg_per_sample,c4_avg_per_sample,support_success_total,support_total_total,support_success_ratio
self,consistent_docus,per_power,AUSTRIA,5,0.004173,0.000000,0.000000,0.400000,0.600000,0,0,2,3,0,0,0,0,0.000000,0.000000,0.000000,0.000000,50,145,0.344828
self,consistent_docus,per_power,ENGLAND,5,0.065664,0.000000,0.000000,0.800000,0.200000,0,0,4,1,0,0,0,0,0.000000,0.000000,0.000000,0.000000,65,130,0.500000
self,consistent_docus,per_power,FRANCE,5,0.042398,0.000000,0.000000,1.000000,0.000000,0,0,5,0,0,2,0,0,0.000000,0.400000,0.000000,0.000000,113,188,0.601064
self,consistent_docus,per_power,GERMANY,5,0.452292,0.000000,0.800000,0.200000,0.000000,0,4,1,0,0,7,0,0,0.000000,1.400000,0.000000,0.000000,226,322,0.701863
self,consistent_docus,per_power,ITALY,5,0.010078,0.000000,0.000000,0.400000,0.600000,0,0,2,3,0,3,0,0,0.000000,0.600000,0.000000,0.000000,99,165,0.600000
self,consistent_docus,per_power,RUSSIA,5,0.028378,0.000000,0.000000,0.800000,0.200000,0,0,4,1,0,0,0,0,0.000000,0.000000,0.000000,0.000000,123,217,0.566820
self,consistent_docus,per_power,TURKEY,5,0.059939,0.000000,0.000000,0.800000,0.200000,0,0,4,1,1,5,0,0,0.200000,1.000000,0.000000,0.000000,147,240,0.612500
opponent,searchbot_neurips21_dora,per_power,AUSTRIA,30,0.028064,0.000000,0.033333,0.133333,0.833333,0,1,4,25,15,74,13,6,0.500000,2.466667,0.433333,0.200000,409,646,0.633127
opponent,searchbot_neurips21_dora,per_power,ENGLAND,30,0.078647,0.000000,0.033333,0.766667,0.200000,0,1,23,6,71,141,26,37,2.366667,4.700000,0.866667,1.233333,364,736,0.494565
opponent,searchbot_neurips21_dora,per_power,FRANCE,30,0.091250,0.000000,0.033333,0.866667,0.100000,0,1,26,3,31,92,89,4,1.033333,3.066667,2.966667,0.133333,622,910,0.683516
opponent,searchbot_neurips21_dora,per_power,GERMANY,30,0.365661,0.000000,0.533333,0.466667,0.000000,0,16,14,0,26,131,55,5,0.866667,4.366667,1.833333,0.166667,1274,1745,0.730086
opponent,searchbot_neurips21_dora,per_power,ITALY,30,0.147736,0.000000,0.133333,0.700000,0.166667,0,4,21,5,29,103,61,7,0.966667,3.433333,2.033333,0.233333,717,1108,0.647112
opponent,searchbot_neurips21_dora,per_power,RUSSIA,30,0.184227,0.000000,0.200000,0.733333,0.066667,0,6,22,2,45,117,27,34,1.500000,3.900000,0.900000,1.133333,878,1440,0.609722
opponent,searchbot_neurips21_dora,per_power,TURKEY,30,0.160594,0.000000,0.200000,0.666667,0.133333,0,6,20,4,32,85,45,17,1.066667,2.833333,1.500000,0.566667,874,1294,0.675425
self,consistent_docus,overall,OVERALL,35,0.094703,0.000000,0.114286,0.628571,0.257143,0,4,22,9,1,17,0,0,0.028571,0.485714,0.000000,0.000000,823,1407,0.584932
opponent,searchbot_neurips21_dora,overall,OVERALL,210,0.150883,0.000000,0.166667,0.619048,0.214286,0,35,130,45,249,743,316,110,1.185714,3.538095,1.504762,0.523810,5138,7879,0.652113
